comparison,w_statistic,p_value,median_difference,rank_biserial,wins,ties,losses,p_holm,significant
RDHO vs RIME,0.0,1.862645149230957e-09,-0.6454067082183356,-1.0,30,0,0,9.313225746154785e-09,Yes
RDHO vs DBO,0.0,1.862645149230957e-09,-0.20303783110774404,-1.0,30,0,0,9.313225746154785e-09,Yes
RDHO vs TLBO-HHO,0.0,1.862645149230957e-09,-0.2580860015039691,-1.0,30,0,0,9.313225746154785e-09,Yes
RDHO vs CWTSSA,0.0,1.862645149230957e-09,-0.29793221046013874,-1.0,30,0,0,9.313225746154785e-09,Yes
RDHO vs Greedy-ED,0.0,1.862645149230957e-09,-0.10292843785017369,-1.0,30,0,0,9.313225746154785e-09,Yes
