setting,description,utility_weights,u_delay,u_energy,u_aoi,fitness_mean,fitness_std,fitness,base_objective_mean,base_objective_std,base_objective,penalty_mean,penalty_std,penalty,search_fitness_mean,search_fitness_std,search_fitness,energy_mean,energy_std,energy,delay_mean,delay_std,delay,aoi_mean,aoi_std,aoi,qoe_mean,qoe_std,qoe,fairness_mean,fairness_std,fairness,csr_mean,csr_std,csr,hard_feasible_mean,hard_feasible_std,hard_feasible,capacity_utilisation_mean_mean,capacity_utilisation_mean_std,capacity_utilisation_mean,capacity_utilisation_max_mean,capacity_utilisation_max_std,capacity_utilisation_max,assignment_unique_mean,assignment_unique_std,assignment_unique,runtime_mean,runtime_std,runtime,nfe_mean,nfe_std,nfe,pre_refinement_fitness_mean,pre_refinement_fitness_std,pre_refinement_fitness,local_refinement_gain_mean,local_refinement_gain_std,local_refinement_gain
U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25,0.9470392278303288,0.12019325475607966,0.947039 +/- 0.120193,0.6675947833858843,0.06743497916856628,0.667595 +/- 0.067435,0.2794444444444444,0.05469934076338502,0.279444 +/- 0.054699,3.1825947833858845,0.5559345666823937,3.182595 +/- 0.555935,94.58022479857776,24.036652917213107,94.580225 +/- 24.036653,1.8477734882114811,0.21772190769705946,1.847773 +/- 0.217722,2.1710415158050806,0.22634371181429777,2.171042 +/- 0.226344,0.4468303583653314,0.03218008949819209,0.446830 +/- 0.032180,0.9244036198733895,0.020454900294033164,0.924404 +/- 0.020455,0.7205555555555556,0.05469934076338502,0.720556 +/- 0.054699,1.0,0.0,1.000000 +/- 0.000000,0.8189427712389218,0.04341340208030516,0.818943 +/- 0.043413,1.0,1.8439800764933338e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.7403016901333315,0.11194202249823015,6.740302 +/- 0.111942,10232.0,0.0,10232.000000 +/- 0.000000,0.9947086019396798,0.12081151699613002,0.994709 +/- 0.120812,0.047669374109350834,0.03284368291383761,0.047669 +/- 0.032844
U2,Equal task-utility coefficients,"(0.333, 0.333, 0.333)",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9468141284647503,0.1196204354264468,0.946814 +/- 0.119620,0.6665363506869725,0.06596592092297199,0.666536 +/- 0.065966,0.2802777777777778,0.05508106762052742,0.280278 +/- 0.055081,3.1890363506869717,0.558938229229689,3.189036 +/- 0.558938,94.92560361666831,24.676512048027273,94.925604 +/- 24.676512,1.8464201109292133,0.22656725206664713,1.846420 +/- 0.226567,2.1696881385228126,0.2375217917699349,2.169688 +/- 0.237522,0.4498160802094142,0.031620628832989675,0.449816 +/- 0.031621,0.9276497405004894,0.01858178755837911,0.927650 +/- 0.018582,0.7197222222222224,0.05508106762052742,0.719722 +/- 0.055081,1.0,0.0,1.000000 +/- 0.000000,0.8260920465519489,0.03979853705234303,0.826092 +/- 0.039799,1.0000000000000002,1.3675322253524408e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.646983727733331,0.10333156837443695,6.646984 +/- 0.103332,10232.0,0.0,10232.000000 +/- 0.000000,0.9912569311286711,0.11943016890751114,0.991257 +/- 0.119430,0.04444280266392084,0.032728787715919826,0.044443 +/- 0.032729
U3,Freshness-oriented task utility,"(0.300, 0.200, 0.500)",0.3,0.2,0.5,0.95290645910949,0.11958925751117835,0.952906 +/- 0.119589,0.67290645910949,0.06588137862141197,0.672906 +/- 0.065881,0.27999999999999997,0.0553895988686978,0.280000 +/- 0.055390,3.192906459109489,0.5611488376004617,3.192906 +/- 0.561149,96.59901614138856,23.65442688071532,96.599016 +/- 23.654427,1.8451287224154094,0.22701451198556805,1.845129 +/- 0.227015,2.168396750009009,0.23594949736482046,2.168397 +/- 0.235949,0.42302980712817584,0.03283528775253295,0.423030 +/- 0.032835,0.926926176802491,0.018599398344921587,0.926926 +/- 0.018599,0.7200000000000002,0.05538959886869779,0.720000 +/- 0.055390,1.0,0.0,1.000000 +/- 0.000000,0.822065273924536,0.03952372598286258,0.822065 +/- 0.039524,1.0,1.5969335903155996e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.642207604133337,0.09920295735460657,6.642208 +/- 0.099203,10232.0,0.0,10232.000000 +/- 0.000000,1.0051269507363771,0.1207285628820206,1.005127 +/- 0.120729,0.05222049162688725,0.041971270595964144,0.052220 +/- 0.041971
