algorithm,fitness_mean,fitness_std,fitness,base_objective_mean,base_objective_std,base_objective,penalty_mean,penalty_std,penalty,search_fitness_mean,search_fitness_std,search_fitness,energy_mean,energy_std,energy,delay_mean,delay_std,delay,aoi_mean,aoi_std,aoi,qoe_mean,qoe_std,qoe,fairness_mean,fairness_std,fairness,csr_mean,csr_std,csr,hard_feasible_mean,hard_feasible_std,hard_feasible,capacity_utilisation_mean_mean,capacity_utilisation_mean_std,capacity_utilisation_mean,capacity_utilisation_max_mean,capacity_utilisation_max_std,capacity_utilisation_max,assignment_unique_mean,assignment_unique_std,assignment_unique,runtime_mean,runtime_std,runtime,nfe_mean,nfe_std,nfe,pre_refinement_fitness_mean,pre_refinement_fitness_std,pre_refinement_fitness,local_refinement_gain_mean,local_refinement_gain_std,local_refinement_gain
RDHO-full,0.9470392278303288,0.12019325475607968,0.947039 +/- 0.120193,0.6675947833858843,0.06743497916856628,0.667595 +/- 0.067435,0.2794444444444444,0.05469934076338502,0.279444 +/- 0.054699,3.1825947833858845,0.5559345666823937,3.182595 +/- 0.555935,94.58022479857776,24.03665291721311,94.580225 +/- 24.036653,1.8477734882114807,0.2177219076970595,1.847773 +/- 0.217722,2.1710415158050806,0.22634371181429774,2.171042 +/- 0.226344,0.4468303583653314,0.03218008949819208,0.446830 +/- 0.032180,0.9244036198733895,0.020454900294033185,0.924404 +/- 0.020455,0.7205555555555556,0.05469934076338502,0.720556 +/- 0.054699,1.0,0.0,1.000000 +/- 0.000000,0.8189427712389218,0.04341340208030517,0.818943 +/- 0.043413,1.0,1.8439800764933338e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,7.531197669466655,0.6967370198883538,7.531198 +/- 0.696737,10232.0,0.0,10232.000000 +/- 0.000000,0.9947086019396798,0.12081151699613002,0.994709 +/- 0.120812,0.04766937410935088,0.032843682913837616,0.047669 +/- 0.032844
RDHO-core,1.2396053505547213,0.12857733765837298,1.239605 +/- 0.128577,0.8432164616658323,0.0849332406106406,0.843216 +/- 0.084933,0.39638888888888896,0.05246250865918266,0.396389 +/- 0.052463,4.4107164616658325,0.5378165204003166,4.410716 +/- 0.537817,110.51881886812822,26.615694090396822,110.518819 +/- 26.615694,2.5101991164597655,0.4358550142732412,2.510199 +/- 0.435855,2.833467144053365,0.44591623752688536,2.833467 +/- 0.445916,0.4108263647820911,0.0306036748782612,0.410826 +/- 0.030604,0.9074463724573604,0.026351957724763207,0.907446 +/- 0.026352,0.6036111111111111,0.05246250865918266,0.603611 +/- 0.052463,1.0,0.0,1.000000 +/- 0.000000,0.8041804176396175,0.04261174935806413,0.804180 +/- 0.042612,1.0000000000000002,1.1662354003380896e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,5.743250491633334,0.5780838123406881,5.743250 +/- 0.578084,7551.0,0.0,7551.000000 +/- 0.000000,1.2396053505547213,0.12857733765837298,1.239605 +/- 0.128577,0.0,0.0,0.000000 +/- 0.000000
RDHO-w/o dual-source initialization,0.9672456818188822,0.12327112474797962,0.967246 +/- 0.123271,0.6772456818188819,0.07392803866092709,0.677246 +/- 0.073928,0.29000000000000004,0.05258636392162977,0.290000 +/- 0.052586,3.2872456818188818,0.5405021191850569,3.287246 +/- 0.540502,101.16351165164643,25.892043543044867,101.163512 +/- 25.892044,1.838362031247349,0.24686195310138126,1.838362 +/- 0.246862,2.161630058840949,0.25125885386857,2.161630 +/- 0.251259,0.44541148867282626,0.033915097441440625,0.445411 +/- 0.033915,0.9261183897891242,0.020625247150481467,0.926118 +/- 0.020625,0.7100000000000001,0.05258636392162976,0.710000 +/- 0.052586,1.0,0.0,1.000000 +/- 0.000000,0.834487937696942,0.04510075787945388,0.834488 +/- 0.045101,1.0,1.7493531005071347e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,7.201710406900012,0.6959037813090122,7.201710 +/- 0.695904,9552.0,0.0,9552.000000 +/- 0.000000,1.2181822902511896,0.12240043086861216,1.218182 +/- 0.122400,0.25093660843230753,0.0865716815667142,0.250937 +/- 0.086572
RDHO-w/o adaptive role allocation,0.9481732920587405,0.12092707700168273,0.948173 +/- 0.120927,0.6670621809476293,0.06672666520819645,0.667062 +/- 0.066727,0.28111111111111103,0.055490383229049436,0.281111 +/- 0.055490,3.1970621809476296,0.5636415422911725,3.197062 +/- 0.563642,93.74539904083876,21.930198574159157,93.745399 +/- 21.930199,1.8509305673000742,0.2098509931657448,1.850931 +/- 0.209851,2.174198594893674,0.21887626198944893,2.174199 +/- 0.218876,0.4465963628898747,0.032679585608029686,0.446596 +/- 0.032680,0.9240994785763073,0.02081047504448121,0.924099 +/- 0.020810,0.7188888888888889,0.05549038322904942,0.718889 +/- 0.055490,1.0,0.0,1.000000 +/- 0.000000,0.8223896631650252,0.04068199231104817,0.822390 +/- 0.040682,1.0,1.7972894581505627e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,7.5435657736666535,0.7287002032732722,7.543566 +/- 0.728700,10232.0,0.0,10232.000000 +/- 0.000000,0.9966666894562387,0.1229521532470786,0.996667 +/- 0.122952,0.048493397397498285,0.04500438167209869,0.048493 +/- 0.045004
RDHO-w/o elite preservation,0.9482578139549326,0.11877601697690857,0.948258 +/- 0.118776,0.6674244806215994,0.0675335695743671,0.667424 +/- 0.067534,0.2808333333333334,0.05334365920155361,0.280833 +/- 0.053344,3.1949244806215997,0.5434728383914603,3.194924 +/- 0.543473,94.5830276871784,23.42160447814138,94.583028 +/- 23.421604,1.846374717168343,0.22098567042813302,1.846375 +/- 0.220986,2.1696427447619424,0.22910581501274535,2.169643 +/- 0.229106,0.44629848730833466,0.03262320662224134,0.446298 +/- 0.032623,0.924012895693654,0.019825095541948272,0.924013 +/- 0.019825,0.7191666666666665,0.0533436592015536,0.719167 +/- 0.053344,1.0,0.0,1.000000 +/- 0.000000,0.8244569325817538,0.04065123700824757,0.824457 +/- 0.040651,1.0000000000000002,1.303890816461325e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,7.535415520866667,0.7316478136690395,7.535416 +/- 0.731648,10232.0,0.0,10232.000000 +/- 0.000000,0.9903936967044947,0.12453047190793753,0.990394 +/- 0.124530,0.042135882749562016,0.03338892974063112,0.042136 +/- 0.033389
RDHO-w/o dynamic penalty,0.9478356009552322,0.11921108947632593,0.947836 +/- 0.119211,0.6650578231774545,0.06535529613857614,0.665058 +/- 0.065355,0.28277777777777774,0.05600583804635535,0.282778 +/- 0.056006,0.9478356009552322,0.11921108947632593,0.947836 +/- 0.119211,93.95763487736662,22.685931357321323,93.957635 +/- 22.685931,1.846840405578557,0.2076263750693443,1.846840 +/- 0.207626,2.170108433172157,0.2168003418650254,2.170108 +/- 0.216800,0.4466921046777272,0.03259008007470648,0.446692 +/- 0.032590,0.9243978076058926,0.020317866739643895,0.924398 +/- 0.020318,0.7172222222222221,0.05600583804635535,0.717222 +/- 0.056006,1.0,0.0,1.000000 +/- 0.000000,0.8223065077209548,0.038538820026200404,0.822307 +/- 0.038539,1.0000000000000002,1.303890816461325e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,7.5229860888666735,0.7399239809693138,7.522986 +/- 0.739924,10232.0,0.0,10232.000000 +/- 0.000000,0.9977400073559832,0.12174005327975108,0.997740 +/- 0.121740,0.04990440640075099,0.04318950395244729,0.049904 +/- 0.043190
