experiment,scenario_seed,method,total_nfe,population_nfe,initial_nfe,candidate_nfe,refinement_nfe,final_reporting_nfe,final_generation_candidate_count
controlled_common_pipeline,20260724,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260724,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260725,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260725,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260725,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260726,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260726,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260726,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260727,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260727,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260727,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260728,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260728,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260728,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260729,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260729,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260729,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260730,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260730,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260730,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
