experiment,scenario_seed,method,total_nfe,population_nfe,initial_nfe,candidate_nfe,refinement_nfe,final_reporting_nfe,final_generation_candidate_count
controlled_population_stage,20260726,DBO-population-controlled,3801,3801,50,3750,0,1,50
controlled_population_stage,20260727,RDHO-population-controlled,3801,3801,50,3750,0,1,50
controlled_population_stage,20260727,RIME-population-controlled,3801,3801,50,3750,0,1,50
controlled_population_stage,20260727,DBO-population-controlled,3801,3801,50,3750,0,1,50
controlled_population_stage,20260728,RDHO-population-controlled,3801,3801,50,3750,0,1,50
controlled_population_stage,20260728,RIME-population-controlled,3801,3801,50,3750,0,1,50
controlled_population_stage,20260728,DBO-population-controlled,3801,3801,50,3750,0,1,50
controlled_population_stage,20260729,RDHO-population-controlled,3801,3801,50,3750,0,1,50
controlled_population_stage,20260729,RIME-population-controlled,3801,3801,50,3750,0,1,50
controlled_population_stage,20260729,DBO-population-controlled,3801,3801,50,3750,0,1,50
controlled_population_stage,20260730,RDHO-population-controlled,3801,3801,50,3750,0,1,50
controlled_population_stage,20260730,RIME-population-controlled,3801,3801,50,3750,0,1,50
controlled_population_stage,20260730,DBO-population-controlled,3801,3801,50,3750,0,1,50
