algorithm,fitness_mean,fitness_std,fitness,base_objective_mean,base_objective_std,base_objective,penalty_mean,penalty_std,penalty,search_fitness_mean,search_fitness_std,search_fitness,energy_mean,energy_std,energy,delay_mean,delay_std,delay,aoi_mean,aoi_std,aoi,qoe_mean,qoe_std,qoe,fairness_mean,fairness_std,fairness,csr_mean,csr_std,csr,hard_feasible_mean,hard_feasible_std,hard_feasible,capacity_utilisation_mean_mean,capacity_utilisation_mean_std,capacity_utilisation_mean,capacity_utilisation_max_mean,capacity_utilisation_max_std,capacity_utilisation_max,assignment_unique_mean,assignment_unique_std,assignment_unique,runtime_mean,runtime_std,runtime,nfe_mean,nfe_std,nfe,pre_refinement_fitness_mean,pre_refinement_fitness_std,pre_refinement_fitness,local_refinement_gain_mean,local_refinement_gain_std,local_refinement_gain
RDHO-core,1.4019595992016494,0.1653295723041613,1.401960 +/- 0.165330,0.9719595992016496,0.12428411125078767,0.971960 +/- 0.124284,0.43,0.05074162634049248,0.430000 +/- 0.050742,4.841959599201649,0.5548078903315403,4.841960 +/- 0.554808,123.8976190871128,33.42481020463695,123.897619 +/- 33.424810,2.9896115436323085,0.4839309283291723,2.989612 +/- 0.483931,3.312879571225908,0.491405573025233,3.312880 +/- 0.491406,0.39413133304765896,0.03255007360746737,0.394131 +/- 0.032550,0.899971998546889,0.02611390791657623,0.899972 +/- 0.026114,0.57,0.05074162634049249,0.570000 +/- 0.050742,1.0,0.0,1.000000 +/- 0.000000,0.8281030230944371,0.06675475418591452,0.828103 +/- 0.066755,1.0000000000000002,1.0099894834855006e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,3.1915674306666686,0.1704644826742301,3.191567 +/- 0.170464,3801.0,0.0,3801.000000 +/- 0.000000,1.4019595992016494,0.1653295723041613,1.401960 +/- 0.165330,0.0,0.0,0.000000 +/- 0.000000
RIME,1.6327713194472133,0.16129029402161088,1.632771 +/- 0.161290,1.1327713194472138,0.12226398149296468,1.132771 +/- 0.122264,0.49999999999999994,0.05118331564842476,0.500000 +/- 0.051183,1.6327713194472133,0.16129029402161088,1.632771 +/- 0.161290,128.06829011920175,24.05531563283492,128.068290 +/- 24.055316,4.210263337890446,0.864629162606184,4.210263 +/- 0.864629,4.533531365484046,0.8811048652352031,4.533531 +/- 0.881105,0.3524990485064697,0.030794017939987504,0.352499 +/- 0.030794,0.8429586807841773,0.041276289075892585,0.842959 +/- 0.041276,0.5000000000000001,0.05118331564842476,0.500000 +/- 0.051183,1.0,0.0,1.000000 +/- 0.000000,0.8082093391355597,0.05366968565613755,0.808209 +/- 0.053670,1.0000000000000002,1.236979440058307e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,3.1965115527666637,0.18338433061592518,3.196512 +/- 0.183384,3801.0,0.0,3801.000000 +/- 0.000000,1.6327713194472133,0.16129029402161088,1.632771 +/- 0.161290,0.0,0.0,0.000000 +/- 0.000000
DBO,1.2457003819412853,0.14496937591857545,1.245700 +/- 0.144969,0.8448670486079515,0.08642469317616756,0.844867 +/- 0.086425,0.4008333333333333,0.06366632063455344,0.400833 +/- 0.063666,1.2457003819412853,0.14496937591857545,1.245700 +/- 0.144969,84.17523098394592,22.238525750218837,84.175231 +/- 22.238526,2.734040517759385,0.4949786193303534,2.734041 +/- 0.494979,3.0573085453529845,0.5073042686319562,3.057309 +/- 0.507304,0.40883840819987544,0.03153321208501783,0.408838 +/- 0.031533,0.9120720936774965,0.0257614041731747,0.912072 +/- 0.025761,0.5991666666666667,0.06366632063455342,0.599167 +/- 0.063666,1.0,0.0,1.000000 +/- 0.000000,0.685628501374579,0.06843566170764567,0.685629 +/- 0.068436,1.0000000000000002,1.4283408253993921e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,3.1078012152666665,0.18516706587813642,3.107801 +/- 0.185167,3801.0,0.0,3801.000000 +/- 0.000000,1.2457003819412853,0.14496937591857545,1.245700 +/- 0.144969,0.0,0.0,0.000000 +/- 0.000000
TLBO-HHO,1.2400553996985266,0.13862010229345037,1.240055 +/- 0.138620,0.8339442885874156,0.08794566310989882,0.833944 +/- 0.087946,0.40611111111111114,0.06080294995196196,0.406111 +/- 0.060803,1.2400553996985266,0.13862010229345037,1.240055 +/- 0.138620,55.37747614690219,14.112925531337572,55.377476 +/- 14.112926,2.762124966587122,0.43055641462817895,2.762125 +/- 0.430556,3.085392994180721,0.44426189476508554,3.085393 +/- 0.444262,0.4072125260813821,0.0321857946865255,0.407213 +/- 0.032186,0.9117934207570915,0.019401429165177692,0.911793 +/- 0.019401,0.593888888888889,0.06080294995196197,0.593889 +/- 0.060803,1.0,0.0,1.000000 +/- 0.000000,0.5646901575174984,0.05583322568756897,0.564690 +/- 0.055833,0.9966333662955539,0.014145663676467012,0.996633 +/- 0.014146,1.0,0.0,1.000000 +/- 0.000000,3.048878461033335,0.1707879528675876,3.048878 +/- 0.170788,3801.0,0.0,3801.000000 +/- 0.000000,1.2400553996985266,0.13862010229345037,1.240055 +/- 0.138620,0.0,0.0,0.000000 +/- 0.000000
CWTSSA,1.3299990656919236,0.1584485925229727,1.329999 +/- 0.158449,0.8911101768030345,0.10244140924324772,0.891110 +/- 0.102441,0.43888888888888894,0.06066100348288386,0.438889 +/- 0.060661,1.3299990656919236,0.1584485925229727,1.329999 +/- 0.158449,49.961012261966026,15.17919204209695,49.961012 +/- 15.179192,3.1317595642643226,0.499055482911076,3.131760 +/- 0.499055,3.4550275918579216,0.5100323913575243,3.455028 +/- 0.510032,0.4017920796783107,0.031783201936545505,0.401792 +/- 0.031783,0.914685896860364,0.023904550800430358,0.914686 +/- 0.023905,0.5611111111111111,0.060661003482883856,0.561111 +/- 0.060661,1.0,0.0,1.000000 +/- 0.000000,0.5368139713726846,0.06646796663810109,0.536814 +/- 0.066468,0.9840315344139222,0.049221071017954476,0.984032 +/- 0.049221,1.0,0.0,1.000000 +/- 0.000000,3.0507099180666657,0.17583588140708625,3.050710 +/- 0.175836,3801.0,0.0,3801.000000 +/- 0.000000,1.3299990656919236,0.1584485925229727,1.329999 +/- 0.158449,0.0,0.0,0.000000 +/- 0.000000
