algorithm,fitness_mean,fitness_std,fitness,base_objective_mean,base_objective_std,base_objective,penalty_mean,penalty_std,penalty,search_fitness_mean,search_fitness_std,search_fitness,energy_mean,energy_std,energy,delay_mean,delay_std,delay,aoi_mean,aoi_std,aoi,qoe_mean,qoe_std,qoe,fairness_mean,fairness_std,fairness,csr_mean,csr_std,csr,hard_feasible_mean,hard_feasible_std,hard_feasible,capacity_utilisation_mean_mean,capacity_utilisation_mean_std,capacity_utilisation_mean,capacity_utilisation_max_mean,capacity_utilisation_max_std,capacity_utilisation_max,assignment_unique_mean,assignment_unique_std,assignment_unique,runtime_mean,runtime_std,runtime,nfe_mean,nfe_std,nfe,pre_refinement_fitness_mean,pre_refinement_fitness_std,pre_refinement_fitness,local_refinement_gain_mean,local_refinement_gain_std,local_refinement_gain
RDHO,0.9470392278303288,0.12019325475607968,0.947039 +/- 0.120193,0.6675947833858843,0.06743497916856628,0.667595 +/- 0.067435,0.2794444444444444,0.05469934076338502,0.279444 +/- 0.054699,3.1825947833858845,0.5559345666823937,3.182595 +/- 0.555935,94.58022479857776,24.03665291721311,94.580225 +/- 24.036653,1.8477734882114807,0.2177219076970595,1.847773 +/- 0.217722,2.1710415158050806,0.22634371181429774,2.171042 +/- 0.226344,0.4468303583653314,0.03218008949819208,0.446830 +/- 0.032180,0.9244036198733895,0.020454900294033185,0.924404 +/- 0.020455,0.7205555555555556,0.05469934076338502,0.720556 +/- 0.054699,1.0,0.0,1.000000 +/- 0.000000,0.8189427712389218,0.04341340208030517,0.818943 +/- 0.043413,1.0,1.8439800764933338e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,7.830565619400009,0.6601071259110683,7.830566 +/- 0.660107,10232.0,0.0,10232.000000 +/- 0.000000,0.9947086019396798,0.12081151699613002,0.994709 +/- 0.120812,0.04766937410935088,0.032843682913837616,0.047669 +/- 0.032844
RIME,1.5847950082273574,0.15413381450734495,1.584795 +/- 0.154134,1.098128341560691,0.1159161892451023,1.098128 +/- 0.115916,0.4866666666666665,0.05300365056465524,0.486667 +/- 0.053004,1.5847950082273574,0.15413381450734495,1.584795 +/- 0.154134,126.37457734449731,30.124017019332978,126.374577 +/- 30.124017,4.130621833210024,0.7951017009104105,4.130622 +/- 0.795102,4.453889860803624,0.8130482192291172,4.453890 +/- 0.813048,0.3551452921949317,0.027107773219936657,0.355145 +/- 0.027108,0.8384873049946824,0.04043115898399603,0.838487 +/- 0.040431,0.5133333333333334,0.05300365056465524,0.513333 +/- 0.053004,1.0,0.0,1.000000 +/- 0.000000,0.7932624033414208,0.05519800610197631,0.793262 +/- 0.055198,1.0000000000000002,1.0099894834855006e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,5.965704425066679,0.49910124817133295,5.965704 +/- 0.499101,7551.0,0.0,7551.000000 +/- 0.000000,1.5847950082273574,0.15413381450734495,1.584795 +/- 0.154134,0.0,0.0,0.000000 +/- 0.000000
DBO,1.1836517627101044,0.19049985271865905,1.183652 +/- 0.190500,0.8122628738212151,0.12644446740854623,0.812263 +/- 0.126444,0.37138888888888894,0.06991659417109299,0.371389 +/- 0.069917,1.1836517627101044,0.19049985271865905,1.183652 +/- 0.190500,93.19031586081482,31.463579499523632,93.190316 +/- 31.463579,2.5359176229719917,0.4786646581039015,2.535918 +/- 0.478665,2.8591856505655917,0.48705111099895193,2.859186 +/- 0.487051,0.41453168450330086,0.035104015335400376,0.414532 +/- 0.035104,0.9161225144802454,0.02610050953424021,0.916123 +/- 0.026101,0.6286111111111111,0.06991659417109297,0.628611 +/- 0.069917,1.0,0.0,1.000000 +/- 0.000000,0.7298879694160796,0.053647076240936224,0.729888 +/- 0.053647,1.0,1.9774483307737817e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,5.819836393100006,0.5007190987611471,5.819836 +/- 0.500719,7551.0,0.0,7551.000000 +/- 0.000000,1.1836517627101044,0.19049985271865905,1.183652 +/- 0.190500,0.0,0.0,0.000000 +/- 0.000000
TLBO-HHO,1.2263048231318803,0.20100882539705814,1.226305 +/- 0.201009,0.8251937120207695,0.1359182143357876,0.825194 +/- 0.135918,0.40111111111111114,0.0716102870097545,0.401111 +/- 0.071610,1.2263048231318803,0.20100882539705814,1.226305 +/- 0.201009,60.62528887622576,14.067244133891185,60.625289 +/- 14.067244,2.765618273834356,0.589158811791089,2.765618 +/- 0.589159,3.088886301427955,0.5931690631044204,3.088886 +/- 0.593169,0.4070354985599801,0.04032721940400805,0.407035 +/- 0.040327,0.909804130669397,0.02878047400420495,0.909804 +/- 0.028780,0.5988888888888889,0.0716102870097545,0.598889 +/- 0.071610,1.0,0.0,1.000000 +/- 0.000000,0.5821649516308188,0.06416341214912828,0.582165 +/- 0.064163,0.9938552716089215,0.024387773862295795,0.993855 +/- 0.024388,1.0,0.0,1.000000 +/- 0.000000,5.711440376266667,0.4954440948807604,5.711440 +/- 0.495444,7551.0,0.0,7551.000000 +/- 0.000000,1.2263048231318803,0.20100882539705814,1.226305 +/- 0.201009,0.0,0.0,0.000000 +/- 0.000000
CWTSSA,1.2473242356211496,0.15131440808539953,1.247324 +/- 0.151314,0.8356575689544828,0.10177059894496708,0.835658 +/- 0.101771,0.41166666666666674,0.05675618352053008,0.411667 +/- 0.056756,1.2473242356211496,0.15131440808539953,1.247324 +/- 0.151314,62.6216419945915,17.648783146987164,62.621642 +/- 17.648783,2.775197932665376,0.4880693700988556,2.775198 +/- 0.488069,3.098465960258976,0.49581589582924984,3.098466 +/- 0.495816,0.4078958532468236,0.030793516214129974,0.407896 +/- 0.030794,0.9140077878350376,0.02397605069791572,0.914008 +/- 0.023976,0.5883333333333333,0.056756183520530086,0.588333 +/- 0.056756,1.0,0.0,1.000000 +/- 0.000000,0.5843237070804516,0.06821950526117318,0.584324 +/- 0.068220,0.9956151157814193,0.018491752818405566,0.995615 +/- 0.018492,1.0,0.0,1.000000 +/- 0.000000,5.678329729199998,0.48637471980909264,5.678330 +/- 0.486375,7551.0,0.0,7551.000000 +/- 0.000000,1.2473242356211496,0.15131440808539953,1.247324 +/- 0.151314,0.0,0.0,0.000000 +/- 0.000000
Greedy-ED,1.0932457434014435,0.17031197368119053,1.093246 +/- 0.170312,0.7413012989569993,0.11710384406762148,0.741301 +/- 0.117104,0.3519444444444444,0.06215646326751486,0.351944 +/- 0.062156,1.0932457434014435,0.17031197368119053,1.093246 +/- 0.170312,99.74875563448043,22.471246767979693,99.748756 +/- 22.471247,2.2246478527103837,0.5377281270299317,2.224648 +/- 0.537728,2.5479158803039827,0.5498852626444769,2.547916 +/- 0.549885,0.42815018311542585,0.034495539263798,0.428150 +/- 0.034496,0.9164479027413013,0.031843928492398595,0.916448 +/- 0.031844,0.6480555555555557,0.06215646326751486,0.648056 +/- 0.062156,1.0,0.0,1.000000 +/- 0.000000,0.8057942499657625,0.049297661328011944,0.805794 +/- 0.049298,1.0,1.8895173057237605e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,0.5068771917000031,0.04415901103363257,0.506877 +/- 0.044159,681.0,0.0,681.000000 +/- 0.000000,1.0932457434014435,0.17031197368119053,1.093246 +/- 0.170312,0.0,0.0,0.000000 +/- 0.000000
