run_id,seed,algorithm,fitness,base_objective,penalty,search_fitness,energy,delay,aoi,qoe,fairness,csr,runtime,nfe,pre_refinement_fitness,local_refinement_gain,experiment,setting,description,weights,w_energy,w_delay,w_aoi,w_qoe,w_fairness
1,20260701,RDHO,1.0292466225144756,0.7042466225144758,0.32499999999999996,3.6292466225144757,90.68395521460278,1.746810193414035,2.0547517894462715,0.3238580980088558,0.9474708463241983,0.675,4.173483774000033,9112,1.0401930028570867,0.010946380342611084,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
2,20260702,RDHO,1.1270378251240305,0.7853711584573637,0.3416666666666667,3.860371158457364,76.98597090370205,2.0526257338100384,2.3915072583615697,0.30649217741518686,0.8995000889378726,0.6583333333333333,4.28106757799992,9112,1.1458566181813468,0.018818793057316263,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
3,20260703,RDHO,0.8141516422510634,0.5891516422510634,0.22499999999999998,2.6141516422510636,70.57494539636309,1.5388804754514924,1.8963484262072392,0.34941923352622256,0.9403583437452213,0.775,4.339466893999997,9112,0.8219586153287641,0.00780697307770073,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
4,20260704,RDHO,0.9680597340770317,0.6597264007436984,0.30833333333333335,3.4347264007436986,75.91467263937889,1.666318416102871,1.9889230804145899,0.342199773945449,0.9194791164547826,0.6916666666666667,4.101705674000186,9112,0.9792127949331378,0.011153060856106123,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
5,20260705,RDHO,1.034596178664645,0.7262628453313117,0.30833333333333335,3.501262845331312,112.79788374520734,1.8588360512006425,2.179639101860603,0.2972868132109885,0.9563926193355199,0.6916666666666667,4.098918595999976,9112,1.0502924452036697,0.015696266539024784,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
6,20260706,RDHO,0.8818978841809629,0.6235645508476296,0.2583333333333333,2.9485645508476295,87.58953836809255,1.4340374851821598,1.7362533263517386,0.3288469469385339,0.9315066760861767,0.7416666666666667,4.123077085999967,9112,0.9012691713718569,0.019371287190893982,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
7,20260707,RDHO,0.9060100813665415,0.6310100813665415,0.275,3.1060100813665414,76.54449920230957,1.3215112048669124,1.6404944243968465,0.33756009922242897,0.9435478301323345,0.725,4.161579504999963,9112,0.924485867416221,0.018475786049679477,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
8,20260708,RDHO,0.9580942257064804,0.649760892373147,0.30833333333333335,3.4247608923731474,70.30302565557633,1.6378770960473787,1.927385220917726,0.32933601668270474,0.9485734680280087,0.6916666666666667,4.20079376700005,9112,0.9666953463538772,0.00860112064739682,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
9,20260709,RDHO,1.1357476844033196,0.7690810177366529,0.3666666666666667,4.069081017736654,126.36226228841231,1.8913815448185844,2.2005578679171767,0.2790350042711438,0.9359170935895704,0.6333333333333333,4.109423285000048,9112,1.1627615985775699,0.027013914174250253,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
10,20260710,RDHO,0.9292713645837448,0.6626046979170781,0.2666666666666667,3.0626046979170782,80.39617954663832,1.9312677318989784,2.3044963659131015,0.3336174950359278,0.9508009425216127,0.7333333333333333,4.576710481000191,9112,0.9419685599083769,0.012697195324632093,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
11,20260711,RDHO,1.0594717690976652,0.6928051024309985,0.3666666666666667,3.9928051024309985,102.42970617135668,1.742209094339536,2.054120985656585,0.3132288145906548,0.9750469497357389,0.6333333333333333,4.320920544000046,9112,1.0854675386036097,0.02599576950594451,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
12,20260712,RDHO,0.9072304400768878,0.6488971067435545,0.2583333333333333,2.9738971067435545,80.52091055641567,1.7804187751976541,2.1647313878038146,0.343696956826676,0.9547794993244755,0.7416666666666667,4.238150023000117,9112,0.9139880166091519,0.0067575765322640535,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
13,20260713,RDHO,0.88704906573102,0.5953823990643534,0.29166666666666663,3.220382399064353,58.78438274035955,1.3853097066175342,1.6601036617719438,0.34552897165282515,0.947435954325128,0.7083333333333334,4.34757330299999,9112,0.896528765452393,0.00947969972137297,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
14,20260714,RDHO,0.8847416182452766,0.6097416182452766,0.275,3.0847416182452765,64.53838366601718,1.7005563232910312,2.044994645654678,0.35731557092182753,0.9456725950478034,0.725,4.125801281000122,9112,0.8908711416570531,0.006129523411776416,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
15,20260715,RDHO,0.8871065757126853,0.6371065757126853,0.25,2.8871065757126853,88.3309600979606,1.6473362723554303,2.0016888226543816,0.3355202383783198,0.9500021573100927,0.75,4.1939648160000615,9112,0.9084116167308123,0.021305041018127024,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
16,20260716,RDHO,0.9268597010711063,0.6518597010711062,0.275,3.1268597010711066,98.85284602454486,1.5152861506461615,1.835492884117329,0.3179140305487191,0.9559453806811805,0.725,4.186523687999852,9112,0.9460870236596145,0.019227322588508233,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
17,20260717,RDHO,0.9692065029534547,0.6692065029534546,0.30000000000000004,3.369206502953455,66.92523622514614,1.7801095052279003,2.10369679378269,0.32260733152478027,0.944232998020342,0.7,4.230211592999922,9112,0.9799236130182404,0.010717110064785706,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
18,20260718,RDHO,0.8964641406850763,0.6214641406850763,0.275,3.096464140685076,89.23656951983581,1.58109486605033,1.9088957073288149,0.3309972989203921,0.961598754425151,0.725,4.498129569999946,9112,0.9045791277316816,0.008114987046605293,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
19,20260719,RDHO,0.9224531882721165,0.6391198549387832,0.2833333333333333,3.189119854938783,70.12566209371849,1.6247273846000994,1.9481078511204752,0.3386757066150904,0.9128449723286961,0.7166666666666667,4.277589145000093,9112,0.9430676009038246,0.020614412631708046,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
20,20260720,RDHO,0.8540366990721076,0.6290366990721076,0.22499999999999998,2.6540366990721074,103.140473696178,1.479772935403322,1.8141959316727878,0.33816815492495456,0.9036381403993103,0.775,4.175555222999947,9112,0.8656841880365821,0.01164748896447454,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
21,20260721,RDHO,0.9425439712768451,0.6592106379435118,0.2833333333333333,3.2092106379435115,84.84339470039492,1.4547982839989317,1.788483565786845,0.333578930342935,0.9598319039692425,0.7166666666666667,4.2403788149999855,9112,0.9530860413335315,0.010542070056686392,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
22,20260722,RDHO,1.0143624945718122,0.6976958279051455,0.31666666666666665,3.5476958279051454,86.66380374837232,1.734585772888711,2.057846536308284,0.29686982274590484,0.9357380030464708,0.6833333333333333,4.268398502000082,9112,1.031241630286695,0.016879135714882754,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
23,20260723,RDHO,1.129260612499071,0.7292606124990708,0.4,4.329260612499071,88.21960473512782,1.7351783404121899,2.0124857223404127,0.29636967107435463,0.9485098953466173,0.6,4.177963069000043,9112,1.1491304608783834,0.019869848379312494,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
24,20260724,RDHO,0.8734252403646551,0.6317585736979884,0.2416666666666667,2.8067585736979885,81.69180263669732,1.6107611491166438,1.9275326020260963,0.35664014814089473,0.9267085004034796,0.7583333333333333,4.301910507000002,9112,0.8844792358436403,0.011053995478985223,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
25,20260725,RDHO,0.9529166705391521,0.6612500038724854,0.29166666666666663,3.286250003872485,119.33350023434153,1.5152782674144443,1.8235877400171048,0.33569563985547257,0.9480038918441185,0.7083333333333334,4.61781465099989,9112,0.9771326466650678,0.02421597612591575,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
26,20260726,RDHO,0.9828400394008449,0.6911733727341782,0.29166666666666663,3.316173372734178,93.86464715296471,1.3987848838687147,1.6671717826683867,0.32067971380253224,0.917200099247425,0.7083333333333334,4.486308240999961,9112,0.9996848265077255,0.016844787106880643,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
27,20260727,RDHO,0.9690831019389654,0.7024164352722987,0.2666666666666667,3.102416435272299,76.3195051772451,1.7738326938921296,2.1268685764754713,0.315993291479049,0.9097295473957804,0.7333333333333333,4.2998120360000485,9112,0.9830353853046092,0.013952283365643803,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
28,20260728,RDHO,0.9213747456917878,0.6797080790251211,0.2416666666666667,2.854708079025121,76.97929092077918,1.7825327699043796,2.09157800294225,0.3222243435197588,0.9393751988930664,0.7583333333333333,4.380596377000074,9112,0.9339761742346215,0.012601428542833748,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
29,20260729,RDHO,1.080353930656674,0.7220205973233409,0.3583333333333333,3.9470205973233403,74.61135123685297,1.398345787430977,1.6286199222072937,0.3139692539913813,0.910818855637689,0.6416666666666667,4.274621178000189,9112,1.100614836120984,0.02026090546430992,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
30,20260730,RDHO,0.8691901409720484,0.6108568076387151,0.2583333333333333,2.935856807638715,79.92545247737684,1.5496715096945635,1.8544069630267308,0.34530810140011325,0.9435257732237674,0.7416666666666667,4.156060970999988,9112,0.8789838901031941,0.009793749131145724,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
1,20260701,RDHO,1.0874488248740075,0.7541154915406741,0.33333333333333337,3.7541154915406745,96.91930569320104,1.677497052134979,1.985438648167215,0.3229426827343962,0.9448518201768359,0.6666666666666666,4.169848392999938,9112,1.0985600979161472,0.011111273042139658,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
2,20260702,RDHO,1.1984599423800013,0.8484599423800013,0.35,3.998459942380001,75.57690662725128,2.0729384118769816,2.4118199364285124,0.3065175019007985,0.8975929698721564,0.65,4.22870935800006,9112,1.2128751129340594,0.014415170554058054,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
3,20260703,RDHO,0.8612858554962259,0.6279525221628927,0.23333333333333328,2.727952522162892,70.78157255812923,1.53658477061841,1.8940527213741567,0.34924853742554446,0.9403939228215407,0.7666666666666667,4.482072062000043,9112,0.8657757389776977,0.004489883481471724,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
4,20260704,RDHO,1.0179359066327225,0.7096025732993891,0.30833333333333335,3.4846025732993895,71.9769647268509,1.6905468399237282,2.013151504235447,0.3422058646998881,0.9199222879972672,0.6916666666666667,4.145470127999943,9112,1.0302479932916668,0.012312086658944343,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
5,20260705,RDHO,1.0961851889965453,0.7878518556632118,0.30833333333333335,3.562851855663212,110.55510713779611,1.8662560936397203,2.1870591442996803,0.29712122686737613,0.9565435184858823,0.6916666666666667,4.264728979999973,9112,1.1077479503995793,0.011562761403034028,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
