run_id,seed,scenario_id,replicate_id,scenario_seed,algorithm_seed,algorithm,fitness,reported_fitness,base_fitness,search_fitness,penalty_scale,report_penalty_scale,search_penalty,report_penalty,energy_norm,delay_norm,aoi_norm,energy,delay,aoi,qoe,fairness,csr,nfe_used,max_evaluations,runtime,experiment,lambda0,alpha
1,684064704,1,1,684064704,1921995125,RDHO,1.0964842688180974,1.0964842688180974,0.7548176021514307,1.2673176021514307,1.5,1.0,0.5125,0.3416666666666667,0.8017876287976712,1.29938610337842,1.1962963313220691,95.9514402538738,1.7764072152941677,2.089209822345943,0.3150159736971312,0.8834549220604561,0.6583333333333333,15011,15050,9.364177800249308,dynamic_penalty,0.5,1.0
2,686312795,2,1,686312795,1924243216,RDHO,0.9573457252250578,0.9573457252250578,0.6823457252250578,1.094845725225058,1.5,1.0,0.4125,0.275,0.6229163058756249,1.1378544378300686,1.089578250781655,70.14174572082327,1.7964504691629002,2.132939936791648,0.3194293891602787,0.8793127567882303,0.725,15011,15050,9.088753399904816,dynamic_penalty,0.5,1.0
3,688560886,3,1,688560886,1926491307,RDHO,0.8831411624398652,0.8831411624398652,0.6164744957731985,1.0164744957731986,1.5,1.0,0.4000000000000001,0.2666666666666667,0.6749532730325157,0.9071412715499688,0.9749473821413228,90.6775510830576,1.55881854088932,1.872647622817804,0.3432477275283788,0.920068921841376,0.7333333333333333,15011,15050,8.997395600192249,dynamic_penalty,0.5,1.0
4,690808977,4,1,690808977,1928739398,RDHO,1.1337323248874585,1.1337323248874585,0.7337323248874583,1.3337323248874584,1.5,1.0,0.6000000000000001,0.4,0.8298873330704601,1.1949279731017783,1.156934119818131,85.11637352010514,1.9881872940842653,2.340088845316396,0.3120355747666523,0.8934716052413628,0.6,15011,15050,9.257730000186712,dynamic_penalty,0.5,1.0
5,693057068,5,1,693057068,1930987489,RDHO,0.7430365172719475,0.7430365172719475,0.5513698506052809,0.8388698506052809,1.5,1.0,0.2875,0.1916666666666666,0.5864557300937852,0.7611872747047981,0.8567414508753632,69.63929523396992,1.5225109302553923,1.893829079887201,0.3556352404353829,0.932864320722934,0.8083333333333333,15011,15050,9.082272400148211,dynamic_penalty,0.5,1.0
6,695305159,6,1,695305159,1933235580,RDHO,0.8689935352101592,0.8689935352101592,0.6356602018768259,0.985660201876826,1.5,1.0,0.3499999999999999,0.2333333333333332,0.7654693642244108,0.9214162271698634,0.9654581696491612,105.95662768360238,1.651729584788336,2.041037900724588,0.3274528225479065,0.9144042605006828,0.7666666666666667,15011,15050,9.057313499972224,dynamic_penalty,0.5,1.0
7,697553250,7,1,697553250,1935483671,RDHO,1.053296793227857,1.053296793227857,0.728296793227857,1.2157967932278568,1.5,1.0,0.4874999999999999,0.3249999999999999,0.6537395451259296,1.2562495766372468,1.2461616966377451,74.52995682334256,1.5905689822744171,1.8869130190362615,0.3188983795547543,0.9108372779019196,0.675,15011,15050,9.0737971002236,dynamic_penalty,0.5,1.0
8,699801341,8,1,699801341,1937731762,RDHO,0.8086576474585713,0.8086576474585713,0.575324314125238,0.925324314125238,1.5,1.0,0.3499999999999999,0.2333333333333332,0.5954404053907938,0.8373991691736886,0.8740489397672082,74.66042707551676,1.5961962062384536,1.9709651155671344,0.3380305349947289,0.9196151050567752,0.7666666666666667,15011,15050,8.99688610015437,dynamic_penalty,0.5,1.0
9,702049432,9,1,702049432,1939979853,RDHO,1.1029025618401405,1.1029025618401405,0.7612358951734738,1.273735895173474,1.5,1.0,0.5125,0.3416666666666667,0.7276843083070846,1.2829362345723463,1.2680550270310131,97.790020940778,1.7817863191765135,2.082992510325105,0.3024763624705526,0.8733964041880214,0.6583333333333333,15011,15050,9.063258099835366,dynamic_penalty,0.5,1.0
10,3782276182,10,1,3782276182,2742404085,RDHO,1.0791085813388248,1.0791085813388248,0.7457752480054913,1.245775248005491,1.5,1.0,0.5,0.3333333333333333,0.8332017693989849,1.1389077110080366,1.209662607490848,91.8609819940329,1.6361160268656838,1.939062704599336,0.2985914150077255,0.8693033672072006,0.6666666666666666,15011,15050,9.089204999618232,dynamic_penalty,0.5,1.0
11,3784524273,11,1,3784524273,2744652176,RDHO,0.8974416279573182,0.8974416279573182,0.6224416279573182,1.0349416279573185,1.5,1.0,0.4125,0.275,0.7059457606854986,0.9139631835283968,0.9614349877412938,87.25337095185577,1.7663838754680377,2.1332100583507225,0.3291688025416619,0.9221580423504374,0.725,15011,15050,9.187254399992526,dynamic_penalty,0.5,1.0
12,3786772364,12,1,3786772364,2746900267,RDHO,0.9600187083690674,0.9600187083690674,0.6683520417024008,1.1058520417024007,1.5,1.0,0.4374999999999999,0.2916666666666666,0.6294288800266069,1.1403773514720703,1.0550750579871409,82.24317612347062,1.4670236747598646,1.763955133317348,0.3414025090462775,0.891133109433038,0.7083333333333334,15011,15050,9.04586589988321,dynamic_penalty,0.5,1.0
