comparison,w_statistic,p_value,median_difference,rank_biserial,wins,ties,losses,p_holm,significant
RDHO-core vs RIME,5.0,1.862645149230957e-08,-0.22666996537866935,-0.978494623655914,28,0,2,3.725290298461914e-08,Yes
RDHO-core vs DBO,0.0,1.862645149230957e-09,0.13298188773657116,1.0,0,0,30,7.450580596923828e-09,Yes
RDHO-core vs TLBO-HHO,1.0,3.725290298461914e-09,0.18039669213473408,0.9956989247311828,1,0,29,1.1175870895385742e-08,Yes
RDHO-core vs CWTSSA,62.0,0.00020912662148475647,0.06351214627427215,0.7333333333333333,7,0,23,0.00020912662148475647,Yes
