setting,description,weights,w_energy,w_delay,w_aoi,w_qoe,w_fairness,fitness_mean,fitness_std,fitness,base_objective_mean,base_objective_std,base_objective,penalty_mean,penalty_std,penalty,search_fitness_mean,search_fitness_std,search_fitness,energy_mean,energy_std,energy,delay_mean,delay_std,delay,aoi_mean,aoi_std,aoi,qoe_mean,qoe_std,qoe,fairness_mean,fairness_std,fairness,csr_mean,csr_std,csr,runtime_mean,runtime_std,runtime,nfe_mean,nfe_std,nfe,pre_refinement_fitness_mean,pre_refinement_fitness_std,pre_refinement_fitness,local_refinement_gain_mean,local_refinement_gain_std,local_refinement_gain
S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25,0.957136129723385,0.08536337019810368,0.957136 +/- 0.085363,0.6660250186122738,0.048448196868417254,0.666025 +/- 0.048448,0.2911111111111111,0.04315909562446054,0.291111 +/- 0.043159,3.286025018612274,0.42534605327254976,3.286025 +/- 0.425346,85.1163472257323,15.831328385708836,85.116347 +/- 15.831328,1.6423378801714594,0.178807966698881,1.642338 +/- 0.178808,1.9611655649049744,0.1948593816720362,1.961166 +/- 0.194859,0.32695445498380254,0.01877852333323579,0.326954 +/- 0.018779,0.9388062031920292,0.01865514677717348,0.938806 +/- 0.018655,0.7088888888888889,0.04315909562446054,0.708889 +/- 0.043159,4.265483672433357,0.13636400110942465,4.265484 +/- 0.136364,9112.0,0.0,9112.000000 +/- 0.000000,0.9720222593271107,0.08878278026042045,0.972022 +/- 0.088783,0.014886129603725828,0.005861085409017037,0.014886 +/- 0.005861
S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2,1.0076262554732174,0.09295223208483791,1.007626 +/- 0.092952,0.7142929221398837,0.05596939591902043,0.714293 +/- 0.055969,0.29333333333333333,0.04279506542255863,0.293333 +/- 0.042795,3.354292922139883,0.4296074251862727,3.354293 +/- 0.429607,82.66108791142067,15.622866973369371,82.661088 +/- 15.622867,1.6497158096803617,0.18061954180388956,1.649716 +/- 0.180620,1.968543494413877,0.19728311485203084,1.968543 +/- 0.197283,0.32693695991162325,0.019069787231462562,0.326937 +/- 0.019070,0.9378439430102673,0.01938641828611792,0.937844 +/- 0.019386,0.7066666666666666,0.042795065422558634,0.706667 +/- 0.042795,4.312198342699996,0.1549477932863471,4.312198 +/- 0.154948,9112.0,0.0,9112.000000 +/- 0.000000,1.0207930204730595,0.09627438552456317,1.020793 +/- 0.096274,0.013166764999842196,0.007151520946453387,0.013167 +/- 0.007152
S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15,1.0573537112486622,0.10018044731566204,1.057354 +/- 0.100180,0.761242600137551,0.06141865583144641,0.761243 +/- 0.061419,0.2961111111111111,0.04531358032578371,0.296111 +/- 0.045314,3.426242600137551,0.45605500589943326,3.426243 +/- 0.456055,78.69723915388639,15.309230250728088,78.697239 +/- 15.309230,1.6734536805583047,0.17293234585441453,1.673454 +/- 0.172932,1.9922813652918205,0.18935702465760718,1.992281 +/- 0.189357,0.32656883356520666,0.018929970298723432,0.326569 +/- 0.018930,0.9367331552075832,0.019960613428880263,0.936733 +/- 0.019961,0.7038888888888888,0.04531358032578372,0.703889 +/- 0.045314,4.2984376350333,0.18317564588609542,4.298438 +/- 0.183176,9112.0,0.0,9112.000000 +/- 0.000000,1.0720525253126911,0.10238840381946544,1.072053 +/- 0.102388,0.01469881406402892,0.008022735808940156,0.014699 +/- 0.008023
S4,QoE-fairness priority,"(0.100, 0.100, 0.150, 0.325, 0.325)",0.1,0.1,0.15,0.325,0.325,0.8701633255640678,0.07428428843760841,0.870163 +/- 0.074284,0.5793299922307343,0.0375986262511007,0.579330 +/- 0.037599,0.29083333333333333,0.04251154902807334,0.290833 +/- 0.042512,3.196829992230735,0.41045686212505816,3.196830 +/- 0.410457,87.39571620941702,17.74031419214928,87.395716 +/- 17.740314,1.6377421966711212,0.1892887061597402,1.637742 +/- 0.189289,1.9565698814046364,0.2054960399069015,1.956570 +/- 0.205496,0.3267561633315216,0.01859294418181159,0.326756 +/- 0.018593,0.9421290127908772,0.01720766102123206,0.942129 +/- 0.017208,0.7091666666666666,0.04251154902807334,0.709167 +/- 0.042512,4.315504867166662,0.18974429680793603,4.315505 +/- 0.189744,9112.0,0.0,9112.000000 +/- 0.000000,0.8845420533723779,0.07574868666967322,0.884542 +/- 0.075749,0.014378727808310128,0.006328553387644703,0.014379 +/- 0.006329
S5,AoI-freshness priority,"(0.125, 0.125, 0.350, 0.200, 0.200)",0.125,0.125,0.35,0.2,0.2,1.0335371254787875,0.09443608916751944,1.033537 +/- 0.094436,0.7329815699232319,0.056060342840766664,0.732982 +/- 0.056060,0.3005555555555555,0.04495279203934749,0.300556 +/- 0.044953,3.4379815699232323,0.44790147464980495,3.437982 +/- 0.447901,97.76015766807647,17.614433421905375,97.760158 +/- 17.614433,1.5425279625082196,0.17555954059046816,1.542528 +/- 0.175560,1.861355647241735,0.1915991039425269,1.861356 +/- 0.191599,0.3266944453308398,0.01865424208609649,0.326694 +/- 0.018654,0.9389575863481068,0.019240264733309708,0.938958 +/- 0.019240,0.6994444444444444,0.04495279203934749,0.699444 +/- 0.044953,4.309303670866681,0.16079262125235516,4.309304 +/- 0.160793,9112.0,0.0,9112.000000 +/- 0.000000,1.0465233850602773,0.09769618826259575,1.046523 +/- 0.097696,0.012986259581489927,0.0066830789244456835,0.012986 +/- 0.006683
