lambda0,alpha,fitness_mean,fitness_std,fitness,base_objective_mean,base_objective_std,base_objective,penalty_mean,penalty_std,penalty,search_fitness_mean,search_fitness_std,search_fitness,energy_mean,energy_std,energy,delay_mean,delay_std,delay,aoi_mean,aoi_std,aoi,qoe_mean,qoe_std,qoe,fairness_mean,fairness_std,fairness,csr_mean,csr_std,csr,runtime_mean,runtime_std,runtime,nfe_mean,nfe_std,nfe,pre_refinement_fitness_mean,pre_refinement_fitness_std,pre_refinement_fitness,local_refinement_gain_mean,local_refinement_gain_std,local_refinement_gain
0.5,1.0,0.9572657317942965,0.08559198086520463,0.957266 +/- 0.085592,0.6642101762387411,0.04890655917721847,0.664210 +/- 0.048907,0.29305555555555557,0.04260907421687795,0.293056 +/- 0.042609,1.1037935095720746,0.10561583650940566,1.103794 +/- 0.105616,85.83668397552363,16.51839151086186,85.836684 +/- 16.518392,1.632341120605267,0.17631633055024679,1.632341 +/- 0.176316,1.9511688053387823,0.19264813721196472,1.951169 +/- 0.192648,0.32697152779771993,0.018968663456446457,0.326972 +/- 0.018969,0.9388054944247045,0.018654155546448,0.938805 +/- 0.018654,0.7069444444444444,0.04260907421687795,0.706944 +/- 0.042609,4.287149066199967,0.15500862815192318,4.287149 +/- 0.155009,9112.0,0.0,9112.000000 +/- 0.000000,0.9738691542769047,0.08926781339492842,0.973869 +/- 0.089268,0.016603422482608206,0.00897014876329671,0.016603 +/- 0.008970
0.5,2.0,0.9565079666187674,0.08748246441674433,0.956508 +/- 0.087482,0.6637301888409897,0.048694755983737216,0.663730 +/- 0.048695,0.29277777777777775,0.04456759757393406,0.292778 +/- 0.044568,1.9812301888409893,0.23963295697510456,1.981230 +/- 0.239633,86.16120048056509,16.526419509911033,86.161200 +/- 16.526420,1.6265479212096077,0.1799761238868626,1.626548 +/- 0.179976,1.9453756059431229,0.1967232467399901,1.945376 +/- 0.196723,0.32708845037090856,0.018941896188440385,0.327088 +/- 0.018942,0.9387480317406857,0.01888954394292755,0.938748 +/- 0.018890,0.7072222222222223,0.04456759757393406,0.707222 +/- 0.044568,4.327559388033341,0.1468659496860651,4.327559 +/- 0.146866,9112.0,0.0,9112.000000 +/- 0.000000,0.9727061684450387,0.08988633130347942,0.972706 +/- 0.089886,0.016198201826271116,0.008430606645999612,0.016198 +/- 0.008431
0.5,3.0,0.9569698947821528,0.08672243616312547,0.956970 +/- 0.086722,0.6647476725599305,0.048837726897858015,0.664748 +/- 0.048838,0.29222222222222227,0.04376516340034038,0.292222 +/- 0.043765,4.609747672559931,0.6284413105148788,4.609748 +/- 0.628441,85.76325619477969,16.541639360519792,85.763256 +/- 16.541639,1.632857551017892,0.1760708159248578,1.632858 +/- 0.176071,1.9516852357514074,0.19304823929078516,1.951685 +/- 0.193048,0.3269149877838814,0.01886359915746385,0.326915 +/- 0.018864,0.9387195156508621,0.018848549975008594,0.938720 +/- 0.018849,0.7077777777777778,0.04376516340034039,0.707778 +/- 0.043765,4.366221833600003,0.17986791040396866,4.366222 +/- 0.179868,9112.0,0.0,9112.000000 +/- 0.000000,0.9727108507766368,0.09012715300578777,0.972711 +/- 0.090127,0.01574095599448399,0.010330370984405967,0.015741 +/- 0.010330
1.0,1.0,0.9568996805096734,0.0853675421357902,0.956900 +/- 0.085368,0.6652330138430067,0.048681905809588144,0.665233 +/- 0.048682,0.2916666666666667,0.042604390614311795,0.291667 +/- 0.042604,1.540233013843007,0.16737323693503592,1.540233 +/- 0.167373,85.44679199865921,16.35453722085882,85.446792 +/- 16.354537,1.6390193083552687,0.17547918683598748,1.639019 +/- 0.175479,1.9578469930887843,0.1912982567092945,1.957847 +/- 0.191298,0.3270020167003142,0.01890815666799865,0.327002 +/- 0.018908,0.9390086550161078,0.01873649842116654,0.939009 +/- 0.018736,0.7083333333333334,0.042604390614311795,0.708333 +/- 0.042604,4.340176124833306,0.15782289003129066,4.340176 +/- 0.157823,9112.0,0.0,9112.000000 +/- 0.000000,0.9718356687896806,0.08797872245064851,0.971836 +/- 0.087979,0.014935988280007273,0.007670812136489815,0.014936 +/- 0.007671
1.0,2.0,0.957136129723385,0.08536337019810368,0.957136 +/- 0.085363,0.6660250186122738,0.048448196868417254,0.666025 +/- 0.048448,0.2911111111111111,0.04315909562446054,0.291111 +/- 0.043159,3.286025018612274,0.42534605327254976,3.286025 +/- 0.425346,85.1163472257323,15.831328385708836,85.116347 +/- 15.831328,1.6423378801714594,0.178807966698881,1.642338 +/- 0.178808,1.9611655649049744,0.1948593816720362,1.961166 +/- 0.194859,0.32695445498380254,0.01877852333323579,0.326954 +/- 0.018779,0.9388062031920292,0.01865514677717348,0.938806 +/- 0.018655,0.7088888888888889,0.04315909562446054,0.708889 +/- 0.043159,4.4167229892666455,0.26420767108640014,4.416723 +/- 0.264208,9112.0,0.0,9112.000000 +/- 0.000000,0.9720222593271107,0.08878278026042045,0.972022 +/- 0.088783,0.014886129603725828,0.005861085409017037,0.014886 +/- 0.005861
1.0,3.0,0.9569091375316247,0.08597254642841197,0.956909 +/- 0.085973,0.6644091375316247,0.04863012151537916,0.664409 +/- 0.048630,0.29250000000000004,0.04345859437772186,0.292500 +/- 0.043459,8.561909137531623,1.2099212023233241,8.561909 +/- 1.209921,86.40149463372931,16.67633053682558,86.401495 +/- 16.676331,1.6277019125642884,0.1745720932531889,1.627702 +/- 0.174572,1.9465295972978036,0.19159904732436092,1.946530 +/- 0.191599,0.3269567850050216,0.018887907273136644,0.326957 +/- 0.018888,0.9387469224926955,0.018749329613698313,0.938747 +/- 0.018749,0.7075,0.04345859437772186,0.707500 +/- 0.043459,4.476436691133328,0.3361370864969125,4.476437 +/- 0.336137,9112.0,0.0,9112.000000 +/- 0.000000,0.9721169244798011,0.08828938935209252,0.972117 +/- 0.088289,0.015207786948176578,0.007983587858937642,0.015208 +/- 0.007984
2.0,1.0,0.9560747500378308,0.08557611351705134,0.956075 +/- 0.085576,0.6644080833711642,0.04799758271898039,0.664408 +/- 0.047998,0.2916666666666667,0.04420433223684923,0.291667 +/- 0.044204,2.414408083371164,0.3017308024530229,2.414408 +/- 0.301731,85.92876380235667,16.15699156394659,85.928764 +/- 16.156992,1.629301318092659,0.17901949502568873,1.629301 +/- 0.179019,1.9481290028261742,0.19687796328870796,1.948129 +/- 0.196878,0.32707331144187785,0.01900535465026529,0.327073 +/- 0.019005,0.9388374367247544,0.018857710862846797,0.938837 +/- 0.018858,0.7083333333333334,0.04420433223684923,0.708333 +/- 0.044204,4.478707347066605,0.3108023636303232,4.478707 +/- 0.310802,9112.0,0.0,9112.000000 +/- 0.000000,0.9709865512605556,0.08872776854062435,0.970987 +/- 0.088728,0.01491180122272457,0.00779887664373147,0.014912 +/- 0.007799
2.0,2.0,0.9564072668979068,0.08564415199266588,0.956407 +/- 0.085644,0.6658517113423511,0.049898895088544754,0.665852 +/- 0.049899,0.29055555555555557,0.04168007447112185,0.290556 +/- 0.041680,5.895851711342352,0.7882209287152816,5.895852 +/- 0.788221,84.95246915305147,15.60774144968942,84.952469 +/- 15.607741,1.6419633548524337,0.1855096304610048,1.641963 +/- 0.185510,1.9607910395859494,0.2008326152981301,1.960791 +/- 0.200833,0.32701673325636454,0.018991279872669655,0.327017 +/- 0.018991,0.9389387793229292,0.01862196700560375,0.938939 +/- 0.018622,0.7094444444444444,0.04168007447112185,0.709444 +/- 0.041680,4.4077647921666845,0.18411828829370372,4.407765 +/- 0.184118,9112.0,0.0,9112.000000 +/- 0.000000,0.9704072307926517,0.08989664735607662,0.970407 +/- 0.089897,0.013999963894744737,0.007957189729553334,0.014000 +/- 0.007957
2.0,3.0,0.9582191907838304,0.087281971263561,0.958219 +/- 0.087282,0.6640525241171638,0.04887064813795501,0.664053 +/- 0.048871,0.29416666666666663,0.044158262050036506,0.294167 +/- 0.044158,16.54905252411716,2.4218919449943033,16.549053 +/- 2.421892,86.29811220197485,16.663668291730133,86.298112 +/- 16.663668,1.6286059402778208,0.17844836777178133,1.628606 +/- 0.178448,1.9474336250113358,0.19596508304265262,1.947434 +/- 0.195965,0.32699876541630857,0.01895184134521012,0.326999 +/- 0.018952,0.9388500829752876,0.018802495454338222,0.938850 +/- 0.018802,0.7058333333333332,0.044158262050036506,0.705833 +/- 0.044158,4.360384857066614,0.1497521233583588,4.360385 +/- 0.149752,9112.0,0.0,9112.000000 +/- 0.000000,0.9742918547715902,0.08968886443707447,0.974292 +/- 0.089689,0.01607266398775996,0.009029083132000858,0.016073 +/- 0.009029
