variant,W,p,median,rank_biserial,p_holm
RDHO-core,0.0,1.862645149230957e-09,-0.013324739345137893,-1.0,9.313225746154785e-09
RDHO-w/o adaptive role allocation,215.0,0.7303419969975948,-7.917422750625125e-05,-0.07526881720430108,1.0
RDHO-w/o dual-source initialization,42.0,2.0798295736312866e-05,-0.0038549515125193556,-0.8193548387096774,8.319318294525146e-05
RDHO-w/o dynamic penalty,219.0,0.7921590935438871,-0.0002127705560135973,-0.05806451612903226,1.0
RDHO-w/o elite preservation,187.0,0.3598779272288084,0.000707577522544911,0.1956989247311828,1.0
