task_number,fitness_mean,fitness_std,fitness,csr_mean,csr_std,csr,runtime_mean,runtime_std,runtime,nfe_mean,nfe_std,nfe
20,0.9613493110938869,0.1330846778041492,0.961349 +/- 0.133085,0.7016666666666667,0.06687467549246291,0.701667 +/- 0.066875,2.3445212802000244,0.12163229180619696,2.344521 +/- 0.121632,8332.0,0.0,8332.000000 +/- 0.000000
40,0.9784113242872297,0.10384723564894342,0.978411 +/- 0.103847,0.7016666666666667,0.04227336084388178,0.701667 +/- 0.042273,4.380877075499984,0.18754799885345722,4.380877 +/- 0.187548,9112.0,0.0,9112.000000 +/- 0.000000
60,1.003994552870879,0.09450795882684285,1.003995 +/- 0.094508,0.6772222222222223,0.0421026572184698,0.677222 +/- 0.042103,6.493583373500019,0.17047307252784824,6.493583 +/- 0.170473,9892.0,0.0,9892.000000 +/- 0.000000
80,0.9919689580720172,0.05189352118150524,0.991969 +/- 0.051894,0.6804166666666667,0.0275721556181612,0.680417 +/- 0.027572,8.920745169499991,0.07779095461322603,8.920745 +/- 0.077791,10672.0,0.0,10672.000000 +/- 0.000000
100,0.9969025698832035,0.04780618657112112,0.996903 +/- 0.047806,0.6813333333333332,0.025249373540694647,0.681333 +/- 0.025249,11.477344362200052,0.2764024779125481,11.477344 +/- 0.276402,11452.0,0.0,11452.000000 +/- 0.000000
