method,n,reporting_fitness_mean,reporting_fitness_std,reporting_fitness_median,base_objective_mean,base_objective_std,base_objective_median,energy_mean,energy_std,energy_median,delay_mean,delay_std,delay_median,aoi_mean,aoi_std,aoi_median,qoe_mean,qoe_std,qoe_median,fairness_mean,fairness_std,fairness_median,soft_csr_mean,soft_csr_std,soft_csr_median,capacity_utilisation_mean,capacity_utilisation_std,capacity_utilisation_median,runtime_s_mean,runtime_s_std,runtime_s_median,total_nfe_mean,total_nfe_std,total_nfe_median,population_nfe_mean,population_nfe_std,population_nfe_median,refinement_nfe_mean,refinement_nfe_std,refinement_nfe_median,reassignment_count_mean,reassignment_count_std,reassignment_count_median,repair_failure_count_mean,repair_failure_count_std,repair_failure_count_median,hard_feasible_count,assignment_unique_count
RDHO-common-pipeline,30,0.9732054496710478,0.12440504527741121,0.982734904537724,0.6779276718932701,0.07225323023902441,0.6856564587144525,98.9348066764709,27.187074716633944,95.47646500268436,1.8454852837317903,0.2280206433467216,1.841014260476641,2.16875331132539,0.2357842348267903,2.1545610465751968,0.44601198320825175,0.03287941500697095,0.4443332838945034,0.9273096159499361,0.020498721305483355,0.9276942032609982,0.7047222222222224,0.05629370729914208,0.6916666666666667,0.8249980735080784,0.04791560316532014,0.8198416936221071,9.053837280566666,0.4773472144750369,9.117525396,10232.0,0.0,10232.0,9232.0,0.0,9232.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,30
RIME-common-pipeline,30,0.9835905941362008,0.12048459692214145,0.9950161465148228,0.675812816358423,0.06959859303680872,0.6780737128211005,97.78003344065033,26.09456545575878,90.55856548023131,1.852370521975042,0.22679302042906394,1.8360506773772483,2.175638549568641,0.23371869745924786,2.163415437414867,0.4453993748337889,0.031573514427244535,0.4429925070406542,0.9267135619790562,0.020000675941728118,0.9298356606680612,0.6922222222222223,0.05274701664555434,0.6833333333333333,0.8075896456450177,0.045249710453653585,0.8171388266523105,9.1691903501,0.4811354504008736,9.240894542,10232.0,0.0,10232.0,9232.0,0.0,9232.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,30
DBO-common-pipeline,30,0.9664040218785112,0.12336962050630278,0.9675659912310599,0.6744595774340667,0.07006564713103518,0.6722557608491397,93.58193977903603,23.58898755202742,86.6358447492849,1.889415705707284,0.24777119181880308,1.8765249005507298,2.212683733300884,0.2580717633856503,2.203895623033337,0.4459896280998226,0.03229445683421881,0.44498112940302204,0.9260997753776267,0.020237391124931326,0.9259240446571031,0.7080555555555557,0.05590098549041411,0.7,0.8097805120707637,0.04795600053001917,0.8049281994132057,8.929932576266667,0.5276960126216027,8.7983476665,10232.0,0.0,10232.0,9232.0,0.0,9232.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,30
