experiment,lambda_ref,method,n,fixed_return_fitness_mean,fixed_return_fitness_std,fixed_return_fitness_median,base_objective_mean,base_objective_std,base_objective_median,soft_csr_mean,soft_csr_std,soft_csr_median,qoe_mean,qoe_std,qoe_median,fairness_mean,fairness_std,fairness_median,total_nfe_mean,total_nfe_std,total_nfe_median,runtime_s_mean,runtime_s_std,runtime_s_median
controlled_population_stage,0.5,RDHO,30,1.1957898143931336,0.13766589054524492,1.1701673302205102,0.972734258837578,0.11573834550652971,0.9329489407540403,0.5538888888888889,0.05434798711731378,0.55,0.3937294342959707,0.03326543064582877,0.3949572673540973,0.8962887799089512,0.035347847424415,0.8969746827128802,3801.0,0.0,3801.0,3.1487611306666676,0.1002900655475487,3.143412959
controlled_population_stage,0.5,RIME,30,1.4267582108673347,0.13962533435607885,1.3971471484600038,1.1700915442006683,0.1159713203420728,1.1571461757894346,0.48666666666666664,0.058705708012566436,0.5083333333333333,0.34563924099341253,0.030891064094106288,0.34707989079949486,0.8475864343131279,0.0369968152643568,0.8546413684148085,3801.0,0.0,3801.0,3.153981072200001,0.11419606186342142,3.1147184585
controlled_population_stage,0.5,DBO,30,1.0456526631154033,0.10134976043248937,1.0348638375606811,0.8503748853376255,0.08084599149162935,0.8432126235771602,0.6094444444444445,0.05443603813435552,0.6208333333333333,0.40963671382759564,0.03209923778750578,0.40987229412068243,0.9120308292945034,0.023570806218951607,0.9142344810746195,3801.0,0.0,3801.0,3.0531669125333334,0.09870566360932423,3.0414700625
controlled_population_stage,1.0,RDHO,30,1.418845369948689,0.161199510143467,1.3946045713210231,0.972734258837578,0.11573834550652971,0.9329489407540403,0.5538888888888889,0.05434798711731378,0.55,0.3937294342959707,0.03326543064582877,0.3949572673540973,0.8962887799089512,0.035347847424415,0.8969746827128802,3801.0,0.0,3801.0,3.1487611306666676,0.1002900655475487,3.143412959
controlled_population_stage,1.0,RIME,30,1.6834248775340017,0.1651190507568352,1.659319019950705,1.1700915442006683,0.1159713203420728,1.1571461757894346,0.48666666666666664,0.058705708012566436,0.5083333333333333,0.34563924099341253,0.030891064094106288,0.34707989079949486,0.8475864343131279,0.0369968152643568,0.8546413684148085,3801.0,0.0,3801.0,3.153981072200001,0.11419606186342142,3.1147184585
controlled_population_stage,1.0,DBO,30,1.240930440893181,0.12445527173673229,1.2208266093641695,0.8503748853376255,0.08084599149162935,0.8432126235771602,0.6094444444444445,0.05443603813435552,0.6208333333333333,0.40963671382759564,0.03209923778750578,0.40987229412068243,0.9120308292945034,0.023570806218951607,0.9142344810746195,3801.0,0.0,3801.0,3.0531669125333334,0.09870566360932423,3.0414700625
controlled_population_stage,2.0,RDHO,30,1.8649564810598,0.21090900153337694,1.8279379046543565,0.972734258837578,0.11573834550652971,0.9329489407540403,0.5538888888888889,0.05434798711731378,0.55,0.3937294342959707,0.03326543064582877,0.3949572673540973,0.8962887799089512,0.035347847424415,0.8969746827128802,3801.0,0.0,3801.0,3.1487611306666676,0.1002900655475487,3.143412959
controlled_population_stage,2.0,RIME,30,2.196758210867335,0.21902505566785366,2.15499078752228,1.1700915442006683,0.1159713203420728,1.1571461757894346,0.48666666666666664,0.058705708012566436,0.5083333333333333,0.34563924099341253,0.030891064094106288,0.34707989079949486,0.8475864343131279,0.0369968152643568,0.8546413684148085,3801.0,0.0,3801.0,3.153981072200001,0.11419606186342142,3.1147184585
controlled_population_stage,2.0,DBO,30,1.631485996448737,0.1742662316152879,1.603729674018903,0.8503748853376255,0.08084599149162935,0.8432126235771602,0.6094444444444445,0.05443603813435552,0.6208333333333333,0.40963671382759564,0.03209923778750578,0.40987229412068243,0.9120308292945034,0.023570806218951607,0.9142344810746195,3801.0,0.0,3801.0,3.0531669125333334,0.09870566360932423,3.0414700625
controlled_common_pipeline,0.5,RDHO,30,0.8255665607821587,0.0977564673812108,0.8292944077232101,0.6779276718932701,0.07225323023902441,0.6856564587144525,0.7047222222222224,0.05629370729914208,0.6916666666666667,0.44601198320825175,0.03287941500697096,0.44433328389450333,0.9273096159499361,0.02049872130548336,0.927694203260998,10232.0,0.0,10232.0,9.053837280566666,0.477347214475037,9.117525396
controlled_common_pipeline,0.5,RIME,30,0.829701705247312,0.09478760036442274,0.8341626999170331,0.675812816358423,0.06959859303680872,0.6780737128211005,0.6922222222222223,0.05274701664555434,0.6833333333333333,0.4453993748337889,0.03157351442724454,0.4429925070406541,0.9267135619790562,0.020000675941728104,0.9298356606680611,10232.0,0.0,10232.0,9.1691903501,0.4811354504008733,9.240894542
controlled_common_pipeline,0.5,DBO,30,0.820431799656289,0.09635039720302181,0.8188686329903292,0.6744595774340667,0.07006564713103518,0.6722557608491397,0.7080555555555557,0.05590098549041411,0.7,0.4459896280998226,0.03229445683421881,0.44498112940302204,0.9260997753776267,0.020237391124931326,0.9259240446571032,10232.0,0.0,10232.0,8.929932576266667,0.5276960126216027,8.7983476665
controlled_common_pipeline,1.0,RDHO,30,0.9732054496710478,0.12440504527741121,0.982734904537724,0.6779276718932701,0.07225323023902441,0.6856564587144525,0.7047222222222224,0.05629370729914208,0.6916666666666667,0.44601198320825175,0.03287941500697096,0.44433328389450333,0.9273096159499361,0.02049872130548336,0.927694203260998,10232.0,0.0,10232.0,9.053837280566666,0.477347214475037,9.117525396
controlled_common_pipeline,1.0,RIME,30,0.9835905941362008,0.12048459692214145,0.9950161465148228,0.675812816358423,0.06959859303680872,0.6780737128211005,0.6922222222222223,0.05274701664555434,0.6833333333333333,0.4453993748337889,0.03157351442724454,0.4429925070406541,0.9267135619790562,0.020000675941728104,0.9298356606680611,10232.0,0.0,10232.0,9.1691903501,0.4811354504008733,9.240894542
controlled_common_pipeline,1.0,DBO,30,0.9664040218785112,0.12336962050630278,0.9675659912310599,0.6744595774340667,0.07006564713103518,0.6722557608491397,0.7080555555555557,0.05590098549041411,0.7,0.4459896280998226,0.03229445683421881,0.44498112940302204,0.9260997753776267,0.020237391124931326,0.9259240446571032,10232.0,0.0,10232.0,8.929932576266667,0.5276960126216027,8.7983476665
controlled_common_pipeline,2.0,RDHO,30,1.2684832274488258,0.17908284190267632,1.295234904537724,0.6779276718932701,0.07225323023902441,0.6856564587144525,0.7047222222222224,0.05629370729914208,0.6916666666666667,0.44601198320825175,0.03287941500697096,0.44433328389450333,0.9273096159499361,0.02049872130548336,0.927694203260998,10232.0,0.0,10232.0,9.053837280566666,0.477347214475037,9.117525396
