task_number,run_id,seed,fitness,csr,runtime,nfe
20,1,20260701,0.8914151576754473,0.7333333333333333,2.458049231999894,8332
20,2,20260702,1.2196220155606543,0.5833333333333334,2.3158451229999173,8332
20,3,20260703,0.8081569777243807,0.8,2.272011126000052,8332
20,4,20260704,1.088845137818173,0.65,2.3115765520001332,8332
20,5,20260705,1.02752306437868,0.6666666666666666,2.2618933500000367,8332
20,6,20260706,0.8590549731395032,0.7333333333333333,2.2621822319999865,8332
20,7,20260707,0.9639966172752705,0.6833333333333333,2.186810648000119,8332
20,8,20260708,0.9199176510604113,0.7333333333333333,2.3068767140000546,8332
20,9,20260709,1.0351020634409052,0.65,2.5169998210001268,8332
20,10,20260710,0.799859452865445,0.7833333333333333,2.552968003999922,8332
40,1,20260701,1.0292466225144756,0.675,4.250555836999865,9112
40,2,20260702,1.1270378251240305,0.6583333333333333,4.196844011000167,9112
40,3,20260703,0.8141516422510634,0.775,4.366942512999913,9112
40,4,20260704,0.9680597340770317,0.6916666666666667,4.18687990699982,9112
40,5,20260705,1.034596178664645,0.6916666666666667,4.32019160699997,9112
40,6,20260706,0.8818978841809629,0.7416666666666667,4.446360939999977,9112
40,7,20260707,0.9060100813665415,0.725,4.465392879000092,9112
40,8,20260708,0.9580942257064804,0.6916666666666667,4.841599567999992,9112
40,9,20260709,1.1357476844033196,0.6333333333333333,4.374855127000046,9112
40,10,20260710,0.9292713645837448,0.7333333333333333,4.359148365999999,9112
60,1,20260701,0.9349362359093846,0.7277777777777777,6.544253998000158,9892
60,2,20260702,0.9526586408701717,0.6888888888888889,6.396849839999959,9892
60,3,20260703,1.0583667675616704,0.6388888888888888,6.725505682999938,9892
60,4,20260704,0.9984673604063071,0.6944444444444444,6.552268403000198,9892
60,5,20260705,1.109023763653762,0.6333333333333333,6.3048575249999885,9892
60,6,20260706,0.9102221264779699,0.7222222222222222,6.312328867000133,9892
60,7,20260707,0.8815173643678652,0.7166666666666667,6.352478113000188,9892
60,8,20260708,1.1860842312840094,0.6,6.3942969189999985,9892
60,9,20260709,1.0360561759936733,0.6722222222222223,6.793199312999832,9892
60,10,20260710,0.9726128621839752,0.6777777777777778,6.559795073999794,9892
80,1,20260701,0.9222440721006272,0.6916666666666667,8.792549906999966,10672
80,2,20260702,0.9675927965376118,0.7166666666666667,8.917545448999817,10672
80,3,20260703,0.97883958654186,0.6875,8.957647220000126,10672
80,4,20260704,0.9481703983507395,0.6916666666666667,8.868299239999942,10672
80,5,20260705,1.044553517046837,0.65,8.905853759000138,10672
80,6,20260706,0.9221554172508079,0.7291666666666666,9.059050270999933,10672
80,7,20260707,1.0057527425029575,0.6666666666666666,8.999577302000034,10672
80,8,20260708,1.0275025278656464,0.6625,8.843405313999938,10672
80,9,20260709,1.0352395835296921,0.6583333333333333,8.899222752000014,10672
80,10,20260710,1.0676389389933925,0.65,8.96430048100001,10672
100,1,20260701,0.988363758962692,0.6766666666666666,11.274000693000062,11452
100,2,20260702,0.9987621959513386,0.6733333333333333,11.207772659000057,11452
100,3,20260703,1.0034826798427892,0.67,11.982626793999998,11452
100,4,20260704,1.0572962282083975,0.6566666666666666,11.32062342800009,11452
100,5,20260705,1.0628201082366802,0.66,11.502327911000066,11452
100,6,20260706,0.9173220435297987,0.73,11.534870870000077,11452
100,7,20260707,0.9673719671498241,0.7033333333333334,11.327809757000068,11452
100,8,20260708,1.0274236430545973,0.66,11.235892248000027,11452
100,9,20260709,0.9331784004216114,0.7133333333333334,11.93400044200007,11452
100,10,20260710,1.0130046734743043,0.67,11.45351882,11452
