run_id,seed,algorithm,fitness,base_objective,penalty,search_fitness,energy,delay,aoi,qoe,fairness,csr,runtime,nfe,pre_refinement_fitness,local_refinement_gain
1,20260701,RIME,1.5609236913291529,1.0775903579958197,0.4833333333333333,1.5609236913291529,130.4526509361698,3.783797524876711,4.091739120908947,0.2649574872833724,0.9178770499625786,0.5166666666666667,5.120045236999999,7551,1.5609236913291529,0.0
1,20260701,DBO,1.0748404834034035,0.7415071500700703,0.3333333333333333,1.0748404834034035,82.50080310825588,1.9093275969114727,2.217269192943709,0.3203584840066942,0.945507638916931,0.6666666666666666,4.386519252000085,7551,1.0748404834034035,0.0
1,20260701,TLBO-HHO,1.1393722770102666,0.7560389436769333,0.3833333333333333,1.1393722770102666,65.51682791290251,2.0050321762490606,2.312973772281296,0.317152571330067,0.944023298262829,0.6166666666666667,5.071907580000016,7551,1.1393722770102666,0.0
1,20260701,CWTSSA,1.1133244304639045,0.7466577637972376,0.3666666666666667,1.1133244304639045,85.83057936669266,1.8765277764185204,2.184469372450756,0.3152985854251867,0.9426090962342578,0.6333333333333333,4.760022396999943,7551,1.1133244304639045,0.0
1,20260701,Greedy-ED,1.1107113453966515,0.7107113453966517,0.4,1.1107113453966515,104.3336118279296,1.648673785119432,1.956615381151668,0.320573489037225,0.9479257485838768,0.6,0.1936646310000469,361,1.1107113453966515,0.0
2,20260702,RIME,1.624109325573083,1.099109325573083,0.525,1.624109325573083,85.17654479077306,3.346324411551896,3.6852059361034266,0.2590284296257539,0.8887363130543995,0.475,4.292345984999997,7551,1.624109325573083,0.0
2,20260702,DBO,1.2014599860413586,0.834793319374692,0.3666666666666667,1.2014599860413586,59.30255416175278,2.359521242985352,2.6984027675368827,0.3047355089848812,0.9014095661532197,0.6333333333333333,4.464326075000031,7551,1.2014599860413586,0.0
2,20260702,TLBO-HHO,1.2022932752127136,0.8022932752127134,0.4,1.2022932752127136,71.42950247964433,2.1771290948014164,2.516010619352948,0.3004917731753342,0.901444918850788,0.6,5.69459043400002,7551,1.2022932752127136,0.0
2,20260702,CWTSSA,1.1674585517241378,0.8007918850574711,0.3666666666666667,1.1674585517241378,73.43800452543502,2.1997717954413147,2.5386533199928456,0.3041113034864905,0.8983228006199129,0.6333333333333333,5.452179948999969,7551,1.1674585517241378,0.0
2,20260702,Greedy-ED,1.2240280792911782,0.790694745957845,0.4333333333333333,1.2240280792911782,77.68640583697513,2.0616460426723915,2.4005275672239224,0.3042879038183066,0.8983998425546784,0.5666666666666667,0.2732059029999618,361,1.2240280792911782,0.0
3,20260703,RIME,1.1722246848431863,0.8222246848431866,0.35,1.1722246848431863,77.13864612978237,2.756211710805574,3.1136796615613207,0.3060523761232862,0.8286918062156753,0.65,5.773577273000001,7551,1.1722246848431863,0.0
3,20260703,DBO,0.9205895798410488,0.6372562465077154,0.2833333333333333,0.9205895798410488,63.7671700321499,1.843462276475568,2.2009302272313147,0.3365499080564341,0.936994479857826,0.7166666666666667,5.448395032000008,7551,0.9205895798410488,0.0
3,20260703,TLBO-HHO,0.9200360059430064,0.6200360059430063,0.3,0.9200360059430064,54.2311316714794,1.8287936851702808,2.1862616359260274,0.3390030590780261,0.9355387353022308,0.7,4.5412864420000005,7551,0.9200360059430064,0.0
3,20260703,CWTSSA,0.8786106274841456,0.6202772941508123,0.2583333333333333,0.8786106274841456,46.173899488738925,1.8841878449698903,2.241655795725637,0.3422197471913381,0.9374291505165404,0.7416666666666667,4.603757250999934,7551,0.8786106274841456,0.0
3,20260703,Greedy-ED,0.8887780824691108,0.5971114158024442,0.2916666666666666,0.8887780824691108,74.65946817763745,1.521596439852282,1.8790643906080289,0.3464036091814111,0.9418890326561666,0.7083333333333334,0.204918588000055,361,0.8887780824691108,0.0
4,20260704,RIME,1.3992460954660753,0.940912762132742,0.4583333333333333,1.3992460954660753,67.95625281019686,2.9761153976302284,3.2987200619419474,0.2809924039463604,0.8868836590311479,0.5416666666666666,4.422087537000039,7551,1.3992460954660753,0.0
4,20260704,DBO,1.0931900934812986,0.7348567601479653,0.3583333333333333,1.0931900934812986,61.22462853777756,2.1796951288174617,2.5022997931291804,0.3268111484476823,0.9127075127777644,0.6416666666666667,5.176810351999961,7551,1.0931900934812986,0.0
4,20260704,TLBO-HHO,1.0719314385394465,0.7219314385394465,0.35,1.0719314385394465,50.63333754976784,2.087030797419907,2.409635461731626,0.3343563743534213,0.9238348327916572,0.65,4.439873130000024,7551,1.0719314385394465,0.0
