run_id,seed,algorithm,iteration,fitness
1,20260701,RIME,0,2.478734646079505
1,20260701,RIME,1,2.2897613529994403
1,20260701,RIME,2,1.995687674206665
1,20260701,RIME,3,1.9184409786203431
1,20260701,RIME,4,1.869861531241827
1,20260701,RIME,5,1.8332258107139845
1,20260701,RIME,6,1.6651760807969078
1,20260701,RIME,7,1.6526108285169223
1,20260701,RIME,8,1.6499477687508477
1,20260701,RIME,9,1.6343780929467266
1,20260701,RIME,10,1.6167816949876956
1,20260701,RIME,11,1.6084188591772837
1,20260701,RIME,12,1.608109193361662
1,20260701,RIME,13,1.6066409395759782
1,20260701,RIME,14,1.6035039383837946
1,20260701,RIME,15,1.6024694494276353
1,20260701,RIME,16,1.6019780588981902
1,20260701,RIME,17,1.601472330871605
1,20260701,RIME,18,1.600277521112473
1,20260701,RIME,19,1.6000091180764495
1,20260701,RIME,20,1.6000091180764495
1,20260701,RIME,21,1.5993048832779184
1,20260701,RIME,22,1.5992151905565246
1,20260701,RIME,23,1.597002440794154
1,20260701,RIME,24,1.5961620329622186
1,20260701,RIME,25,1.5960769373805677
1,20260701,RIME,26,1.595637017042862
1,20260701,RIME,27,1.5955301812565297
1,20260701,RIME,28,1.595507822880302
1,20260701,RIME,29,1.595507822880302
1,20260701,RIME,30,1.595507822880302
1,20260701,RIME,31,1.595507822880302
1,20260701,RIME,32,1.595507822880302
1,20260701,RIME,33,1.5949738292713302
1,20260701,RIME,34,1.5949217740931352
1,20260701,RIME,35,1.5931492063149943
1,20260701,RIME,36,1.5928386019472462
1,20260701,RIME,37,1.592675534243302
1,20260701,RIME,38,1.5925195827038718
1,20260701,RIME,39,1.592457571925816
1,20260701,RIME,40,1.592439555612256
1,20260701,RIME,41,1.592439555612256
1,20260701,RIME,42,1.5924308227231756
1,20260701,RIME,43,1.5918829694808
1,20260701,RIME,44,1.591696247957635
1,20260701,RIME,45,1.591696247957635
1,20260701,RIME,46,1.5913014707215527
1,20260701,RIME,47,1.5913014707215527
1,20260701,RIME,48,1.5913014707215527
1,20260701,RIME,49,1.591129158844425
1,20260701,RIME,50,1.5908290472238908
1,20260701,RIME,51,1.59069195121103
1,20260701,RIME,52,1.5906775835095643
1,20260701,RIME,53,1.5899084460224158
1,20260701,RIME,54,1.5897088901723582
1,20260701,RIME,55,1.5895218972386636
1,20260701,RIME,56,1.5894273517947348
1,20260701,RIME,57,1.5889981448641322
1,20260701,RIME,58,1.5867807073356903
1,20260701,RIME,59,1.5867807073356903
1,20260701,RIME,60,1.5865454565613102
1,20260701,RIME,61,1.586358324242653
1,20260701,RIME,62,1.577091888508002
1,20260701,RIME,63,1.577052856962534
1,20260701,RIME,64,1.576368569217628
1,20260701,RIME,65,1.5753637757485104
1,20260701,RIME,66,1.5753592709086897
1,20260701,RIME,67,1.5748751138893309
1,20260701,RIME,68,1.570380947993972
1,20260701,RIME,69,1.5703716913298766
1,20260701,RIME,70,1.5677471117076829
1,20260701,RIME,71,1.5677471117076829
1,20260701,RIME,72,1.5677471117076829
1,20260701,RIME,73,1.5677471117076829
1,20260701,RIME,74,1.5677471117076829
1,20260701,RIME,75,1.567451017700638
1,20260701,RIME,76,1.567346491990126
1,20260701,RIME,77,1.5673330220693251
1,20260701,RIME,78,1.5673330220693251
1,20260701,RIME,79,1.5673330220693251
1,20260701,RIME,80,1.5671862491330928
1,20260701,RIME,81,1.5671494875890493
1,20260701,RIME,82,1.5671494875890493
1,20260701,RIME,83,1.5666933737244002
1,20260701,RIME,84,1.5665496060218511
1,20260701,RIME,85,1.5665496060218511
1,20260701,RIME,86,1.566540442710611
1,20260701,RIME,87,1.566540442710611
1,20260701,RIME,88,1.566540442710611
1,20260701,RIME,89,1.5664693336236652
1,20260701,RIME,90,1.5663218879679413
1,20260701,RIME,91,1.5663218879679413
1,20260701,RIME,92,1.5663218879679413
1,20260701,RIME,93,1.5659240472886542
1,20260701,RIME,94,1.5659240472886542
1,20260701,RIME,95,1.5658299140253176
1,20260701,RIME,96,1.5655587315007118
1,20260701,RIME,97,1.5655109905580056
1,20260701,RIME,98,1.5653549547796506
1,20260701,RIME,99,1.5652994383406882
1,20260701,RIME,100,1.5652994383406882
1,20260701,RIME,101,1.565286194194126
1,20260701,RIME,102,1.5648652584354386
1,20260701,RIME,103,1.5648427217579814
1,20260701,RIME,104,1.5646294137503292
1,20260701,RIME,105,1.564620472777666
1,20260701,RIME,106,1.564430827408437
1,20260701,RIME,107,1.5639501831242644
1,20260701,RIME,108,1.5638811256892962
1,20260701,RIME,109,1.5635788057442237
1,20260701,RIME,110,1.5635763846338668
1,20260701,RIME,111,1.5632194617017443
1,20260701,RIME,112,1.5629962453340704
1,20260701,RIME,113,1.5629325557251352
1,20260701,RIME,114,1.562241406632039
1,20260701,RIME,115,1.562241406632039
1,20260701,RIME,116,1.562241406632039
1,20260701,RIME,117,1.5622405626870377
1,20260701,RIME,118,1.5622405626870377
1,20260701,RIME,119,1.5620024099849066
1,20260701,RIME,120,1.5620024099849066
1,20260701,RIME,121,1.5620024099849066
1,20260701,RIME,122,1.5620024099849066
1,20260701,RIME,123,1.5619783951327952
1,20260701,RIME,124,1.561895340885603
1,20260701,RIME,125,1.561895340885603
1,20260701,RIME,126,1.5618568471429897
1,20260701,RIME,127,1.56174519387729
1,20260701,RIME,128,1.56174519387729
1,20260701,RIME,129,1.5617234623255825
1,20260701,RIME,130,1.5617234623255825
1,20260701,RIME,131,1.5617234623255825
1,20260701,RIME,132,1.5615859887784014
1,20260701,RIME,133,1.5615859887784014
1,20260701,RIME,134,1.5615859887784014
