seed,algorithm,status,fitness,csr
20260701,RDHO,success,1.1085684341068993,0.65000000000000002
20260701,RIME,success,1.5057840617782485,0.52500000000000002
20260701,DBO,success,1.298491653103389,0.52500000000000002
20260701,TLBO-HHO,success,1.3617487450477079,0.5083333333333333
20260701,CWTSSA,success,1.4882141158884377,0.5
20260701,Greedy-ED,success,1.3280387582347966,0.53333333333333333
20260702,RDHO,success,1.0429712593705081,0.66666666666666663
20260702,RIME,success,1.6579036742064135,0.40833333333333333
20260702,DBO,success,1.1872988045547106,0.6333333333333333
20260702,TLBO-HHO,success,1.3456794223181814,0.52500000000000002
20260702,CWTSSA,success,1.5179134413682567,0.46666666666666667
20260702,Greedy-ED,success,1.1029987154978471,0.625
20260703,RDHO,success,0.83089327910073807,0.77500000000000002
20260703,RIME,success,1.1600251333349054,0.64166666666666672
20260703,DBO,success,1.0605604244151126,0.66666666666666663
20260703,TLBO-HHO,success,1.2129245435524765,0.60833333333333328
20260703,CWTSSA,success,1.211325878830352,0.60833333333333328
20260703,Greedy-ED,success,1.1859315116190081,0.65000000000000002
20260704,RDHO,success,0.7792937629223804,0.80000000000000004
20260704,RIME,success,1.4005482399344087,0.55833333333333335
20260704,DBO,success,0.94507985086578694,0.7416666666666667
20260704,TLBO-HHO,success,1.054690455450916,0.65000000000000002
20260704,CWTSSA,success,1.1515292103693193,0.64166666666666672
20260704,Greedy-ED,success,0.86448640641927521,0.72499999999999998
20260705,RDHO,success,0.93831559962532329,0.71666666666666667
20260705,RIME,success,1.7515070847419998,0.45833333333333331
20260705,DBO,success,1.0779212426711535,0.68333333333333335
20260705,TLBO-HHO,success,1.1520559130502777,0.625
20260705,CWTSSA,success,1.2643476488802117,0.55833333333333335
20260705,Greedy-ED,success,1.045140032902125,0.66666666666666663
20260706,RDHO,success,0.99676381013413007,0.71666666666666667
20260706,RIME,success,1.6910482831435716,0.52500000000000002
20260706,DBO,success,1.5384872526923017,0.52500000000000002
20260706,TLBO-HHO,success,1.2205925335390693,0.60833333333333328
20260706,CWTSSA,success,1.335251011910318,0.52500000000000002
20260706,Greedy-ED,success,1.0810899078465805,0.64166666666666672
20260707,RDHO,success,1.1458476235507842,0.64166666666666672
20260707,RIME,success,1.8299602070799426,0.45000000000000001
20260707,DBO,success,1.4918098715706569,0.54166666666666663
20260707,TLBO-HHO,success,1.5506712717867177,0.5083333333333333
20260707,CWTSSA,success,1.3902650116137338,0.54166666666666663
20260707,Greedy-ED,success,1.2589684224763449,0.56666666666666665
20260708,RDHO,success,1.024393291400052,0.67500000000000004
20260708,RIME,success,1.5948175820309172,0.46666666666666667
20260708,DBO,success,1.2961332954626288,0.57499999999999996
20260708,TLBO-HHO,success,1.2122666247483704,0.6166666666666667
20260708,CWTSSA,success,1.2119782448445702,0.58333333333333337
20260708,Greedy-ED,success,1.130426050592666,0.60833333333333328
20260709,RDHO,success,0.89987267048893338,0.7583333333333333
20260709,RIME,success,1.6073806314325934,0.48333333333333334
20260709,DBO,success,1.0944759695978654,0.6333333333333333
20260709,TLBO-HHO,success,1.1951390329435005,0.66666666666666663
20260709,CWTSSA,success,1.0813805252956352,0.69166666666666665
20260709,Greedy-ED,success,0.96823825557975973,0.69999999999999996
20260710,RDHO,success,1.0050386449966089,0.68333333333333335
20260710,RIME,success,1.6318574064361564,0.5083333333333333
20260710,DBO,success,1.1215978574269485,0.64166666666666672
20260710,TLBO-HHO,success,1.2470079131866765,0.55000000000000004
20260710,CWTSSA,success,1.3000540138238232,0.56666666666666665
20260710,Greedy-ED,success,1.0689632410822192,0.65833333333333333
20260711,RDHO,success,0.70090732126206134,0.82499999999999996
20260711,RIME,success,1.445725872616622,0.58333333333333337
20260711,DBO,success,0.84578177796036691,0.7583333333333333
20260711,TLBO-HHO,success,0.86440807010110143,0.7416666666666667
20260711,CWTSSA,success,0.9674205716934885,0.68333333333333335
20260711,Greedy-ED,success,0.75039762209106264,0.79166666666666663
20260712,RDHO,success,1.227377186838595,0.58333333333333337
20260712,RIME,success,1.8812433605729133,0.42499999999999999
20260712,DBO,success,1.6881002089782502,0.46666666666666667
20260712,TLBO-HHO,success,1.9702204017316336,0.38333333333333336
20260712,CWTSSA,success,1.5560358269102204,0.48333333333333334
20260712,Greedy-ED,success,1.34221470312925,0.52500000000000002
20260713,RDHO,success,0.90861296749508413,0.7416666666666667
20260713,RIME,success,1.6389605103012053,0.54166666666666663
20260713,DBO,success,1.1149956713810381,0.625
20260713,TLBO-HHO,success,1.0518735930811589,0.70833333333333337
