run_id,seed,algorithm,fitness,energy,delay,aoi,qoe,fairness,csr,runtime
1,20260701,RDHO-full,1.0451465016244539,105.53168464824589,1.6156851767152953,1.9236267727475316,0.3238336962088925,0.9152626774382797,0.6583333333333333,4.403294600080699
1,20260701,RDHO-w/o dual-source initialization,1.4322422397234917,101.63980697337553,2.7499246761931184,3.057866272225354,0.29441705976551746,0.8605771240067526,0.48333333333333334,4.054321599658579
1,20260701,RDHO-w/o adaptive role allocation,1.1173758618027407,103.51207770309807,1.6513499532267193,1.959291549258955,0.3214724225316485,0.9161679356877472,0.6,3.8126421999186277
1,20260701,RDHO-w/o elite preservation,1.1173758618027407,103.51207770309807,1.6513499532267193,1.959291549258955,0.3214724225316485,0.9161679356877472,0.6,3.8294566003605723
1,20260701,RDHO-w/o dynamic penalty,1.047675420949481,102.48937026981592,1.6684086231134754,1.976350219145711,0.32200165712315904,0.9167135431709018,0.6583333333333333,3.8139957999810576
2,20260702,RDHO-full,1.1375854388492397,83.28282830732957,2.0030560196308693,2.3419375441824006,0.3062593813076205,0.8779536749710218,0.65,4.295079099945724
2,20260702,RDHO-w/o dual-source initialization,1.608316746205928,90.70620371845285,2.7509776055572197,3.0898591301087506,0.2691150323014625,0.8044232962679001,0.475,3.650446199811995
2,20260702,RDHO-w/o adaptive role allocation,1.2288706632964685,78.93367516330507,2.05012923302012,2.3890107575716515,0.30436440384868313,0.8784042872457305,0.5666666666666667,3.755935499910265
2,20260702,RDHO-w/o elite preservation,1.2215477783468804,81.55234427660744,2.0452111036890015,2.384092628240533,0.3044351810029774,0.8781284283988313,0.575,3.756812000181526
2,20260702,RDHO-w/o dynamic penalty,1.148189401463147,81.1177235004722,2.0386512916612234,2.3775328162127543,0.30614094119221935,0.8814547675722965,0.65,3.7688901000656188
3,20260703,RDHO-full,0.8325582350792786,72.80048080635004,1.5297883060714752,1.8872562568272222,0.34956511082243,0.8986446972980536,0.7666666666666667,4.363970199599862
3,20260703,RDHO-w/o dual-source initialization,1.70841002540356,92.17326053057255,4.221834770671669,4.579302721427416,0.2664486883834821,0.7320101900053816,0.5,3.845652800053358
3,20260703,RDHO-w/o adaptive role allocation,0.8997734193448602,74.65946817763745,1.5215964398522819,1.8790643906080287,0.34640360918141117,0.8979076851531693,0.7083333333333334,3.8055722997523844
3,20260703,RDHO-w/o elite preservation,0.8997734193448602,74.65946817763745,1.5215964398522819,1.8790643906080287,0.34640360918141117,0.8979076851531693,0.7083333333333334,3.7679314999841154
3,20260703,RDHO-w/o dynamic penalty,0.8379356006388425,75.81337742627102,1.4800983373218308,1.8375662880775778,0.34819516667243294,0.897242950211898,0.7583333333333333,3.7292213002219796
4,20260704,RDHO-full,0.9820851590160777,76.60482260555624,1.6865611183350047,2.0091657826467233,0.3431458330284176,0.894438103386914,0.6916666666666667,4.354155799839646
4,20260704,RDHO-w/o dual-source initialization,1.1631273718138773,58.81933648058873,2.250264390191046,2.572869054502765,0.3234809433245037,0.8800726289296796,0.6166666666666667,3.6253243000246584
4,20260704,RDHO-w/o adaptive role allocation,1.0585958799861541,76.97265150513948,1.706804344149127,2.0294090084608456,0.33902947222656177,0.8907228128205141,0.625,3.761310899630189
4,20260704,RDHO-w/o elite preservation,1.0621481381956714,79.32597817526853,1.6848658946994655,2.007470559011184,0.33996207590793465,0.8924778822821511,0.6166666666666667,3.8100944999605417
4,20260704,RDHO-w/o dynamic penalty,0.9887275026435949,80.7088260346995,1.6447350001175476,1.9673396644292667,0.34121146896076404,0.8943980799833755,0.6833333333333333,3.738259600009769
5,20260705,RDHO-full,1.0512096459933045,111.2033822495831,1.8620885845160913,2.182891635176052,0.2969458883174624,0.8819530362528375,0.6916666666666667,4.325048599857837
5,20260705,RDHO-w/o dual-source initialization,1.6492233706220754,105.04567645038469,3.538285130423276,3.8590881810832363,0.2581335662851559,0.8043874330897024,0.5166666666666667,3.6958336997777224
5,20260705,RDHO-w/o adaptive role allocation,1.1469376989266276,120.03955665110625,1.8549614951027291,2.1757645457626893,0.2955373908596318,0.8857181568894017,0.6083333333333333,3.839800000190735
5,20260705,RDHO-w/o elite preservation,1.1506580205247232,116.9839766588972,1.8522567915897934,2.173059842249754,0.2944222461227981,0.8838058938395823,0.6,3.8051939997822046
5,20260705,RDHO-w/o dynamic penalty,1.06248651686625,104.07946719019347,1.8973706746709589,2.2181737253309195,0.2959959882104942,0.8849739277807495,0.6833333333333333,3.7975881998427212
