setting,description,weights,w_energy,w_delay,w_aoi,w_qoe,w_fairness,fitness_mean,fitness_std,fitness,energy_mean,energy_std,energy,delay_mean,delay_std,delay,aoi_mean,aoi_std,aoi,qoe_mean,qoe_std,qoe,fairness_mean,fairness_std,fairness,csr_mean,csr_std,csr,runtime_mean,runtime_std,runtime
S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25,0.9733551903291325,0.08906102960633906,0.973355 +/- 0.089061,86.46598592692155,16.96296901939986,86.465986 +/- 16.962969,1.6348085532274055,0.17483030506074618,1.634809 +/- 0.174830,1.9536362379609213,0.19198978314236886,1.953636 +/- 0.191990,0.32731725189602373,0.018955704419529568,0.327317 +/- 0.018956,0.8999723474162562,0.01301902765971135,0.899972 +/- 0.013019,0.7030555555555555,0.044822090487367135,0.703056 +/- 0.044822,4.9116699600747475,0.20624418280540754,4.911670 +/- 0.206244
S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2,1.0233651743275791,0.09581994371101266,1.023365 +/- 0.095820,82.31839013756068,16.776719266629907,82.318390 +/- 16.776719,1.6633272576319513,0.17730461318138696,1.663327 +/- 0.177305,1.9821549423654667,0.19494568316722352,1.982155 +/- 0.194946,0.32700777270331866,0.018696460726687153,0.327008 +/- 0.018696,0.8997299330756235,0.013640257738723736,0.899730 +/- 0.013640,0.7019444444444444,0.044295427865157194,0.701944 +/- 0.044295,4.8900084166632345,0.2627177922849443,4.890008 +/- 0.262718
S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15,1.0716508514717844,0.10256970901573415,1.071651 +/- 0.102570,78.75857226910813,14.218730567860755,78.758572 +/- 14.218731,1.6797033739781562,0.17513534497197067,1.679703 +/- 0.175135,1.9985310587116714,0.19185602885482933,1.998531 +/- 0.191856,0.3265058090601239,0.018954202086245407,0.326506 +/- 0.018954,0.8987440223769521,0.014257964653739458,0.898744 +/- 0.014258,0.6986111111111111,0.0461176309843833,0.698611 +/- 0.046118,4.839714429993182,0.1715435447194329,4.839714 +/- 0.171544
S4,QoE-fairness priority,"(0.100, 0.100, 0.150, 0.325, 0.325)",0.1,0.1,0.15,0.325,0.325,0.8885068288281414,0.07807537734086176,0.888507 +/- 0.078075,88.02591886912099,17.359986148535704,88.025919 +/- 17.359986,1.6332038914632003,0.17328746194179145,1.633204 +/- 0.173287,1.952031576196716,0.18836568549292218,1.952032 +/- 0.188366,0.3275450689806639,0.018890160691879567,0.327545 +/- 0.018890,0.9010038561939535,0.012663085941394835,0.901004 +/- 0.012663,0.7041666666666665,0.04359063750578694,0.704167 +/- 0.043591,4.810223943336556,0.19249432921079151,4.810224 +/- 0.192494
S5,AoI-freshness priority,"(0.125, 0.125, 0.350, 0.200, 0.200)",0.125,0.125,0.35,0.2,0.2,1.048031792276067,0.09708970736627494,1.048032 +/- 0.097090,98.18659373333215,17.62447880791763,98.186594 +/- 17.624479,1.5453977652609934,0.17472357363664973,1.545398 +/- 0.174724,1.8642254499945083,0.18957230396801952,1.864225 +/- 0.189572,0.32670712372393546,0.01887954499651638,0.326707 +/- 0.018880,0.89950781070656,0.013265754219067017,0.899508 +/- 0.013266,0.6938888888888889,0.04584943987284791,0.693889 +/- 0.045849,4.518856033248206,0.15625912548694026,4.518856 +/- 0.156259
