lambda0,alpha,fitness_mean,fitness_std,fitness,energy_mean,energy_std,energy,delay_mean,delay_std,delay,aoi_mean,aoi_std,aoi,qoe_mean,qoe_std,qoe,fairness_mean,fairness_std,fairness,csr_mean,csr_std,csr,runtime_mean,runtime_std,runtime
0.5,1.0,0.9735996238823765,0.08900101234981748,0.973600 +/- 0.089001,86.57606345844728,17.197565346399845,86.576063 +/- 17.197565,1.6340668290266167,0.17345775951178682,1.634067 +/- 0.173458,1.952894513760132,0.19057984156754085,1.952895 +/- 0.190580,0.3273172652943769,0.01903631419529731,0.327317 +/- 0.019036,0.9000146424609536,0.013105169105112842,0.900015 +/- 0.013105,0.7027777777777777,0.0445461002187607,0.702778 +/- 0.044546,4.561479186685756,0.2624021634793707,4.561479 +/- 0.262402
0.5,2.0,0.9731079025874141,0.08859447358140754,0.973108 +/- 0.088594,86.55503739577608,17.173795108853145,86.555037 +/- 17.173795,1.634296934453149,0.17410942421486073,1.634297 +/- 0.174109,1.9531246191866642,0.1914585033695232,1.953125 +/- 0.191459,0.3273942130322499,0.01875610775497299,0.327394 +/- 0.018756,0.8999910884558394,0.012982984859678809,0.899991 +/- 0.012983,0.7033333333333333,0.04439892304793093,0.703333 +/- 0.044399,4.42549576323169,0.05705646065677258,4.425496 +/- 0.057056
0.5,3.0,0.973470264948127,0.08921778109713127,0.973470 +/- 0.089218,86.54889742780158,17.19326305767412,86.548897 +/- 17.193263,1.635137024732193,0.17303859623480392,1.635137 +/- 0.173039,1.9539647094657082,0.1901674002603879,1.953965 +/- 0.190167,0.32731418390680916,0.01904033982951976,0.327314 +/- 0.019040,0.8999913713580773,0.013134010759521213,0.899991 +/- 0.013134,0.7030555555555555,0.044822090487367135,0.703056 +/- 0.044822,4.421199616650119,0.06778415973263006,4.421200 +/- 0.067784
1.0,1.0,0.9733551962072606,0.08906105329472569,0.973355 +/- 0.089061,86.44727629555953,16.9692172061353,86.447276 +/- 16.969217,1.6350514469533048,0.1750700175867498,1.635051 +/- 0.175070,1.9538791316868198,0.19229459327594248,1.953879 +/- 0.192295,0.3273161039630956,0.018954659448224335,0.327316 +/- 0.018955,0.8999726335584471,0.013019210907042457,0.899973 +/- 0.013019,0.7030555555555555,0.044822090487367135,0.703056 +/- 0.044822,4.437685300021743,0.08612976934220919,4.437685 +/- 0.086130
1.0,2.0,0.9733551903291325,0.08906102960633909,0.973355 +/- 0.089061,86.46598592692155,16.96296901939986,86.465986 +/- 16.962969,1.6348085532274055,0.17483030506074612,1.634809 +/- 0.174830,1.9536362379609211,0.19198978314236892,1.953636 +/- 0.191990,0.32731725189602373,0.01895570441952957,0.327317 +/- 0.018956,0.8999723474162562,0.013019027659711344,0.899972 +/- 0.013019,0.7030555555555555,0.044822090487367135,0.703056 +/- 0.044822,4.4554050632442035,0.1045343879821349,4.455405 +/- 0.104534
1.0,3.0,0.9737311306749733,0.08913899275262921,0.973731 +/- 0.089139,86.51406219755509,17.00234700784756,86.514062 +/- 17.002347,1.635056581841272,0.17484795113536516,1.635057 +/- 0.174848,1.953884266574787,0.19184489086127676,1.953884 +/- 0.191845,0.3272507195818558,0.019008728197362292,0.327251 +/- 0.019009,0.8999456417760526,0.01317337604909372,0.899946 +/- 0.013173,0.7027777777777777,0.0445461002187607,0.702778 +/- 0.044546,4.540854026625554,0.16865164027956947,4.540854 +/- 0.168652
2.0,1.0,0.9734709204670648,0.08890228574222567,0.973471 +/- 0.088902,86.48178955360389,16.98302403745817,86.481790 +/- 16.983024,1.6343442084222124,0.17564629182713593,1.634344 +/- 0.175646,1.9531718931557274,0.1928358960865066,1.953172 +/- 0.192836,0.3273728059948894,0.01900103603957707,0.327373 +/- 0.019001,0.9000084262044719,0.013002673127472542,0.900008 +/- 0.013003,0.7027777777777777,0.0445461002187607,0.702778 +/- 0.044546,4.478414699978505,0.2502065360404902,4.478415 +/- 0.250207
2.0,2.0,0.9733125364958458,0.0890563318189028,0.973313 +/- 0.089056,86.43168702826921,16.979085115407468,86.431687 +/- 16.979085,1.635328941274957,0.17516090825144665,1.635329 +/- 0.175161,1.9541566260084722,0.19238299676479523,1.954157 +/- 0.192383,0.3273724808524577,0.019000499966148974,0.327372 +/- 0.019000,0.900009786266796,0.013000906712846986,0.900010 +/- 0.013001,0.7030555555555555,0.044822090487367135,0.703056 +/- 0.044822,5.049331103296329,0.8482662725728207,5.049331 +/- 0.848266
2.0,3.0,0.9734300143173196,0.08912395460067524,0.973430 +/- 0.089124,86.46744502051622,16.987665223232167,86.467445 +/- 16.987665,1.635473837532013,0.17509539063030213,1.635474 +/- 0.175095,1.954301522265528,0.19229295849497036,1.954302 +/- 0.192293,0.3273039725083838,0.01895727989807887,0.327304 +/- 0.018957,0.9000082023023095,0.013063155244814571,0.900008 +/- 0.013063,0.7030555555555555,0.044822090487367135,0.703056 +/- 0.044822,4.604150706669316,0.5433371579196312,4.604151 +/- 0.543337
