run_id,seed,algorithm,fitness,base_objective,penalty,search_fitness,energy,delay,aoi,qoe,fairness,csr,hard_feasible,capacity_utilisation_mean,capacity_utilisation_max,assignment_unique,runtime,nfe,pre_refinement_fitness,local_refinement_gain,experiment,setting,description,utility_weights,u_delay,u_energy,u_aoi
1,20260701,RDHO,1.108568434106899,0.7585684341068993,0.35,3.908568434106899,74.82231000942322,2.077367767445099,2.3703445268382586,0.4055901929117499,0.8981469852203793,0.65,1,0.8388950572562454,1.0000000000000002,1,6.942100708,10232,1.1934487678324863,0.0848803337255872,utility_weight,U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25
2,20260702,RDHO,1.042971259370508,0.7096379260371747,0.3333333333333333,3.7096379260371752,92.5467289252826,1.9317343032317391,2.2435325542327496,0.4252411484102329,0.9438029302531644,0.6666666666666666,1,0.8642210038280658,1.0,1,6.752166875,10232,1.0687336254960704,0.0257623661255623,utility_weight,U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25
3,20260703,RDHO,0.8308932791007381,0.6058932791007381,0.2249999999999999,2.630893279100738,58.63362486904609,1.6168846317221417,1.945406297403932,0.473792513367565,0.9356745123851102,0.775,1,0.7968452417119734,1.0000000000000002,1,6.812303332999999,10232,0.9452257287509116,0.1143324496501736,utility_weight,U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25
4,20260704,RDHO,0.7792937629223804,0.5792937629223804,0.1999999999999999,2.37929376292238,84.79412936476712,1.8721399375022765,2.206859163545623,0.4834352409538747,0.9357058092379048,0.8,1,0.8572469003486489,1.0000000000000002,1,6.630285208,10232,0.8092318472328736,0.0299380843104931,utility_weight,U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25
5,20260705,RDHO,0.9383155996253232,0.65498226629199,0.2833333333333333,3.2049822662919896,93.53624100457512,2.038689261679705,2.377739952181744,0.4359456288266753,0.9277532731591402,0.7166666666666667,1,0.819792756438706,1.0000000000000002,1,6.9163317909999975,10232,0.9784161568099428,0.0401005571846194,utility_weight,U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25
6,20260706,RDHO,0.99676381013413,0.7134304768007967,0.2833333333333333,3.2634304768007967,99.48863903818724,1.8484317925132845,2.166708667232005,0.4241327295155524,0.9287150965213892,0.7166666666666667,1,0.8235622549285625,1.0000000000000002,1,6.784594792,10232,1.0461641934022687,0.0494003832681386,utility_weight,U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25
7,20260707,RDHO,1.1458476235507842,0.7875142902174509,0.3583333333333333,4.01251429021745,77.39625890994373,2.5124774419991063,2.846511381589038,0.4084501701463391,0.9123796205695444,0.6416666666666667,1,0.7880416488185666,1.0,1,6.692081166000001,10232,1.2196850813194904,0.0738374577687062,utility_weight,U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25
8,20260708,RDHO,1.024393291400052,0.6993932914000521,0.3249999999999999,3.624393291400052,83.58764787814688,2.0614622704390517,2.3815677705201743,0.4283301329435506,0.9359433004822648,0.675,1,0.8273141573584951,1.0000000000000002,1,6.872623624999996,10232,1.0619731012072533,0.0375798098072013,utility_weight,U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25
9,20260709,RDHO,0.8998726704889334,0.6582060038222667,0.2416666666666667,2.833206003822267,123.1969786819626,1.7369778982217468,2.081494141464744,0.4585189896617808,0.9454807093712666,0.7583333333333333,1,0.7772485003183004,1.0000000000000002,1,6.740054666000006,10232,0.907539621912801,0.0076669514238676,utility_weight,U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25
10,20260710,RDHO,1.0050386449966089,0.6883719783299422,0.3166666666666666,3.538371978329942,113.71442453112336,1.7179993629198882,1.9999360228063072,0.4303061930099098,0.9021348804980855,0.6833333333333333,1,0.867509119261818,1.0000000000000002,1,6.944259665999994,10232,1.0401511687528897,0.0351125237562808,utility_weight,U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25
11,20260711,RDHO,0.7009073212620613,0.5259073212620613,0.175,2.1009073212620617,61.888668587217545,1.5408853028156062,1.878296222437872,0.5188498263820505,0.9206055638063376,0.825,1,0.8308072956000643,1.0,1,6.677989457999999,10232,0.7211710677814924,0.020263746519431,utility_weight,U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25
12,20260712,RDHO,1.227377186838595,0.8107105201719285,0.4166666666666666,4.560710520171928,118.62320799981154,1.968677228523936,2.2423129445145316,0.3697487766435571,0.9367273880479274,0.5833333333333334,1,0.9208711653127412,1.0000000000000002,1,6.790195459000003,10232,1.2525048849178022,0.0251276980792072,utility_weight,U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25
13,20260713,RDHO,0.908612967495084,0.6502796341617508,0.2583333333333333,2.9752796341617507,71.62782919589671,1.623058713729294,1.937113875290258,0.4644426310932727,0.9137112181547106,0.7416666666666667,1,0.7633512051862251,1.0000000000000002,1,6.930220625000004,10232,1.011788654832946,0.1031756873378618,utility_weight,U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25
14,20260714,RDHO,0.9517035760858804,0.668370242752547,0.2833333333333333,3.2183702427525467,132.98035710362268,1.5610343147238277,1.8994648023566425,0.4453020890595699,0.920440484236812,0.7166666666666667,1,0.8910026630154445,1.0,1,6.607857124999995,10232,0.9876855947002184,0.0359820186143382,utility_weight,U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25
15,20260715,RDHO,1.004157954999794,0.7124912883331275,0.2916666666666666,3.337491288333127,93.41649191871136,1.680918718504018,1.946016334706885,0.4198814674125798,0.9375198428391324,0.7083333333333334,1,0.7840874569528854,1.0,1,6.807269667,10232,1.0772736136797922,0.0731156586799981,utility_weight,U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25
16,20260716,RDHO,0.9539209570091088,0.6622542903424422,0.2916666666666666,3.2872542903424415,72.57322050837479,1.731895893302109,2.0110315409615973,0.4420069900100353,0.9419988914533122,0.7083333333333334,1,0.7607597149186152,1.0000000000000002,1,6.683682583000007,10232,0.97078593804401,0.0168649810349013,utility_weight,U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25
17,20260717,RDHO,1.0796669523916411,0.7296669523916414,0.35,3.8796669523916414,112.15696100770872,1.94795695764932,2.2626196506138023,0.4190657402721016,0.8967766442787752,0.65,1,0.8520104077715128,1.0000000000000002,1,6.724706209000004,10232,1.1015891002842464,0.021922147892605,utility_weight,U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25
18,20260718,RDHO,0.8526816972011985,0.6276816972011985,0.2249999999999999,2.6526816972011984,105.2085612776022,1.9604579265363848,2.312485137747428,0.4688495458438041,0.9276425755227586,0.775,1,0.7860223657652284,1.0000000000000002,1,6.751427707999994,10232,0.8738909671450994,0.0212092699439009,utility_weight,U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25
19,20260719,RDHO,0.9344612368818764,0.6761279035485432,0.2583333333333333,3.001127903548543,102.62208614973828,1.6723790560216418,1.9689455494313273,0.4618118941188203,0.8844702984536618,0.7416666666666667,1,0.8049322299549273,1.0000000000000002,1,6.897836124999998,10232,0.988960035829355,0.0544987989474784,utility_weight,U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25
20,20260720,RDHO,0.8506510710663095,0.6089844043996429,0.2416666666666667,2.783984404399643,80.57553581852677,1.7110957568993872,2.037032673178934,0.4823406620955833,0.8962081420564082,0.7583333333333333,1,0.8194666111103562,1.0,1,6.673319540999984,10232,0.8791176759204962,0.0284666048541866,utility_weight,U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25
21,20260721,RDHO,0.982271240870291,0.6906045742036244,0.2916666666666666,3.315604574203624,110.92790390080422,1.9300258904408032,2.286536261699468,0.4257526742553282,0.9266068239212468,0.7083333333333334,1,0.8213192192737055,1.0000000000000002,1,6.7603140420000045,10232,1.0125388609152506,0.0302676200449595,utility_weight,U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25
22,20260722,RDHO,0.7667012770112257,0.550034610344559,0.2166666666666666,2.500034610344559,97.81959272248044,1.4669512704325822,1.800908828083248,0.5031635692800241,0.9475867792650676,0.7833333333333333,1,0.8172586597052255,1.0,1,6.6706996249999975,10232,0.8005859713818054,0.0338846943705797,utility_weight,U1,Canonical task-utility coefficients,"(0.450, 0.300, 0.250)",0.45,0.3,0.25
