run_id,seed,algorithm,fitness,base_objective,penalty,search_fitness,energy,delay,aoi,qoe,fairness,csr,hard_feasible,capacity_utilisation_mean,capacity_utilisation_max,assignment_unique,runtime,nfe,pre_refinement_fitness,local_refinement_gain,experiment,lambda0,alpha
1,20260701,RDHO,1.097043738143694,0.7553770714770274,0.3416666666666667,1.267877071477027,80.10641788681716,2.063257183833682,2.3562339432268415,0.4084502072832931,0.905332141017859,0.6583333333333333,1,0.8225485540265477,1.0,1,6.6212932920000185,10232,1.15135148076973,0.0543077426260361,dynamic_penalty,0.5,1.0
2,20260702,RDHO,1.0450984062943012,0.7034317396276344,0.3416666666666667,1.2159317396276343,93.13279430193798,1.9340364480066967,2.245834699007707,0.4231828259750759,0.9416860932696588,0.6583333333333333,1,0.8631487761998111,1.0,1,6.516943416999993,10232,1.067559550517212,0.0224611442229107,dynamic_penalty,0.5,1.0
3,20260703,RDHO,0.8588606212570602,0.6171939545903935,0.2416666666666667,0.9796939545903935,56.39763603123497,1.66894835405026,1.99747001973205,0.4745777286133117,0.9358966719558665,0.7583333333333333,1,0.8288130012751127,1.0,1,6.605052333999993,10232,0.9125323883470288,0.0536717670899684,dynamic_penalty,0.5,1.0
4,20260704,RDHO,0.7821616258222681,0.5821616258222682,0.1999999999999999,0.8821616258222681,91.10376829790675,1.867614362162491,2.202333588205838,0.4791385043427301,0.9344864332002956,0.8,1,0.8561182129200916,1.0,1,6.489841999999953,10232,0.8116620569566837,0.0295004311344155,dynamic_penalty,0.5,1.0
5,20260705,RDHO,0.9380850558015688,0.6547517224682355,0.2833333333333333,1.0797517224682356,96.92821359209424,2.027366275749794,2.3664169662518324,0.4364256524694276,0.9283144243004208,0.7166666666666667,1,0.8129782122495255,1.0000000000000002,1,6.790496542000028,10232,1.016383916138824,0.078298860337255,dynamic_penalty,0.5,1.0
6,20260706,RDHO,0.9999846376923726,0.6999846376923725,0.3,1.1499846376923726,96.82481074461832,1.796197341859282,2.114474216578003,0.4218329745934476,0.9251007959097248,0.7,1,0.8227975651535053,1.0000000000000002,1,6.632932041000004,10232,1.0288088812964755,0.0288242436041029,dynamic_penalty,0.5,1.0
7,20260707,RDHO,1.146629300738614,0.7882959674052806,0.3583333333333333,1.3257959674052806,87.99963694947243,2.459585621454564,2.793619561044496,0.4068876948229106,0.9132901889611048,0.6416666666666667,1,0.821658800512896,1.0000000000000002,1,6.55078299999991,10232,1.2277207942065398,0.0810914934679258,dynamic_penalty,0.5,1.0
8,20260708,RDHO,1.0380199319976855,0.6880199319976856,0.35,1.2130199319976855,81.25003649127774,2.0308005386156416,2.3509060386967646,0.427159564568088,0.9343749182348884,0.65,1,0.8253230904450541,1.0000000000000002,1,6.631176292000191,10232,1.071509298008516,0.0334893660108304,dynamic_penalty,0.5,1.0
9,20260709,RDHO,0.8897520942858359,0.6480854276191692,0.2416666666666667,1.0105854276191693,102.93194475483251,1.8322073327728576,2.176723576015855,0.4568097799069737,0.9414649807057572,0.7583333333333333,1,0.8137152289941099,1.0000000000000002,1,6.564798082999914,10232,0.9137620368449972,0.0240099425591613,dynamic_penalty,0.5,1.0
10,20260710,RDHO,1.0086832352737438,0.6836832352737439,0.3249999999999999,1.1711832352737437,116.62722146293102,1.6959797476596328,1.977916407546052,0.4278941279855922,0.9012340859914982,0.675,1,0.8562754024627551,1.0,1,6.7381699999998546,10232,1.042989589649428,0.034306354375684,dynamic_penalty,0.5,1.0
11,20260711,RDHO,0.704705378688031,0.5380387120213643,0.1666666666666666,0.7880387120213643,71.54077561853148,1.58666169893453,1.924072618556796,0.5221766724553496,0.9282939351573352,0.8333333333333334,1,0.8603486623297375,1.0000000000000002,1,6.457515290999936,10232,0.7145150664187241,0.0098096877306931,dynamic_penalty,0.5,1.0
12,20260712,RDHO,1.2313987265781048,0.8147320599114383,0.4166666666666666,1.4397320599114385,118.88021500424809,1.957124224261848,2.230759940252444,0.3695022333991644,0.9350164143155728,0.5833333333333334,1,0.8916702070960241,1.0000000000000002,1,6.634591666000006,10232,1.263776788453995,0.0323780618758902,dynamic_penalty,0.5,1.0
13,20260713,RDHO,0.9071368578836648,0.6488035245503314,0.2583333333333333,1.0363035245503314,64.58421446890102,1.6194086896382722,1.9334638511992368,0.4657483473204006,0.9130753145767436,0.7416666666666667,1,0.7012854277223882,1.0000000000000002,1,6.831253625000045,10232,1.0284756763598153,0.1213388184761505,dynamic_penalty,0.5,1.0
14,20260714,RDHO,0.9561236244073036,0.6727902910739703,0.2833333333333333,1.0977902910739703,121.84469805357662,1.633801298549051,1.972231786181866,0.4443804865159148,0.92045143815551,0.7166666666666667,1,0.87989509332067,1.0000000000000002,1,6.641012875000115,10232,0.9818081336736768,0.0256845092663733,dynamic_penalty,0.5,1.0
15,20260715,RDHO,0.9961412669012076,0.7128079335678744,0.2833333333333333,1.1378079335678744,91.16359492587102,1.6762684680280409,1.941366084230908,0.4206067788393426,0.9380943816384596,0.7166666666666667,1,0.7925266453582277,1.0,1,6.843804082999895,10232,1.0344934922122966,0.0383522253110888,dynamic_penalty,0.5,1.0
16,20260716,RDHO,0.9376383274653124,0.6459716607986458,0.2916666666666666,1.0834716607986457,70.58219603735476,1.651756784169374,1.9308924318288625,0.4466888943991475,0.9438414836817828,0.7083333333333334,1,0.7540015535836493,1.0000000000000002,1,6.730735249999952,10232,0.9820038240587264,0.044365496593414,dynamic_penalty,0.5,1.0
17,20260717,RDHO,1.0802533052195324,0.7302533052195325,0.35,1.2552533052195325,113.98763136203962,1.9364600609645488,2.251122753929031,0.4193660507784662,0.8971772704934211,0.65,1,0.876813812830742,1.0000000000000002,1,6.735401582999884,10232,1.0982038395117926,0.0179505342922601,dynamic_penalty,0.5,1.0
18,20260718,RDHO,0.8479313393494625,0.6312646726827958,0.2166666666666666,0.956264672682796,111.9362397138108,1.949576891779767,2.3016041029908094,0.4673405103753528,0.926299257928484,0.7833333333333333,1,0.8045899977267066,1.0000000000000002,1,6.733791042000121,10232,0.8724975614502316,0.024566222100769,dynamic_penalty,0.5,1.0
19,20260719,RDHO,0.9404694209384916,0.673802754271825,0.2666666666666667,1.0738027542718251,107.09534313858678,1.632653717694722,1.9292202111044077,0.4615238168231947,0.8841694924769083,0.7333333333333333,1,0.8121715073885233,1.0000000000000002,1,6.890448333999984,10232,0.9740867032982876,0.0336172823597958,dynamic_penalty,0.5,1.0
20,20260720,RDHO,0.8419625823871945,0.6002959157205278,0.2416666666666667,0.9627959157205278,75.78854060923348,1.7586654613321506,2.0846023776116978,0.483548299951627,0.8949931627526592,0.7583333333333333,1,0.8162286414730744,1.0,1,6.65574783299985,10232,0.8671846521690529,0.0252220697818584,dynamic_penalty,0.5,1.0
21,20260721,RDHO,0.9838055073277904,0.6921388406611236,0.2916666666666666,1.1296388406611235,108.67474875290416,1.9400222381763403,2.2965326094350056,0.4256223178583966,0.9265368896906055,0.7083333333333334,1,0.8122559233271716,1.0,1,6.769759167000075,10232,1.0194600310335842,0.0356545237057939,dynamic_penalty,0.5,1.0
22,20260722,RDHO,0.7711152798298792,0.5544486131632125,0.2166666666666666,0.8794486131632124,101.21162081716972,1.467624697370597,1.8015822550212623,0.5035493632891486,0.9476971353227128,0.7833333333333333,1,0.810395201252373,1.0000000000000002,1,6.682557666000093,10232,0.8057470792798066,0.0346317994499274,dynamic_penalty,0.5,1.0
23,20260723,RDHO,0.7591471610453473,0.575813827712014,0.1833333333333333,0.850813827712014,78.08894419802556,2.1123603961844113,2.4978628083228207,0.4925763421058358,0.9505502554420632,0.8166666666666667,1,0.7854238257797059,1.0000000000000002,1,6.600977750000084,10232,0.8968601675484168,0.1377130065030695,dynamic_penalty,0.5,1.0
24,20260724,RDHO,0.9510789483361156,0.6677456150027822,0.2833333333333333,1.092745615002782,55.19199248558193,1.8164458591448571,2.096301729855173,0.45331665779155,0.9119139865027992,0.7166666666666667,1,0.7852250548729512,1.0000000000000002,1,6.700343083000007,10232,0.999856926506402,0.0487779781702863,dynamic_penalty,0.5,1.0
25,20260725,RDHO,0.8817958497773216,0.6234625164439883,0.2583333333333333,1.0109625164439882,67.9058739952961,2.1499034449887735,2.53139185681642,0.4637551190226459,0.9374252049354256,0.7416666666666667,1,0.810483247803314,1.0,1,6.501255499999843,10232,1.042944414329734,0.1611485645524123,dynamic_penalty,0.5,1.0
26,20260726,RDHO,1.0191930679700865,0.7108597346367532,0.3083333333333333,1.1733597346367532,108.72159030287466,1.9679824828250552,2.307183701777199,0.4406036153505914,0.9003182026358796,0.6916666666666667,1,0.7630874858565678,1.0000000000000002,1,6.523151458000029,10232,1.0285990526686235,0.009405984698537,dynamic_penalty,0.5,1.0
27,20260727,RDHO,0.8309763938826921,0.5976430605493588,0.2333333333333332,0.9476430605493588,133.24847688328092,1.8142269701412923,2.1819505816459257,0.4623200507775031,0.949671325402938,0.7666666666666667,1,0.7969252418796877,1.0,1,6.63271850000001,10232,0.8433405512466919,0.0123641573639998,dynamic_penalty,0.5,1.0
