run_id,seed,algorithm,fitness,base_objective,penalty,search_fitness,energy,delay,aoi,qoe,fairness,csr,hard_feasible,capacity_utilisation_mean,capacity_utilisation_max,assignment_unique,runtime,nfe,pre_refinement_fitness,local_refinement_gain,experiment,setting,cpu_capacity_scale,sla_scale,server_heterogeneity_scale
1,20260701,RDHO,1.1569249176884189,0.7902582510217518,0.3666666666666667,4.090258251021752,53.01971825090476,2.40590088338192,2.6988776427750794,0.4043437743665583,0.9022095123782108,0.6333333333333333,1,0.8994638143857769,1.0000000000000002,1,6.628668584000025,10232,1.2147594575000946,0.0578345398116759,cpu_capacity,capacity_0.8,0.8,1.0,1.0
2,20260702,RDHO,1.0713981360479168,0.7130648027145834,0.3583333333333333,3.938064802714583,59.17741203859033,2.238354064717195,2.550152315718205,0.4184996242913259,0.9390638729382544,0.6416666666666667,1,0.8753565903708465,1.0000000000000002,1,6.4885198329998275,10232,1.1303092413055331,0.0589111052576163,cpu_capacity,capacity_0.8,0.8,1.0,1.0
3,20260703,RDHO,0.9171213504907256,0.6587880171573923,0.2583333333333333,2.983788017157392,57.86394663385179,1.94038463557609,2.2689063012578807,0.4727665101276313,0.943984913100998,0.7416666666666667,1,0.8170142492098622,1.0000000000000002,1,6.467575458000283,10232,0.9787158214231616,0.0615944709324359,cpu_capacity,capacity_0.8,0.8,1.0,1.0
4,20260704,RDHO,0.8743974235370151,0.6160640902036818,0.2583333333333333,2.9410640902036818,74.51424383979554,2.0679910509692205,2.4027102770125675,0.4643840973182154,0.9317562524913632,0.7416666666666667,1,0.9249153919509928,1.0000000000000002,1,6.360982249999779,10232,0.8876255822644876,0.0132281587274725,cpu_capacity,capacity_0.8,0.8,1.0,1.0
5,20260705,RDHO,0.9807943740362608,0.6891277073695941,0.2916666666666666,3.3141277073695936,75.11980815240908,2.253412856372365,2.5924635468744044,0.4306992306993874,0.9253445302642904,0.7083333333333334,1,0.9055098355639618,1.0000000000000002,1,6.605676042000141,10232,1.0576427422427743,0.0768483682065136,cpu_capacity,capacity_0.8,0.8,1.0,1.0
6,20260706,RDHO,1.0804825358275445,0.7388158691608779,0.3416666666666667,3.8138158691608783,71.54602326261646,2.1391789311489524,2.4574558058676734,0.4128219339927475,0.9221733105227592,0.6583333333333333,1,0.8976650896292352,1.0000000000000002,1,6.475615415999982,10232,1.1020558884199074,0.0215733525923629,cpu_capacity,capacity_0.8,0.8,1.0,1.0
7,20260707,RDHO,1.2437380913517222,0.8604047580183889,0.3833333333333333,4.310404758018389,84.92138999373623,2.765488118081252,3.0995220576711837,0.3927056440320574,0.9029955742786042,0.6166666666666667,1,0.8864699138013707,1.0000000000000002,1,6.543055999999979,10232,1.3186286748446712,0.0748905834929489,cpu_capacity,capacity_0.8,0.8,1.0,1.0
8,20260708,RDHO,1.0817982788594644,0.7317982788594645,0.35,3.881798278859464,61.60740965990269,2.3296587818579138,2.6497642819390363,0.4159264565005677,0.9351531663145076,0.65,1,0.8649407598595957,1.0000000000000002,1,6.5533568750001905,10232,1.1010324370916775,0.019234158232213,cpu_capacity,capacity_0.8,0.8,1.0,1.0
9,20260709,RDHO,0.9223410591007992,0.6640077257674659,0.2583333333333333,2.9890077257674657,87.54744337087875,1.9918263573501869,2.3363426005931847,0.4431682719947186,0.9425251605189792,0.7416666666666667,1,0.8560467666705236,1.0000000000000002,1,6.459648541999741,10232,0.9487280788839124,0.0263870197831131,cpu_capacity,capacity_0.8,0.8,1.0,1.0
10,20260710,RDHO,1.0525045408124276,0.710837874145761,0.3416666666666667,3.785837874145761,85.50091601649353,2.0260010443233076,2.3079377042097273,0.4212955327156637,0.8982901432804303,0.6583333333333333,1,0.8580163972039846,1.0000000000000002,1,6.629799333999927,10232,1.0934660080883831,0.0409614672759555,cpu_capacity,capacity_0.8,0.8,1.0,1.0
11,20260711,RDHO,0.7389709117082073,0.5473042450415406,0.1916666666666666,2.2723042450415405,55.79399601568957,1.6941192305771444,2.0315301501994103,0.5141173052524368,0.9220862772119964,0.8083333333333333,1,0.9325171420075744,1.0,1,6.38940862499976,10232,0.745296451716222,0.0063255400080147,cpu_capacity,capacity_0.8,0.8,1.0,1.0
12,20260712,RDHO,1.2841557167272817,0.8674890500606152,0.4166666666666666,4.617489050060614,92.97847612663392,2.3693744979833524,2.643010213973948,0.3651912168276096,0.9391882447490048,0.5833333333333334,1,0.9346469962558362,1.0000000000000002,1,6.522495917000015,10232,1.325962158119749,0.0418064413924672,cpu_capacity,capacity_0.8,0.8,1.0,1.0
13,20260713,RDHO,0.9611260655806518,0.6694593989139852,0.2916666666666666,3.2944593989139848,48.45064643985761,1.7715852706838482,2.0856404322448125,0.4621746921941486,0.9107535548128084,0.7083333333333334,1,0.790715042417566,1.0,1,6.730615417000081,10232,1.067453015003566,0.1063269494229141,cpu_capacity,capacity_0.8,0.8,1.0,1.0
14,20260714,RDHO,1.010944511564956,0.6776111782316225,0.3333333333333333,3.677611178231623,83.81354147127439,1.87625944473355,2.2146899323663645,0.4347245638599035,0.9091933725115336,0.6666666666666666,1,0.890785852366895,1.0000000000000002,1,6.572669707999921,10232,1.026142943165418,0.0151984316004618,cpu_capacity,capacity_0.8,0.8,1.0,1.0
15,20260715,RDHO,1.0894662129604666,0.7727995462938,0.3166666666666666,3.6227995462938,69.5955089284764,1.8667544136393903,2.131852029842258,0.4052246763599098,0.9327265431537703,0.6833333333333333,1,0.7968199052307702,1.0000000000000002,1,6.658670208999865,10232,1.170300908490943,0.0808346955304764,cpu_capacity,capacity_0.8,0.8,1.0,1.0
