comparison,reference_algorithm,comparison_algorithm,metric,paired_key,inference_tier,equal_budget,n_pairs,wins,ties,losses,zero_tolerance,statistic,raw_p_value,median_difference,mean_difference,mean_difference_ci_low,mean_difference_ci_high,rank_biserial,better_algorithm,adjusted_p_value,holm_family_size,significant
RDHO-core vs RDHO-core w/o hybrid RIME-DBO fusion,RDHO-core,RDHO-core w/o hybrid RIME-DBO fusion,fitness,scenario_id + replicate_id,component_ablation_equal_budget,True,30,7,0,23,1e-12,85.0,0.001718590036034584,0.003487139581137555,0.004505813152617026,0.0021084791100913123,0.0069767816671902246,0.6344086021505376,RDHO-core w/o hybrid RIME-DBO fusion,0.006874360144138336,6,True
RDHO-core vs RDHO-core w/o dual-source initialization,RDHO-core,RDHO-core w/o dual-source initialization,fitness,scenario_id + replicate_id,component_ablation_equal_budget,True,30,30,0,0,1e-12,0.0,1.862645149230957e-09,-0.11933559586873116,-0.12472831706987492,-0.13920076881149243,-0.11030539396968253,-1.0,RDHO-core,1.1175870895385742e-08,6,True
RDHO-core vs RDHO-core w/o adaptive role allocation,RDHO-core,RDHO-core w/o adaptive role allocation,fitness,scenario_id + replicate_id,component_ablation_equal_budget,True,30,16,0,14,1e-12,220.0,0.8078304156661034,-0.0010775106304371507,-0.0008966054191061298,-0.00489700336001076,0.0029762327944192935,-0.053763440860215055,RDHO-core,0.8799335323274136,6,False
RDHO-core vs RDHO-core w/o elite preservation,RDHO-core,RDHO-core w/o elite preservation,fitness,scenario_id + replicate_id,component_ablation_equal_budget,True,30,13,0,17,1e-12,194.0,0.4399667661637068,0.0011608243702627696,0.0011159888385831411,-0.001752102622339959,0.003916351848769748,0.16559139784946236,RDHO-core w/o elite preservation,0.8799335323274136,6,False
RDHO-core vs RDHO-core w/o dynamic penalty,RDHO-core,RDHO-core w/o dynamic penalty,fitness,scenario_id + replicate_id,component_ablation_equal_budget,True,30,13,0,17,1e-12,176.0,0.25343610532581806,0.0004068534083196407,0.002012464542338947,-0.0012450071509697827,0.005214895400904655,0.24301075268817204,RDHO-core w/o dynamic penalty,0.7603083159774542,6,False
RDHO-core vs RDHO-full,RDHO-core,RDHO-full,fitness,scenario_id + replicate_id,component_ablation_equal_budget,True,30,1,0,29,1e-12,1.0,3.725290298461914e-09,0.015184975597979544,0.015777532628539693,0.012495245153875722,0.019042520568151495,0.9956989247311828,RDHO-full,1.862645149230957e-08,6,True
