comparison,reference_algorithm,comparison_algorithm,metric,paired_key,inference_tier,equal_budget,n_pairs,wins,ties,losses,zero_tolerance,statistic,raw_p_value,median_difference,mean_difference,mean_difference_ci_low,mean_difference_ci_high,rank_biserial,better_algorithm,adjusted_p_value,holm_family_size,significant
RDHO vs RIME,RDHO,RIME,fitness,scenario_id + replicate_id,primary_equal_budget,True,30,30,0,0,1e-12,0.0,1.862645149230957e-09,-0.4509526863043497,-0.46350207306799185,-0.5096211715945115,-0.4179949998194977,-1.0,RDHO,1.30385160446167e-08,7,True
RDHO vs DBO,RDHO,DBO,fitness,scenario_id + replicate_id,primary_equal_budget,True,30,30,0,0,1e-12,0.0,1.862645149230957e-09,-0.06005150285844901,-0.07270414964679021,-0.08827295304170081,-0.0573821068706549,-1.0,RDHO,1.30385160446167e-08,7,True
RDHO vs TLBO-HHO,RDHO,TLBO-HHO,fitness,scenario_id + replicate_id,primary_equal_budget,True,30,30,0,0,1e-12,0.0,1.862645149230957e-09,-0.09719109109778035,-0.10316766351658604,-0.11584171993869982,-0.09049406340607742,-1.0,RDHO,1.30385160446167e-08,7,True
RDHO vs CWTSSA,RDHO,CWTSSA,fitness,scenario_id + replicate_id,primary_equal_budget,True,30,30,0,0,1e-12,0.0,1.862645149230957e-09,-0.06827213141129063,-0.07154046551802504,-0.08082435017792201,-0.0632411453516517,-1.0,RDHO,1.30385160446167e-08,7,True
RDHO vs GA,RDHO,GA,fitness,scenario_id + replicate_id,primary_equal_budget,True,30,30,0,0,1e-12,0.0,1.862645149230957e-09,-0.06822091170745936,-0.0962072513794001,-0.1189383433801286,-0.07460653560037844,-1.0,RDHO,1.30385160446167e-08,7,True
RDHO vs PSO,RDHO,PSO,fitness,scenario_id + replicate_id,primary_equal_budget,True,30,30,0,0,1e-12,0.0,1.862645149230957e-09,-0.4571960749356136,-0.46990095289863215,-0.513912523385645,-0.42732419523173637,-1.0,RDHO,1.30385160446167e-08,7,True
RDHO vs DE,RDHO,DE,fitness,scenario_id + replicate_id,primary_equal_budget,True,30,30,0,0,1e-12,0.0,1.862645149230957e-09,-0.035300380367717044,-0.03588185795518773,-0.04015683218375615,-0.0318035395017421,-1.0,RDHO,1.30385160446167e-08,7,True
