experiment,comparison,n_pairs,delta_definition,rdho_mean,rdho_std,baseline_mean,baseline_std,rdho_median,baseline_median,median_paired_difference,median_difference_ci95_low,median_difference_ci95_high,w_statistic,p_value_two_sided,rank_biserial,wins_rdho,ties,losses_rdho,p_value_holm,significant_holm_0_05
controlled_population_stage,RDHO-population-controlled vs DBO-population-controlled,30,F_RDHO - F_baseline; negative favours RDHO,1.418845369948689,0.16119951014346698,1.240930440893181,0.12445527173673228,1.3946045713210231,1.2208266093641695,0.17890960418751867,0.112584198949924,0.2253026953409224,0.0,1.862645149230957e-09,1.0,0,0,30,3.725290298461914e-09,True
controlled_population_stage,RDHO-population-controlled vs RIME-population-controlled,30,F_RDHO - F_baseline; negative favours RDHO,1.418845369948689,0.16119951014346698,1.6834248775340017,0.16511905075683514,1.3946045713210231,1.659319019950705,-0.27829999848020726,-0.31282174435880816,-0.19812306534297242,4.0,1.30385160446167e-08,-0.9827956989247312,29,0,1,1.30385160446167e-08,True
controlled_common_pipeline,RDHO-common-pipeline vs DBO-common-pipeline,30,F_RDHO - F_baseline; negative favours RDHO,0.9732054496710478,0.12440504527741121,0.9664040218785112,0.12336962050630278,0.982734904537724,0.9675659912310599,0.00822621234124521,0.0007748350652240776,0.014348734355032977,125.0,0.026228994131088257,0.46236559139784944,10,0,20,0.026228994131088257,True
controlled_common_pipeline,RDHO-common-pipeline vs RIME-common-pipeline,30,F_RDHO - F_baseline; negative favours RDHO,0.9732054496710478,0.12440504527741121,0.9835905941362008,0.12048459692214145,0.982734904537724,0.9950161465148228,-0.012281241977098789,-0.024215287721885803,-0.0018393741144872577,109.0,0.00993151031434536,-0.5311827956989247,23,0,7,0.01986302062869072,True
