experiment,setting,cpu_capacity_scale,sla_scale,server_heterogeneity_scale,fitness_mean,fitness_std,fitness,base_objective_mean,base_objective_std,base_objective,penalty_mean,penalty_std,penalty,search_fitness_mean,search_fitness_std,search_fitness,energy_mean,energy_std,energy,delay_mean,delay_std,delay,aoi_mean,aoi_std,aoi,qoe_mean,qoe_std,qoe,fairness_mean,fairness_std,fairness,csr_mean,csr_std,csr,hard_feasible_mean,hard_feasible_std,hard_feasible,capacity_utilisation_mean_mean,capacity_utilisation_mean_std,capacity_utilisation_mean,capacity_utilisation_max_mean,capacity_utilisation_max_std,capacity_utilisation_max,assignment_unique_mean,assignment_unique_std,assignment_unique,runtime_mean,runtime_std,runtime,nfe_mean,nfe_std,nfe,pre_refinement_fitness_mean,pre_refinement_fitness_std,pre_refinement_fitness,local_refinement_gain_mean,local_refinement_gain_std,local_refinement_gain
cpu_capacity,capacity_0.8,0.8,1.0,1.0,1.004729522274805,0.12248661246064174,1.004730 +/- 0.122487,0.6980628556081384,0.07395279372033721,0.698063 +/- 0.073953,0.30666666666666664,0.051806447918931985,0.306667 +/- 0.051806,3.4580628556081385,0.5334003991437892,3.458063 +/- 0.533400,70.89088133747723,16.31170502532873,70.890881 +/- 16.311705,2.110184319661396,0.25575352637360566,2.110184 +/- 0.255754,2.433452347254995,0.26351214995125744,2.433452 +/- 0.263512,0.43842542775814125,0.03230478484390018,0.438425 +/- 0.032305,0.9209973519427995,0.020504483387433582,0.920997 +/- 0.020504,0.6933333333333334,0.051806447918931985,0.693333 +/- 0.051806,1.0,0.0,1.000000 +/- 0.000000,0.8703137742935876,0.041663058711097045,0.870314 +/- 0.041663,1.0000000000000002,9.219900382466669e-17,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.5522794583666535,0.09778365997388155,6.552279 +/- 0.097784,10232.0,0.0,10232.000000 +/- 0.000000,1.0655592115006471,0.13566031592107833,1.065559 +/- 0.135660,0.060829689225842115,0.05205886215788677,0.060830 +/- 0.052059
cpu_capacity,capacity_1.0,1.0,1.0,1.0,0.9470392278303288,0.12019325475607966,0.947039 +/- 0.120193,0.6675947833858843,0.06743497916856628,0.667595 +/- 0.067435,0.2794444444444444,0.05469934076338502,0.279444 +/- 0.054699,3.1825947833858845,0.5559345666823937,3.182595 +/- 0.555935,94.58022479857776,24.036652917213107,94.580225 +/- 24.036653,1.8477734882114811,0.21772190769705946,1.847773 +/- 0.217722,2.1710415158050806,0.22634371181429777,2.171042 +/- 0.226344,0.4468303583653314,0.03218008949819209,0.446830 +/- 0.032180,0.9244036198733895,0.020454900294033164,0.924404 +/- 0.020455,0.7205555555555556,0.05469934076338502,0.720556 +/- 0.054699,1.0,0.0,1.000000 +/- 0.000000,0.8189427712389218,0.04341340208030516,0.818943 +/- 0.043413,1.0,1.8439800764933338e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.518678574933362,0.10159357374989751,6.518679 +/- 0.101594,10232.0,0.0,10232.000000 +/- 0.000000,0.9947086019396798,0.12081151699613002,0.994709 +/- 0.120812,0.047669374109350834,0.03284368291383761,0.047669 +/- 0.032844
cpu_capacity,capacity_1.2,1.2,1.0,1.0,0.9172027515798753,0.11842782427216386,0.917203 +/- 0.118428,0.6563694182465417,0.07379512841429836,0.656369 +/- 0.073795,0.26083333333333336,0.049332226610761046,0.260833 +/- 0.049332,3.003869418246542,0.5078235088750017,3.003869 +/- 0.507824,117.01266830783136,29.005156463636133,117.012668 +/- 29.005156,1.6668779869975394,0.19284972619507337,1.666878 +/- 0.192850,1.9901460145911387,0.2002882031138311,1.990146 +/- 0.200288,0.45271026197142095,0.03322585512437523,0.452710 +/- 0.033226,0.9273786170717427,0.019374898391023593,0.927379 +/- 0.019375,0.739166666666667,0.04933222661076104,0.739167 +/- 0.049332,1.0,0.0,1.000000 +/- 0.000000,0.7816924368699539,0.04288432304372938,0.781692 +/- 0.042884,1.0,1.8895173057237605e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.490000558266654,0.10489477934404672,6.490001 +/- 0.104895,10232.0,0.0,10232.000000 +/- 0.000000,0.9654559744111411,0.12098950315964067,0.965456 +/- 0.120990,0.048253222831265714,0.0440136222885869,0.048253 +/- 0.044014
sla_strictness,sla_0.8,1.0,0.8,1.0,1.1868822262768208,0.1393478038584648,1.186882 +/- 0.139348,0.8188266707212651,0.07712703816023053,0.818827 +/- 0.077127,0.3680555555555555,0.06569271805626109,0.368056 +/- 0.065693,4.131326670721266,0.6617326081154192,4.131327 +/- 0.661733,85.93097698805997,20.473461249940808,85.930977 +/- 20.473461,1.8961705195008582,0.2214356863536911,1.896171 +/- 0.221436,2.2194385470944575,0.22937951877160304,2.219439 +/- 0.229380,0.3862626037118734,0.032726494515204485,0.386263 +/- 0.032726,0.90187949004059,0.02868117477494713,0.901879 +/- 0.028681,0.6319444444444445,0.0656927180562611,0.631944 +/- 0.065693,1.0,0.0,1.000000 +/- 0.000000,0.8144715729274844,0.04299442188789131,0.814472 +/- 0.042994,1.0,1.8439800764933338e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.529039208266643,0.09795753379470813,6.529039 +/- 0.097958,10232.0,0.0,10232.000000 +/- 0.000000,1.2477300338579345,0.1340509680898613,1.247730 +/- 0.134051,0.060847807581113696,0.040742924456174834,0.060848 +/- 0.040743
sla_strictness,sla_1.0,1.0,1.0,1.0,0.9470392278303288,0.12019325475607966,0.947039 +/- 0.120193,0.6675947833858843,0.06743497916856628,0.667595 +/- 0.067435,0.2794444444444444,0.05469934076338502,0.279444 +/- 0.054699,3.1825947833858845,0.5559345666823937,3.182595 +/- 0.555935,94.58022479857776,24.036652917213107,94.580225 +/- 24.036653,1.8477734882114811,0.21772190769705946,1.847773 +/- 0.217722,2.1710415158050806,0.22634371181429777,2.171042 +/- 0.226344,0.4468303583653314,0.03218008949819209,0.446830 +/- 0.032180,0.9244036198733895,0.020454900294033164,0.924404 +/- 0.020455,0.7205555555555556,0.05469934076338502,0.720556 +/- 0.054699,1.0,0.0,1.000000 +/- 0.000000,0.8189427712389218,0.04341340208030516,0.818943 +/- 0.043413,1.0,1.8439800764933338e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.557901770766678,0.11241994970365739,6.557902 +/- 0.112420,10232.0,0.0,10232.000000 +/- 0.000000,0.9947086019396798,0.12081151699613002,0.994709 +/- 0.120812,0.047669374109350834,0.03284368291383761,0.047669 +/- 0.032844
sla_strictness,sla_1.2,1.0,1.2,1.0,0.7785949200242451,0.10613243212113317,0.778595 +/- 0.106132,0.5613726978020229,0.057232157096037024,0.561373 +/- 0.057232,0.21722222222222223,0.05071015475876331,0.217222 +/- 0.050710,2.5163726978020238,0.5102177037029929,2.516373 +/- 0.510218,94.08533270151052,21.734537962871517,94.085333 +/- 21.734538,1.8119297795810843,0.21007708521851876,1.811930 +/- 0.210077,2.135197807174684,0.2202598554351216,2.135198 +/- 0.220260,0.4954183165381193,0.03258337654132158,0.495418 +/- 0.032583,0.9381343696567535,0.016523208516489044,0.938134 +/- 0.016523,0.7827777777777778,0.05071015475876331,0.782778 +/- 0.050710,1.0,0.0,1.000000 +/- 0.000000,0.8291403596763495,0.039811391260776735,0.829140 +/- 0.039811,1.0000000000000002,1.0909133250980695e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.544799337400006,0.0975662460824172,6.544799 +/- 0.097566,10232.0,0.0,10232.000000 +/- 0.000000,0.8207373569724778,0.11035193906684046,0.820737 +/- 0.110352,0.04214243694823261,0.034731037520167145,0.042142 +/- 0.034731
server_heterogeneity,heterogeneity_0.0,1.0,1.0,0.0,0.9695366081805986,0.12213784406836257,0.969537 +/- 0.122138,0.6864810526250432,0.07165010770393057,0.686481 +/- 0.071650,0.2830555555555556,0.054027599257060105,0.283056 +/- 0.054028,3.2339810526250425,0.5507773050678437,3.233981 +/- 0.550777,96.9513326629781,24.79621146414251,96.951333 +/- 24.796211,1.923884962908346,0.24442689214591581,1.923885 +/- 0.244427,2.247152990501945,0.25231285592214436,2.247153 +/- 0.252313,0.4409255181676713,0.03260525700318136,0.440926 +/- 0.032605,0.9231209184564289,0.020842680116064053,0.923121 +/- 0.020843,0.7169444444444444,0.05402759925706009,0.716944 +/- 0.054028,1.0,0.0,1.000000 +/- 0.000000,0.8325455524972127,0.04372207706421452,0.832546 +/- 0.043722,1.0000000000000002,1.1662354003380896e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.600969012599993,0.08359429990318465,6.600969 +/- 0.083594,10232.0,0.0,10232.000000 +/- 0.000000,0.9992779867510354,0.12736029167181706,0.999278 +/- 0.127360,0.029741378570436555,0.017606044647072768,0.029741 +/- 0.017606
server_heterogeneity,heterogeneity_1.0,1.0,1.0,1.0,0.9470392278303288,0.12019325475607966,0.947039 +/- 0.120193,0.6675947833858843,0.06743497916856628,0.667595 +/- 0.067435,0.2794444444444444,0.05469934076338502,0.279444 +/- 0.054699,3.1825947833858845,0.5559345666823937,3.182595 +/- 0.555935,94.58022479857776,24.036652917213107,94.580225 +/- 24.036653,1.8477734882114811,0.21772190769705946,1.847773 +/- 0.217722,2.1710415158050806,0.22634371181429777,2.171042 +/- 0.226344,0.4468303583653314,0.03218008949819209,0.446830 +/- 0.032180,0.9244036198733895,0.020454900294033164,0.924404 +/- 0.020455,0.7205555555555556,0.05469934076338502,0.720556 +/- 0.054699,1.0,0.0,1.000000 +/- 0.000000,0.8189427712389218,0.04341340208030516,0.818943 +/- 0.043413,1.0,1.8439800764933338e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.657233469333331,0.09674248783408847,6.657233 +/- 0.096742,10232.0,0.0,10232.000000 +/- 0.000000,0.9947086019396798,0.12081151699613002,0.994709 +/- 0.120812,0.047669374109350834,0.03284368291383761,0.047669 +/- 0.032844
server_heterogeneity,heterogeneity_1.5,1.0,1.0,1.5,0.9408798447001554,0.12100082007743371,0.940880 +/- 0.121001,0.661713178033489,0.06968432381336627,0.661713 +/- 0.069684,0.2791666666666666,0.05578377453987592,0.279167 +/- 0.055784,3.1742131780334892,0.5630055687025002,3.174213 +/- 0.563006,95.35130676539185,23.08631859620035,95.351307 +/- 23.086319,1.8193705890653133,0.22594986638159972,1.819371 +/- 0.225950,2.142638616658913,0.23729236394247474,2.142639 +/- 0.237292,0.4502201228854601,0.033112765170522675,0.450220 +/- 0.033113,0.9256565572744275,0.020453987419015975,0.925657 +/- 0.020454,0.7208333333333331,0.05578377453987592,0.720833 +/- 0.055784,1.0,0.0,1.000000 +/- 0.000000,0.8215163411649802,0.042484193035232425,0.821516 +/- 0.042484,1.0,1.700065629359263e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.698678918033337,0.1088382505786826,6.698679 +/- 0.108838,10232.0,0.0,10232.000000 +/- 0.000000,1.0440590673944363,0.16583727357453018,1.044059 +/- 0.165837,0.10317922269428093,0.10392657149191577,0.103179 +/- 0.103927
