setting,description,weights,w_energy,w_delay,w_aoi,w_qoe,w_fairness,fitness_mean,fitness_std,fitness,base_objective_mean,base_objective_std,base_objective,penalty_mean,penalty_std,penalty,search_fitness_mean,search_fitness_std,search_fitness,energy_mean,energy_std,energy,delay_mean,delay_std,delay,aoi_mean,aoi_std,aoi,qoe_mean,qoe_std,qoe,fairness_mean,fairness_std,fairness,csr_mean,csr_std,csr,hard_feasible_mean,hard_feasible_std,hard_feasible,capacity_utilisation_mean_mean,capacity_utilisation_mean_std,capacity_utilisation_mean,capacity_utilisation_max_mean,capacity_utilisation_max_std,capacity_utilisation_max,assignment_unique_mean,assignment_unique_std,assignment_unique,runtime_mean,runtime_std,runtime,nfe_mean,nfe_std,nfe,pre_refinement_fitness_mean,pre_refinement_fitness_std,pre_refinement_fitness,local_refinement_gain_mean,local_refinement_gain_std,local_refinement_gain
S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25,0.9470392278303288,0.12019325475607966,0.947039 +/- 0.120193,0.6675947833858843,0.06743497916856628,0.667595 +/- 0.067435,0.2794444444444444,0.05469934076338502,0.279444 +/- 0.054699,3.1825947833858845,0.5559345666823937,3.182595 +/- 0.555935,94.58022479857776,24.036652917213107,94.580225 +/- 24.036653,1.8477734882114811,0.21772190769705946,1.847773 +/- 0.217722,2.1710415158050806,0.22634371181429777,2.171042 +/- 0.226344,0.4468303583653314,0.03218008949819209,0.446830 +/- 0.032180,0.9244036198733895,0.020454900294033164,0.924404 +/- 0.020455,0.7205555555555556,0.05469934076338502,0.720556 +/- 0.054699,1.0,0.0,1.000000 +/- 0.000000,0.8189427712389218,0.04341340208030516,0.818943 +/- 0.043413,1.0,1.8439800764933338e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,7.922475447166666,0.17981227027186136,7.922475 +/- 0.179812,10232.0,0.0,10232.000000 +/- 0.000000,0.9947086019396798,0.12081151699613002,0.994709 +/- 0.120812,0.047669374109350834,0.03284368291383761,0.047669 +/- 0.032844
S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2,1.009383967149042,0.1275751976864703,1.009384 +/- 0.127575,0.7260506338157089,0.074980781047248,0.726051 +/- 0.074981,0.2833333333333333,0.056179447026463644,0.283333 +/- 0.056179,3.276050633815709,0.5733614206426692,3.276051 +/- 0.573361,87.47814703929323,20.974582904567818,87.478147 +/- 20.974583,1.8806049055160667,0.2162285154742557,1.880605 +/- 0.216229,2.2038729331096665,0.22586613713327636,2.203873 +/- 0.225866,0.44586291642738646,0.03168577440114932,0.445863 +/- 0.031686,0.9209416697980063,0.020132072556753755,0.920942 +/- 0.020132,0.7166666666666668,0.05617944702646362,0.716667 +/- 0.056179,1.0,0.0,1.000000 +/- 0.000000,0.8097338492289488,0.040742505027947476,0.809734 +/- 0.040743,1.0000000000000002,1.5969335903155996e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,8.600309184833339,0.41598813908614446,8.600309 +/- 0.415988,10232.0,0.0,10232.000000 +/- 0.000000,1.0685080535865807,0.13185517993745427,1.068508 +/- 0.131855,0.05912408643753866,0.058773585183800645,0.059124 +/- 0.058774
S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15,1.0690692011840872,0.13720380319416797,1.069069 +/- 0.137204,0.7824025345174203,0.08511518566880784,0.782403 +/- 0.085115,0.28666666666666657,0.05569140478610509,0.286667 +/- 0.055691,3.36240253451742,0.5785996359094921,3.362403 +/- 0.578600,82.34605875222665,20.058401309454847,82.346059 +/- 20.058401,1.9022090347149962,0.21136000008049277,1.902209 +/- 0.211360,2.225477062308596,0.22050776633207358,2.225477 +/- 0.220508,0.4458844607284852,0.03276106153605703,0.445884 +/- 0.032761,0.9192629815485931,0.021747637915373836,0.919263 +/- 0.021748,0.7133333333333334,0.055691404786105084,0.713333 +/- 0.055691,1.0,0.0,1.000000 +/- 0.000000,0.7954831302814522,0.04143522550510565,0.795483 +/- 0.041435,1.0000000000000002,1.3675322253524408e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,7.771230008333325,0.4396152552984085,7.771230 +/- 0.439615,10232.0,0.0,10232.000000 +/- 0.000000,1.1338829847636345,0.14696026632630002,1.133883 +/- 0.146960,0.06481378357954748,0.05735856168916429,0.064814 +/- 0.057359
S4,QoE-fairness priority,"(0.100, 0.100, 0.150, 0.325, 0.325)",0.1,0.1,0.15,0.325,0.325,0.8412434155543469,0.10566638927012179,0.841243 +/- 0.105666,0.5717989711099024,0.05507634257143242,0.571799 +/- 0.055076,0.26944444444444443,0.053126995492535224,0.269444 +/- 0.053127,2.9967989711099023,0.5286205019753732,2.996799 +/- 0.528621,103.29546161863367,25.28669922805567,103.295462 +/- 25.286699,1.8571149450976647,0.23372609227235638,1.857115 +/- 0.233726,2.1803829726912642,0.2437460372431295,2.180383 +/- 0.243746,0.4471621206696071,0.03238368844049262,0.447162 +/- 0.032384,0.9299927119473019,0.019171733756938085,0.929993 +/- 0.019172,0.7305555555555556,0.053126995492535224,0.730556 +/- 0.053127,1.0,0.0,1.000000 +/- 0.000000,0.8299465968085774,0.04833041929666977,0.829947 +/- 0.048330,1.0000000000000002,1.236979440058307e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.937123595766673,0.09588182661046332,6.937124 +/- 0.095882,10232.0,0.0,10232.000000 +/- 0.000000,0.8885587298612444,0.11277408150732904,0.888559 +/- 0.112774,0.04731531430689736,0.041730330715189674,0.047315 +/- 0.041730
S5,AoI-freshness priority,"(0.125, 0.125, 0.350, 0.200, 0.200)",0.125,0.125,0.35,0.2,0.2,1.0334911447935686,0.12876904448212081,1.033491 +/- 0.128769,0.7504355892380129,0.0756026563480459,0.750436 +/- 0.075603,0.28305555555555556,0.05564336929604086,0.283056 +/- 0.055643,3.2979355892380133,0.5713426253421161,3.297936 +/- 0.571343,105.66624925240514,25.578523455585056,105.666249 +/- 25.578523,1.7774250810895273,0.2164762591174413,1.777425 +/- 0.216476,2.100693108683127,0.2252739143222217,2.100693 +/- 0.225274,0.44661272834671245,0.03168733169523695,0.446613 +/- 0.031687,0.9253072601100734,0.019344189125807678,0.925307 +/- 0.019344,0.7169444444444444,0.05564336929604084,0.716944 +/- 0.055643,1.0,0.0,1.000000 +/- 0.000000,0.8544089791101493,0.0422615363140842,0.854409 +/- 0.042262,1.0000000000000002,1.236979440058307e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.680272304166639,0.11125764657769244,6.680272 +/- 0.111258,10232.0,0.0,10232.000000 +/- 0.000000,1.0954245546124415,0.13504068034647132,1.095425 +/- 0.135041,0.061933409818872666,0.053764161863200724,0.061933 +/- 0.053764
S6,Physical terms only (E+D+A),"(0.300, 0.300, 0.400, 0.000, 0.000)",0.3,0.3,0.4,0.0,0.0,1.2859797582110841,0.16478913430400324,1.285980 +/- 0.164789,0.9843130915444174,0.10829993187224855,0.984313 +/- 0.108300,0.3016666666666667,0.05974883573466106,0.301667 +/- 0.059749,3.699313091544417,0.638437631936211,3.699313 +/- 0.638438,88.85484229027242,20.493025151178657,88.854842 +/- 20.493025,1.8128176211466982,0.206884246887883,1.812818 +/- 0.206884,2.1360856487402975,0.21774966732891438,2.136086 +/- 0.217750,0.44472291230429145,0.03230473607765348,0.444723 +/- 0.032305,0.9178501036441791,0.021418968647553212,0.917850 +/- 0.021419,0.6983333333333335,0.059748835734661054,0.698333 +/- 0.059749,1.0,0.0,1.000000 +/- 0.000000,0.825585659716303,0.038054796831576844,0.825586 +/- 0.038055,1.0000000000000002,1.0909133250980695e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.783808745966668,0.19225408157584528,6.783809 +/- 0.192254,10232.0,0.0,10232.000000 +/- 0.000000,1.3556795738037466,0.17126207693692125,1.355680 +/- 0.171262,0.06969981559266249,0.058535186846675046,0.069700 +/- 0.058535
S7,Physical terms and aggregate QoE (E+D+A+Q),"(0.200, 0.200, 0.250, 0.350, 0.000)",0.2,0.2,0.25,0.35,0.0,1.1360739779050695,0.13708676200669914,1.136074 +/- 0.137087,0.8480184223495137,0.08480367621636531,0.848018 +/- 0.084804,0.2880555555555555,0.05552273935001549,0.288056 +/- 0.055523,3.4405184223495135,0.577547820508219,3.440518 +/- 0.577548,90.56551997140367,22.001737703684448,90.565520 +/- 22.001738,1.8417512320779736,0.20057902804082672,1.841751 +/- 0.200579,2.1650192596715736,0.2104656314626119,2.165019 +/- 0.210466,0.44559057807699315,0.03259302002715524,0.445591 +/- 0.032593,0.92011020504275,0.02061226184715966,0.920110 +/- 0.020612,0.7119444444444445,0.05552273935001548,0.711944 +/- 0.055523,1.0,0.0,1.000000 +/- 0.000000,0.8209114889449426,0.03893186591986157,0.820911 +/- 0.038932,1.0,1.8439800764933338e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.868556227833332,0.11415842464698371,6.868556 +/- 0.114158,10232.0,0.0,10232.000000 +/- 0.000000,1.196046041265441,0.14798294734290285,1.196046 +/- 0.147983,0.05997206336037173,0.06192619393053634,0.059972 +/- 0.061926
