run_id,seed,scenario_id,replicate_id,scenario_seed,algorithm_seed,algorithm,fitness,reported_fitness,base_fitness,search_fitness,penalty_scale,report_penalty_scale,search_penalty,report_penalty,energy_norm,delay_norm,aoi_norm,energy,delay,aoi,qoe,fairness,csr,nfe_used,max_evaluations,runtime
1,684064704,1,1,684064704,1921995125,RDHO,1.09636215393266,1.09636215393266,0.7546954872659932,3.8296954872659934,9.0,1.0,3.075,0.3416666666666667,0.7925281554135479,1.3083038881900786,1.1964046256892158,94.42249694867996,1.7754426459004566,2.0882452529522326,0.3162294245814834,0.8826115530680927,0.6583333333333333,15011,15050,9.427651800215244
1,684064704,1,1,684064704,2078157419,RIME,1.7707775071888117,1.7707775071888117,1.254110840522145,1.7707775071888117,1.0,1.0,0.5166666666666666,0.5166666666666666,1.2920075048472,2.6081890832370944,2.128256317687177,129.30428236358978,4.166334164397254,4.47913677144903,0.26527480817018784,0.7610048367415508,0.48333333333333334,15050,15050,9.93032389972359
1,684064704,1,1,684064704,76985991,DBO,1.2144746012595817,1.2144746012595817,0.797807934592915,1.2144746012595817,1.0,1.0,0.41666666666666663,0.41666666666666663,0.6705678608710712,1.4828903617570695,1.3478577748173168,74.32555931987031,2.148810075102636,2.461612682154412,0.29963458122552555,0.8794948338335524,0.5833333333333334,15050,15050,10.390667799860239
1,684064704,1,1,684064704,2663559907,TLBO-HHO,1.2051928757990282,1.2051928757990282,0.7968595424656948,1.2051928757990282,1.0,1.0,0.4083333333333333,0.4083333333333333,0.6517819300910888,1.4724942785144564,1.3695205452647699,76.4751795139461,2.1233417924786053,2.436144399530381,0.29690830507010535,0.8858356864422585,0.5916666666666667,15050,15050,9.044051199685782
1,684064704,1,1,684064704,2492199821,CWTSSA,1.186278145314089,1.186278145314089,0.7862781453140889,1.186278145314089,1.0,1.0,0.4,0.4,0.7830158071408642,1.3983453527360372,1.265794956341006,87.85362635692357,1.8867828029600104,2.199585410011786,0.3063419233621133,0.8699981563804768,0.6,15050,15050,8.601390999741852
1,684064704,1,1,684064704,2392546508,GA,1.2229734942321606,1.2229734942321606,0.8229734942321607,1.2229734942321606,1.0,1.0,0.4,0.4,0.8173865296977795,1.4696049617173466,1.3555811849859585,97.52888149307992,2.032021685577292,2.3448242926290677,0.29621206089718527,0.8685538050120144,0.6,15050,15050,8.520066799595952
1,684064704,1,1,684064704,2637697140,PSO,1.9166819399523207,1.9166819399523207,1.3583486066189874,1.9166819399523207,1.0,1.0,0.5583333333333333,0.5583333333333333,1.1346744712626897,2.8555202866351945,2.5109596876122082,133.78974198835294,5.757384503589518,6.070187110641294,0.2444221841055075,0.7250679942470399,0.44166666666666665,15050,15050,8.621050800196826
1,684064704,1,1,684064704,1586804493,DE,1.1421543546139916,1.1421543546139916,0.7671543546139917,1.1421543546139916,1.0,1.0,0.375,0.375,0.9635336215736778,1.2349377375151247,1.1585001420333318,107.31736534248441,1.7704022680619835,2.083204875113759,0.30737851719360715,0.8698869934303731,0.625,15050,15050,8.380728299729526
1,684064704,1,1,684064704,4061594364,Greedy-ED,1.2282442206503092,1.2282442206503092,0.7615775539836427,1.2282442206503092,1.0,1.0,0.4666666666666667,0.4666666666666667,0.903315162748617,1.2420883996189587,1.1664136007828918,100.6349870519777,1.765856761425542,2.078659368477318,0.30822342293803723,0.8658393791742505,0.5333333333333333,360,15050,0.17935319989919662
2,686312795,2,1,686312795,1924243216,RDHO,0.9583954939202929,0.9583954939202929,0.6833954939202929,3.1583954939202927,9.0,1.0,2.475,0.275,0.6369931223203116,1.1352580990237715,1.0866612692352997,70.97110303607246,1.789534754782748,2.126024222411496,0.31947801086202215,0.8796197616514958,0.725,15011,15050,8.111413499806076
2,686312795,2,1,686312795,2080405510,RIME,1.241193768274215,1.241193768274215,0.8828604349408815,1.241193768274215,1.0,1.0,0.3583333333333333,0.3583333333333333,0.6374038085418101,1.6503039819959295,1.6226206200429545,69.85866763818538,2.3645334960378377,2.701022963666586,0.2914750056736304,0.8478044249198502,0.6416666666666667,15050,15050,8.47713840007782
2,686312795,2,1,686312795,79234082,DBO,1.0830590041173536,1.0830590041173536,0.7580590041173536,1.0830590041173536,1.0,1.0,0.32499999999999996,0.32499999999999996,0.4583774368157547,1.410166890886445,1.352742433340405,49.73556733129804,2.366151261223562,2.7026407288523098,0.30587657502192606,0.865207951802303,0.675,15050,15050,8.24531379994005
2,686312795,2,1,686312795,2665807998,TLBO-HHO,1.0378306154784114,1.0378306154784114,0.704497282145078,1.0378306154784114,1.0,1.0,0.33333333333333337,0.33333333333333337,0.5501054281682769,1.2357239530858561,1.1691411034121797,61.72868247918839,2.012387626196977,2.348877093825725,0.3110261953594249,0.8777951875424869,0.6666666666666666,15050,15050,8.15366129996255
2,686312795,2,1,686312795,2494447912,CWTSSA,1.0112015092763273,1.0112015092763273,0.7112015092763273,1.0112015092763273,1.0,1.0,0.30000000000000004,0.30000000000000004,0.5803291550568199,1.2421519027193173,1.183461362869385,62.35729082871197,1.9796944231958868,2.3161838908246346,0.31517611434414466,0.880275573511736,0.7,15050,15050,8.315934099722654
