experiment,run_id,scenario_seed,method,reporting_fitness,base_objective,energy,delay,aoi,qoe,fairness,soft_csr,hard_feasible,capacity_utilisation,capacity_utilisation_max,assignment_unique,runtime_s,total_nfe,population_nfe,refinement_nfe,initial_nfe,candidate_nfe,final_reporting_nfe,generation_count,final_generation_candidate_count,reassignment_count,repair_failure_count,initial_population_hash,code_commit,search_fitness_not_reported
controlled_population_stage,5,20260705,RDHO-population-controlled,1.2212949227752703,0.8546282561086036,145.60782521056277,2.504344989539633,2.843395680041672,0.41131871230865985,0.9203443290757518,0.6333333333333333,1,0.8661194517300247,1.0000000000000002,1,3.035138875,3801,3801,0,50,3750,1,75,50,0,0,65b81684fed3d6021b94c947c1dc68d73d84d424b9f0d02467a9caa448799be0,cf499f2d1a0f37859cc045cf3c902815b81927f1,True
controlled_population_stage,5,20260705,RIME-population-controlled,1.6503765075228194,1.167043174189486,160.07799814786165,5.18329869732685,5.522349387828889,0.3445956033395463,0.8569935635376013,0.5166666666666667,1,0.8627520774872618,1.0000000000000002,1,3.054684167,3801,3801,0,50,3750,1,75,50,0,0,65b81684fed3d6021b94c947c1dc68d73d84d424b9f0d02467a9caa448799be0,cf499f2d1a0f37859cc045cf3c902815b81927f1,True
controlled_population_stage,5,20260705,DBO-population-controlled,1.2023438337276646,0.8440105003943315,100.55064657391141,2.795347291774417,3.134397982276456,0.413463680617558,0.9242318745557484,0.6416666666666667,1,0.7449336263194036,1.0000000000000002,1,2.9996544170000004,3801,3801,0,50,3750,1,75,50,0,0,65b81684fed3d6021b94c947c1dc68d73d84d424b9f0d02467a9caa448799be0,cf499f2d1a0f37859cc045cf3c902815b81927f1,True
controlled_population_stage,6,20260706,RDHO-population-controlled,1.701484659420569,1.1431513260872357,172.71474449242226,4.138497490187931,4.456774364906652,0.3280421838707036,0.8565089262996005,0.44166666666666665,1,0.7536856382958274,1.0,1,3.060454083,3801,3801,0,50,3750,1,75,50,0,0,fef1afe0c1cd7991e6e22a81c803f6de5bf1de24de8e3742ab062fd2a6ae2de6,cf499f2d1a0f37859cc045cf3c902815b81927f1,True
controlled_population_stage,6,20260706,RIME-population-controlled,1.610141397311247,1.1268080639779137,123.95037724793032,3.370533288874145,3.6888101635928656,0.3500340461924559,0.8320070548502069,0.5166666666666667,1,0.8317932900667633,1.0000000000000002,1,3.050984917,3801,3801,0,50,3750,1,75,50,0,0,fef1afe0c1cd7991e6e22a81c803f6de5bf1de24de8e3742ab062fd2a6ae2de6,cf499f2d1a0f37859cc045cf3c902815b81927f1,True
controlled_population_stage,6,20260706,DBO-population-controlled,1.276065903937595,0.8343992372709285,88.61239030544154,2.4832522364084424,2.801529111127164,0.3909306103371177,0.93177407300004,0.5583333333333333,1,0.6761268221578196,1.0,1,2.945896625,3801,3801,0,50,3750,1,75,50,0,0,fef1afe0c1cd7991e6e22a81c803f6de5bf1de24de8e3742ab062fd2a6ae2de6,cf499f2d1a0f37859cc045cf3c902815b81927f1,True
controlled_population_stage,7,20260707,RDHO-population-controlled,1.6510583656964823,1.142725032363149,128.371336541963,4.382935698432351,4.716969638022283,0.35044329611629055,0.8695155688206286,0.49166666666666664,1,0.7350243557648491,1.0000000000000002,1,3.172890708,3801,3801,0,50,3750,1,75,50,0,0,f4aac2e2df1f1fc0c80bc08efc9983000ac325adb78c7946f42b7c060332a987,cf499f2d1a0f37859cc045cf3c902815b81927f1,True
controlled_population_stage,7,20260707,RIME-population-controlled,1.8560424929957897,1.2727091596624565,94.59584563925628,4.855848470868368,5.1898824104583,0.3048040426933542,0.8031981472847564,0.4166666666666667,1,0.783549376566224,1.0,1,3.129733958,3801,3801,0,50,3750,1,75,50,0,0,f4aac2e2df1f1fc0c80bc08efc9983000ac325adb78c7946f42b7c060332a987,cf499f2d1a0f37859cc045cf3c902815b81927f1,True
controlled_population_stage,7,20260707,DBO-population-controlled,1.4722065011384653,1.0222065011384653,100.44156567942971,3.786267010264049,4.1203009498539815,0.3720019405430981,0.891880843116674,0.55,1,0.7834297507307092,1.0000000000000002,1,3.001538666,3801,3801,0,50,3750,1,75,50,0,0,f4aac2e2df1f1fc0c80bc08efc9983000ac325adb78c7946f42b7c060332a987,cf499f2d1a0f37859cc045cf3c902815b81927f1,True
controlled_population_stage,8,20260708,RDHO-population-controlled,1.4912350165116135,1.0329016831782802,96.9413455552206,3.625589963803242,3.945695463884364,0.3766507818698697,0.9170250607186903,0.5416666666666666,1,0.7008930839179799,1.0000000000000002,1,3.143827334,3801,3801,0,50,3750,1,75,50,0,0,7a450af484045e03b8bf8b298501e80d5632de03764935e0915972b762a8ee9e,cf499f2d1a0f37859cc045cf3c902815b81927f1,True
