run_id,seed,algorithm,fitness,base_objective,penalty,search_fitness,energy,delay,aoi,qoe,fairness,csr,runtime,nfe,pre_refinement_fitness,local_refinement_gain
1,20260701,RDHO-full,1.0292466225144756,0.7042466225144758,0.3249999999999999,3.629246622514476,90.68395521460278,1.746810193414035,2.0547517894462715,0.3238580980088558,0.9474708463241984,0.675,4.102923954000289,9112,1.0401930028570867,0.010946380342611
1,20260701,RDHO-core,1.0401930028570867,0.7068596695237533,0.3333333333333333,3.706859669523754,98.57189982611688,1.7366072430891362,2.044548839121372,0.3219770810257815,0.9530043180161516,0.6666666666666666,3.755816960000004,7911,1.0401930028570867,0.0
1,20260701,RDHO-w/o dual-source initialization,1.0333198510539243,0.6999865177205911,0.3333333333333333,3.699986517720592,99.37187081859162,1.662600088928933,1.970541684961169,0.3208405685940192,0.944960550252234,0.6666666666666666,4.086401988000034,8752,1.1656544789978378,0.1323346279439134
1,20260701,RDHO-w/o adaptive role allocation,1.0274077435802358,0.6940744102469024,0.3333333333333333,3.694074410246903,99.08605169909852,1.6404199781974949,1.9483615742297309,0.3233929507196379,0.9449063475385544,0.6666666666666666,4.248729816000036,9112,1.047337946419884,0.0199302028396481
1,20260701,RDHO-w/o elite preservation,1.0277497061891436,0.6944163728558103,0.3333333333333333,3.6944163728558106,103.20547796777144,1.6226945189499609,1.930636114982197,0.3236173875168647,0.9449349672982562,0.6666666666666666,4.256252074999964,9112,1.0461633708739888,0.0184136646848451
1,20260701,RDHO-w/o dynamic penalty,1.0270948523358734,0.6937615190025399,0.3333333333333333,1.0270948523358734,104.06338848529636,1.613283808008116,1.921225404040352,0.323654951095817,0.9448080115286576,0.6666666666666666,4.328043621000006,9112,1.047549307669087,0.0204544553332135
2,20260702,RDHO-full,1.1270378251240305,0.7853711584573637,0.3416666666666667,3.860371158457364,76.98597090370205,2.0526257338100384,2.3915072583615697,0.3064921774151868,0.8995000889378726,0.6583333333333333,4.259886257999824,9112,1.1458566181813468,0.0188187930573162
2,20260702,RDHO-core,1.1458566181813468,0.7958566181813467,0.35,3.9458566181813466,78.01686938841331,2.049977363474171,2.388858888025702,0.3073735515822923,0.8997314990381312,0.65,3.680261320999989,7911,1.1458566181813468,0.0
2,20260702,RDHO-w/o dual-source initialization,1.1393175745597408,0.7809842412264075,0.3583333333333333,4.005984241226408,82.72238956293086,1.9882480695563811,2.3271295941079124,0.3062599420981845,0.8997311661850586,0.6416666666666667,4.088980971000012,8752,1.2497856342024158,0.110468059642675
2,20260702,RDHO-w/o adaptive role allocation,1.1369795907875804,0.7786462574542471,0.3583333333333333,4.003646257454247,83.13823309214445,1.9749374937697863,2.313819018321318,0.3059976763118334,0.8994035569140243,0.6416666666666667,4.233039607000023,9112,1.1485174203389272,0.0115378295513468
2,20260702,RDHO-w/o elite preservation,1.1366308952826738,0.7782975619493405,0.3583333333333333,4.00329756194934,83.03132300037792,1.975423994049164,2.314305518600695,0.3059518565485494,0.8991872414737171,0.6416666666666667,4.2418870650000144,9112,1.1429557460874509,0.0063248508047768
2,20260702,RDHO-w/o dynamic penalty,1.1377235781666415,0.7793902448333083,0.3583333333333333,1.1377235781666415,83.25851990873056,1.973515319172596,2.3123968437241267,0.3060638056204366,0.8995055638159134,0.6416666666666667,4.220186867000052,9112,1.1473981069504142,0.0096745287837727
3,20260703,RDHO-full,0.8141516422510634,0.5891516422510634,0.2249999999999999,2.614151642251064,70.57494539636309,1.5388804754514924,1.8963484262072392,0.3494192335262225,0.9403583437452212,0.775,4.327572497999881,9112,0.8219586153287641,0.0078069730777007
3,20260703,RDHO-core,0.8219586153287641,0.5886252819954308,0.2333333333333332,2.6886252819954306,74.22481878127971,1.5052226918022733,1.8626906425580203,0.3475875468048014,0.9409068645671932,0.7666666666666667,4.030296883000005,7911,0.8219586153287641,0.0
3,20260703,RDHO-w/o dual-source initialization,0.8239024469048984,0.5905691135715652,0.2333333333333332,2.6905691135715646,72.2453514008005,1.5454573169397077,1.902925267695455,0.3497494273218602,0.9413146315023704,0.7666666666666667,4.649445012000001,8752,0.8956229426910625,0.071720495786164
3,20260703,RDHO-w/o adaptive role allocation,0.8194407913695886,0.5861074580362553,0.2333333333333332,2.686107458036255,73.35504231627446,1.5097864119676685,1.8672543627234155,0.3493722236612299,0.9405691430096648,0.7666666666666667,4.51650091099998,9112,0.823842825677043,0.0044020343074544
3,20260703,RDHO-w/o elite preservation,0.8184421198041784,0.5851087864708451,0.2333333333333332,2.6851087864708445,72.1602083032337,1.5143801644294763,1.8718481151852235,0.3491550671036657,0.9400431340126768,0.7666666666666667,4.338465157999963,9112,0.8238654592757054,0.005423339471527
3,20260703,RDHO-w/o dynamic penalty,0.8216676283264398,0.5883342949931065,0.2333333333333332,0.8216676283264398,71.69378056843867,1.538202486477741,1.8956704372334885,0.3494846364457035,0.940691226019292,0.7666666666666667,4.3698938219999945,9112,0.8297780590521802,0.0081104307257403
4,20260704,RDHO-full,0.9680597340770316,0.6597264007436984,0.3083333333333333,3.4347264007436986,75.91467263937889,1.666318416102871,1.9889230804145897,0.342199773945449,0.9194791164547826,0.6916666666666667,4.072587551000197,9112,0.9792127949331378,0.0111530608561061
4,20260704,RDHO-core,0.9792127949331378,0.6625461282664712,0.3166666666666666,3.5125461282664707,78.0093685465078,1.668047510623835,1.990652174935554,0.3409854129630268,0.9202196106398703,0.6833333333333333,3.6542250330001034,7911,0.9792127949331378,0.0
4,20260704,RDHO-w/o dual-source initialization,0.9762504848428344,0.6679171515095009,0.3083333333333333,3.4429171515095014,76.6767840469454,1.6919473605516138,2.014552024863333,0.3430971606656109,0.9205973383632136,0.6916666666666667,4.093715467999914,8752,1.0659785118974778,0.0897280270546435
4,20260704,RDHO-w/o adaptive role allocation,0.968264093453365,0.6599307601200316,0.3083333333333333,3.434930760120032,76.61397273745209,1.669215021338271,1.9918196856499897,0.3423572225109568,0.92001786769297,0.6916666666666667,4.409559931999979,9112,0.9730409828625012,0.0047768894091362
4,20260704,RDHO-w/o elite preservation,0.96768553470816,0.6593522013748265,0.3083333333333333,3.4343522013748267,77.33166652911743,1.6546390329378091,1.977243697249528,0.3421911740570328,0.9202140989835562,0.6916666666666667,4.286939935999953,9112,0.9731617702308272,0.0054762355226674
