algorithm,fitness_mean,fitness_std,fitness,energy_mean,energy_std,energy,delay_mean,delay_std,delay,aoi_mean,aoi_std,aoi,qoe_mean,qoe_std,qoe,fairness_mean,fairness_std,fairness,csr_mean,csr_std,csr,runtime_mean,runtime_std,runtime
RDHO,0.9733551903291325,0.08906102960633909,0.973355 +/- 0.089061,86.46598592692155,16.96296901939986,86.465986 +/- 16.962969,1.6348085532274055,0.17483030506074612,1.634809 +/- 0.174830,1.9536362379609211,0.19198978314236892,1.953636 +/- 0.191990,0.32731725189602373,0.01895570441952957,0.327317 +/- 0.018956,0.8999723474162562,0.013019027659711344,0.899972 +/- 0.013019,0.7030555555555555,0.044822090487367135,0.703056 +/- 0.044822,4.448640170010427,0.07960608598716436,4.448640 +/- 0.079606
RIME,1.4053375497458724,0.1549312800240991,1.405338 +/- 0.154931,97.01280133771594,19.293770447760213,97.012801 +/- 19.293770,3.1946311733240202,0.6849124243665778,3.194631 +/- 0.684912,3.5134588580575374,0.6944922477362858,3.513459 +/- 0.694492,0.28038034076287077,0.02020600215336794,0.280380 +/- 0.020206,0.8198615661149792,0.02840595208389628,0.819862 +/- 0.028406,0.5652777777777779,0.04606567719659723,0.565278 +/- 0.046066,3.706689303321764,0.06754013192336823,3.706689 +/- 0.067540
DBO,1.0200488657256204,0.0951811872439443,1.020049 +/- 0.095181,69.92881410399255,11.639046419216733,69.928814 +/- 11.639046,1.881580790852621,0.21706673459993284,1.881581 +/- 0.217067,2.2004084755861366,0.22906373828188262,2.200408 +/- 0.229064,0.319152684995256,0.01932184305384904,0.319153 +/- 0.019322,0.8971360264884178,0.014762890736207625,0.897136 +/- 0.014763,0.6819444444444446,0.04442498376624246,0.681944 +/- 0.044425,3.6709739366856713,0.06342934120663345,3.670974 +/- 0.063429
TLBO-HHO,1.0692342839801714,0.10111728523851854,1.069234 +/- 0.101117,61.197602741272355,12.385299861740888,61.197603 +/- 12.385300,1.9888777874870343,0.25217296156118363,1.988878 +/- 0.252173,2.307705472220549,0.26546164606952194,2.307705 +/- 0.265462,0.31707241544359793,0.018070464726788957,0.317072 +/- 0.018070,0.899753600788614,0.012717169960319272,0.899754 +/- 0.012717,0.6544444444444445,0.049602506837322397,0.654444 +/- 0.049603,3.7055317232850937,0.10434264580902666,3.705532 +/- 0.104343
CWTSSA,1.0307364869224478,0.09774239839912423,1.030736 +/- 0.097742,69.29773127414734,14.280515202542546,69.297731 +/- 14.280515,1.87485223826808,0.22264757708624897,1.874852 +/- 0.222648,2.193679923001595,0.2363707814323032,2.193680 +/- 0.236371,0.3197615645668242,0.018446383818628623,0.319762 +/- 0.018446,0.8996297904654831,0.013410025498692572,0.899630 +/- 0.013410,0.676111111111111,0.04743079922579796,0.676111 +/- 0.047431,3.7536510300046455,0.05715557484192932,3.753651 +/- 0.057156
Greedy-ED,1.0511633269420788,0.09742559712462993,1.051163 +/- 0.097426,88.14053780828155,16.171484819616158,88.140538 +/- 16.171485,1.617090352076979,0.17400201498123893,1.617090 +/- 0.174002,1.9359180368104945,0.1894586189170017,1.935918 +/- 0.189459,0.3237947048866046,0.018772655336073744,0.323795 +/- 0.018773,0.8984884559426228,0.013885973972658106,0.898488 +/- 0.013886,0.6275,0.05493596062794335,0.627500 +/- 0.054936,0.17489670667176446,0.008906728300442838,0.174897 +/- 0.008907
