comparison,n_pairs,statistic,raw_p_value,median_difference,rank_biserial,better_algorithm,adjusted_p_value,p_value,significant
RDHO-core vs RDHO-full,30,1.0,3.725290298461914e-09,0.015184975597979544,0.9956989247311828,RDHO-full,1.4901161193847656e-08,1.4901161193847656e-08,Yes
RDHO-core vs RDHO-w/o dual-source initialization,30,0.0,1.862645149230957e-09,-0.10327378345413679,-1.0,RDHO-core,9.313225746154785e-09,9.313225746154785e-09,Yes
RDHO-core vs RDHO-w/o adaptive role allocation,30,133.0,0.04048972204327583,-0.0025432355806523366,-0.42795698924731185,RDHO-core,0.1214691661298275,0.1214691661298275,No
RDHO-core vs RDHO-w/o elite preservation,30,162.0,0.15188691951334476,0.0030764864006863624,0.3032258064516129,RDHO-w/o elite preservation,0.30377383902668953,0.30377383902668953,No
RDHO-core vs RDHO-w/o dynamic penalty,30,228.0,0.935398668050766,-9.309287533121324e-05,0.01935483870967742,RDHO-core,0.935398668050766,0.935398668050766,No
