task_number,fitness_mean,fitness_std,fitness,energy_mean,energy_std,energy,delay_mean,delay_std,delay,aoi_mean,aoi_std,aoi,qoe_mean,qoe_std,qoe,fairness_mean,fairness_std,fairness,csr_mean,csr_std,csr,runtime_mean,runtime_std,runtime
20,0.8983167987407011,0.1218766897884121,0.898317 +/- 0.121877,44.49322805121831,10.805352751327323,44.493228 +/- 10.805353,1.5398356239250754,0.19117259586533628,1.539836 +/- 0.191173,1.8713416429292002,0.21091033922550007,1.871342 +/- 0.210910,0.3342952601164062,0.016492815921121475,0.334295 +/- 0.016493,0.9042941000411513,0.015879008154471484,0.904294 +/- 0.015879,0.74,0.0639251105050779,0.740000 +/- 0.063925,4.688358130026609,0.21648211723600685,4.688358 +/- 0.216482
40,0.9723532279849645,0.1403129660449921,0.972353 +/- 0.140313,85.29482491863827,12.382569177270213,85.294825 +/- 12.382569,1.6850653869515715,0.1498608224948788,1.685065 +/- 0.149861,2.020156885789768,0.15107070214624205,2.020157 +/- 0.151071,0.32377092797938445,0.0175110413736862,0.323771 +/- 0.017511,0.899392643041581,0.022051648716910576,0.899393 +/- 0.022052,0.7058333333333334,0.064316203822008,0.705833 +/- 0.064316,7.986632659938186,0.2486564930830264,7.986633 +/- 0.248656
60,0.974559498608461,0.06415095437404396,0.974559 +/- 0.064151,109.23586569365,12.577122011140487,109.235866 +/- 12.577122,1.7660794856782602,0.19867680761131687,1.766079 +/- 0.198677,2.0910930504137366,0.2113325008287737,2.091093 +/- 0.211333,0.3271645254602278,0.016105600095066685,0.327165 +/- 0.016106,0.9016447493356052,0.011572736674102446,0.901645 +/- 0.011573,0.7005555555555556,0.03286189249042309,0.700556 +/- 0.032862,11.856174130039289,1.4214326803507127,11.856174 +/- 1.421433
80,0.968657437617925,0.07314271175812694,0.968657 +/- 0.073143,138.59391101271274,15.46644383528944,138.593911 +/- 15.466444,1.8234701341495458,0.22933114817428515,1.823470 +/- 0.229331,2.1484961245256686,0.24105535714057338,2.148496 +/- 0.241055,0.3276147725632241,0.01540241256393129,0.327615 +/- 0.015402,0.9014421796310297,0.013112466988984346,0.901442 +/- 0.013112,0.7075,0.031044074602107796,0.707500 +/- 0.031044,14.949334390042349,0.7687723703766705,14.949334 +/- 0.768772
100,0.9971462392391846,0.05837779590996046,0.997146 +/- 0.058378,171.05017130659567,19.502751482080203,171.050171 +/- 19.502751,1.856710906411315,0.12273453969787607,1.856711 +/- 0.122735,2.1800613292879554,0.131339467489326,2.180061 +/- 0.131339,0.32548012855283814,0.009495718595045567,0.325480 +/- 0.009496,0.8988004879381565,0.011766088802642759,0.898800 +/- 0.011766,0.699,0.02634294245683178,0.699000 +/- 0.026343,19.46368435989134,1.9645646095979024,19.463684 +/- 1.964565
