comparison,w_statistic,p_value,median_difference,rank_biserial,wins,ties,losses,p_holm,significant
RDHO vs RIME,0.0,1.862645149230957e-09,-0.4262986423862729,-1.0,30,0,0,9.313225746154785e-09,Yes
RDHO vs DBO,0.0,1.862645149230957e-09,-0.06825272890448902,-1.0,30,0,0,9.313225746154785e-09,Yes
RDHO vs TLBO-HHO,0.0,1.862645149230957e-09,-0.10487803407717894,-1.0,30,0,0,9.313225746154785e-09,Yes
RDHO vs CWTSSA,0.0,1.862645149230957e-09,-0.06616882025974863,-1.0,30,0,0,9.313225746154785e-09,Yes
RDHO vs Greedy-ED,0.0,1.862645149230957e-09,-0.08647605197157021,-1.0,30,0,0,9.313225746154785e-09,Yes
