algorithm,fitness_mean,fitness_std,fitness,base_objective_mean,base_objective_std,base_objective,penalty_mean,penalty_std,penalty,search_fitness_mean,search_fitness_std,search_fitness,energy_mean,energy_std,energy,delay_mean,delay_std,delay,aoi_mean,aoi_std,aoi,qoe_mean,qoe_std,qoe,fairness_mean,fairness_std,fairness,csr_mean,csr_std,csr,runtime_mean,runtime_std,runtime,nfe_mean,nfe_std,nfe,pre_refinement_fitness_mean,pre_refinement_fitness_std,pre_refinement_fitness,local_refinement_gain_mean,local_refinement_gain_std,local_refinement_gain
RIME,1.3857653623075656,0.1603393196144527,1.385765 +/- 0.160339,0.9474320289742322,0.119814732230949,0.947432 +/- 0.119815,0.4383333333333333,0.04959606955135183,0.438333 +/- 0.049596,1.3857653623075656,0.1603393196144527,1.385765 +/- 0.160339,97.00411719570047,20.03327901066885,97.004117 +/- 20.033279,3.116404647290986,0.7351064393644088,3.116405 +/- 0.735106,3.435232332024501,0.7443522335270953,3.435232 +/- 0.744352,0.28002348240391794,0.021777086555883386,0.280023 +/- 0.021777,0.8971954722745173,0.0331999205314241,0.897195 +/- 0.033200,0.5616666666666668,0.04959606955135183,0.561667 +/- 0.049596,4.462552930400004,0.8081380570141963,4.462553 +/- 0.808138,7551.0,0.0,7551.000000 +/- 0.000000,1.3857653623075656,0.1603393196144527,1.385765 +/- 0.160339,0.0,0.0,0.000000 +/- 0.000000
DBO,1.0276365033871908,0.09674823220096593,1.027637 +/- 0.096748,0.7029142811649687,0.060791955555795356,0.702914 +/- 0.060792,0.3247222222222223,0.04508842596288967,0.324722 +/- 0.045088,1.0276365033871908,0.09674823220096593,1.027637 +/- 0.096748,68.76633776830975,9.121929917019589,68.766338 +/- 9.121930,1.909910720850202,0.22918609821623195,1.909911 +/- 0.229186,2.228738405583718,0.23750357030303532,2.228738 +/- 0.237504,0.31766340924398495,0.019652692961417424,0.317663 +/- 0.019653,0.936013262012727,0.021172366808501552,0.936013 +/- 0.021172,0.6752777777777779,0.045088425962889665,0.675278 +/- 0.045088,4.395551365699987,0.6389803610196322,4.395551 +/- 0.638980,7551.0,0.0,7551.000000 +/- 0.000000,1.0276365033871908,0.09674823220096593,1.027637 +/- 0.096748,0.0,0.0,0.000000 +/- 0.000000
TLBO-HHO,1.0638302907691672,0.09067879808691301,1.063830 +/- 0.090679,0.708830290769167,0.05069237748975336,0.708830 +/- 0.050692,0.3549999999999999,0.043306800011119105,0.355000 +/- 0.043307,1.0638302907691672,0.09067879808691301,1.063830 +/- 0.090679,62.95479384329542,11.61405203722768,62.954794 +/- 11.614052,1.9481301424518247,0.2307555563017286,1.948130 +/- 0.230756,2.26695782718534,0.24689578329210862,2.266958 +/- 0.246896,0.3163827379325101,0.017687821036458735,0.316383 +/- 0.017688,0.9349940220657847,0.018761362489924507,0.934994 +/- 0.018761,0.6449999999999998,0.0433068000111191,0.645000 +/- 0.043307,4.312744588433353,0.5850411333476959,4.312745 +/- 0.585041,7551.0,0.0,7551.000000 +/- 0.000000,1.0638302907691672,0.09067879808691301,1.063830 +/- 0.090679,0.0,0.0,0.000000 +/- 0.000000
CWTSSA,1.0257984752287566,0.09904879243999194,1.025798 +/- 0.099049,0.6985762530065344,0.057007374414090095,0.698576 +/- 0.057007,0.32722222222222236,0.04521835769116433,0.327222 +/- 0.045218,1.0257984752287566,0.09904879243999194,1.025798 +/- 0.099049,68.83251668909753,13.019678935756462,68.832517 +/- 13.019679,1.8812792838396086,0.20651283701428236,1.881279 +/- 0.206513,2.2001069685731243,0.21541879337802844,2.200107 +/- 0.215419,0.31945484837915805,0.018652141280155868,0.319455 +/- 0.018652,0.9383038336150877,0.018920822311860958,0.938304 +/- 0.018921,0.6727777777777778,0.04521835769116433,0.672778 +/- 0.045218,4.318030104333324,0.6465463190197193,4.318030 +/- 0.646546,7551.0,0.0,7551.000000 +/- 0.000000,1.0257984752287566,0.09904879243999194,1.025798 +/- 0.099049,0.0,0.0,0.000000 +/- 0.000000
Greedy-ED,1.0419795323975434,0.0960557728343392,1.041980 +/- 0.096056,0.6692017546197653,0.047506386218383115,0.669202 +/- 0.047506,0.37277777777777793,0.05488290100274994,0.372778 +/- 0.054883,1.0419795323975434,0.0960557728343392,1.041980 +/- 0.096056,88.0641997249323,16.16062329209434,88.064200 +/- 16.160623,1.6197701503894606,0.17745701735706923,1.619770 +/- 0.177457,1.9385978351229756,0.19337791304738491,1.938598 +/- 0.193378,0.3235550557755413,0.01891893533221249,0.323555 +/- 0.018919,0.9388830055446884,0.01876632782080322,0.938883 +/- 0.018766,0.6272222222222222,0.05488290100274993,0.627222 +/- 0.054883,0.19953464019997683,0.041989329132532206,0.199535 +/- 0.041989,361.0,0.0,361.000000 +/- 0.000000,1.0419795323975434,0.0960557728343392,1.041980 +/- 0.096056,0.0,0.0,0.000000 +/- 0.000000
RDHO,0.957136129723385,0.08536337019810368,0.957136 +/- 0.085363,0.6660250186122738,0.048448196868417254,0.666025 +/- 0.048448,0.2911111111111111,0.04315909562446054,0.291111 +/- 0.043159,3.286025018612274,0.42534605327254976,3.286025 +/- 0.425346,85.1163472257323,15.831328385708836,85.116347 +/- 15.831328,1.6423378801714594,0.178807966698881,1.642338 +/- 0.178808,1.9611655649049744,0.1948593816720362,1.961166 +/- 0.194859,0.32695445498380254,0.01877852333323579,0.326954 +/- 0.018779,0.9388062031920292,0.01865514677717348,0.938806 +/- 0.018655,0.7088888888888889,0.04315909562446054,0.708889 +/- 0.043159,4.262639525966703,0.18379766892555746,4.262640 +/- 0.183798,9112.0,0.0,9112.000000 +/- 0.000000,0.9720222593271107,0.08878278026042045,0.972022 +/- 0.088783,0.014886129603725828,0.005861085409017037,0.014886 +/- 0.005861
