algorithm,fitness_mean,fitness_std,fitness,energy_mean,energy_std,energy,delay_mean,delay_std,delay,aoi_mean,aoi_std,aoi,qoe_mean,qoe_std,qoe,fairness_mean,fairness_std,fairness,csr_mean,csr_std,csr,runtime_mean,runtime_std,runtime
RDHO-core,1.0125113932917698,0.11898717553311143,1.012511 +/- 0.118987,89.5613615831876,17.222990610261757,89.561362 +/- 17.222991,1.6901657767986302,0.19463685011746987,1.690166 +/- 0.194637,2.0090544878481165,0.20002244525714405,2.009054 +/- 0.200022,0.32216693161730975,0.01569253307143977,0.322167 +/- 0.015693,0.8981088826310184,0.020274004739577665,0.898109 +/- 0.020274,0.6777777777777776,0.05918238148652304,0.677778 +/- 0.059182,9.43024585666135,0.29131465572306325,9.430246 +/- 0.291315
RDHO-full,0.9967338606632299,0.11565124135294705,0.996734 +/- 0.115651,86.889593454246,14.827281684733027,86.889593 +/- 14.827282,1.7056666814228043,0.18850367326996292,1.705667 +/- 0.188504,2.02455539247229,0.19474954753274173,2.024555 +/- 0.194750,0.32380128920610723,0.015876242537363777,0.323801 +/- 0.015876,0.8985337651128451,0.01954428467823334,0.898534 +/- 0.019544,0.6930555555555554,0.0571549003227787,0.693056 +/- 0.057155,9.393170886626468,0.37845880208794014,9.393171 +/- 0.378459
RDHO-w/o dual-source initialization,1.1203720517899483,0.13268151514679521,1.120372 +/- 0.132682,75.63376464627409,16.157472641978163,75.633765 +/- 16.157473,2.134313895137873,0.28697974243618657,2.134314 +/- 0.286980,2.4532026061873595,0.29098700708259195,2.453203 +/- 0.290987,0.3116333568942267,0.01583429147769538,0.311633 +/- 0.015834,0.8919013966113701,0.01933953062121556,0.891901 +/- 0.019340,0.6580555555555556,0.05746410396006875,0.658056 +/- 0.057464,9.539030063307534,0.39583784889072565,9.539030 +/- 0.395838
RDHO-w/o adaptive role allocation,1.0168037267099879,0.11428596958342864,1.016804 +/- 0.114286,90.9188871947004,17.39838402259573,90.918887 +/- 17.398384,1.6739060202055946,0.18916484827819732,1.673906 +/- 0.189165,1.9927947312550809,0.19632735106481894,1.992795 +/- 0.196327,0.3221501870422294,0.01555859876150982,0.322150 +/- 0.015559,0.8973998429862075,0.020493739301661706,0.897400 +/- 0.020494,0.6730555555555554,0.0557379668187046,0.673056 +/- 0.055738,9.45934292000408,0.4306745343155729,9.459343 +/- 0.430675
RDHO-w/o elite preservation,1.0099143354778082,0.11751461716179754,1.009914 +/- 0.117515,88.4047476407355,17.54423199574266,88.404748 +/- 17.544232,1.7084797519428507,0.2107369062692003,1.708480 +/- 0.210737,2.0273684629923374,0.21664318086612003,2.027368 +/- 0.216643,0.3225565293709883,0.01533446011370748,0.322557 +/- 0.015334,0.8987594360603025,0.019588834748347418,0.898759 +/- 0.019589,0.6836111111111111,0.056877705962041655,0.683611 +/- 0.056878,9.487238146659609,0.3867673046997218,9.487238 +/- 0.386767
RDHO-w/o dynamic penalty,1.0124905050721016,0.1194035708213763,1.012491 +/- 0.119404,89.54578760773727,17.36605995103687,89.545788 +/- 17.366060,1.6810035630470501,0.17997477132469566,1.681004 +/- 0.179975,1.9998922740965361,0.1895806570202792,1.999892 +/- 0.189581,0.3220512155812477,0.015398159229898347,0.322051 +/- 0.015398,0.8976652897718498,0.020499463078565545,0.897665 +/- 0.020499,0.676111111111111,0.06390596140374873,0.676111 +/- 0.063906,9.439181919939195,0.3785702132216479,9.439182 +/- 0.378570
