run_id,seed,algorithm,fitness,base_objective,penalty,search_fitness,energy,delay,aoi,qoe,fairness,csr,runtime,nfe,pre_refinement_fitness,local_refinement_gain,experiment,lambda0,alpha
1,20260701,RDHO,1.029824606965487,0.6964912736321537,0.33333333333333337,1.1964912736321538,100.58974554231838,1.654929155824139,1.962870751856375,0.32303527365537876,0.9450557710840614,0.6666666666666666,4.197078137000062,9112,1.0428803307917591,0.01305572382627207,dynamic_penalty,0.5,1.0
2,20260702,RDHO,1.1313426840298075,0.7813426840298077,0.35,1.3063426840298076,81.85516045241779,2.002938907705791,2.3418204322573217,0.3061560070563699,0.8994829738899256,0.65,4.211536899999828,9112,1.150728783437894,0.019386099408086555,dynamic_penalty,0.5,1.0
3,20260703,RDHO,0.8216268765644442,0.5882935432311109,0.23333333333333328,0.9382935432311108,72.24456654657445,1.532437100688138,1.8899050514438855,0.3495392678610151,0.9406186455627983,0.7666666666666667,4.342122559000018,9112,0.8303450487781505,0.008718172213706299,dynamic_penalty,0.5,1.0
4,20260704,RDHO,0.9680312251004858,0.6596978917671524,0.30833333333333335,1.1221978917671525,76.44188551123236,1.657402894387585,1.9800075586993038,0.34233274549717746,0.9194222684261808,0.6916666666666667,4.415786813000068,9112,0.9719604797921528,0.00392925469166705,dynamic_penalty,0.5,1.0
5,20260705,RDHO,1.033227962351798,0.7248946290184646,0.30833333333333335,1.1873946290184647,113.18684816987981,1.8553287588318086,2.176131809491769,0.2971313779566399,0.9562341753923589,0.6916666666666667,4.12934406300019,9112,1.0499515743060548,0.016723611954256867,dynamic_penalty,0.5,1.0
6,20260706,RDHO,0.8809675842354354,0.6226342509021021,0.2583333333333333,1.010134250902102,88.01880266518091,1.431350276482449,1.7335661176520278,0.3276408861144388,0.9308357072518253,0.7416666666666667,4.180747978999989,9112,0.9069078381475253,0.025940253912089872,dynamic_penalty,0.5,1.0
7,20260707,RDHO,0.9074621713033684,0.6324621713033683,0.275,1.0449621713033683,75.23380077523336,1.3320267539131538,1.651009973443088,0.3375738731129208,0.9431326609518266,0.725,4.264704794999943,9112,0.9255426650027294,0.018080493699361044,dynamic_penalty,0.5,1.0
8,20260708,RDHO,0.958212558036312,0.6498792247029787,0.30833333333333335,1.1123792247029787,69.70547145259314,1.6422079214704746,1.9317160463408218,0.3293593889364153,0.948772468699668,0.6916666666666667,4.25405048399989,9112,0.9686291509492653,0.01041659291295327,dynamic_penalty,0.5,1.0
9,20260709,RDHO,1.1400301288650334,0.7733634621983667,0.3666666666666667,1.3233634621983668,131.53793674799834,1.8660154377875244,2.175191760886117,0.279877743765793,0.9369451962512992,0.6333333333333333,4.370840629999748,9112,1.175644186132392,0.03561405726735867,dynamic_penalty,0.5,1.0
10,20260710,RDHO,0.9329578239549148,0.6579578239549148,0.275,1.0704578239549147,82.87691529427056,1.9128182174356483,2.2860468514497714,0.3315004567765935,0.9502166517290208,0.725,4.10725533699997,9112,0.9464103582571091,0.013452534302194286,dynamic_penalty,0.5,1.0
