run_id,seed,algorithm,fitness,base_objective,penalty,search_fitness,energy,delay,aoi,qoe,fairness,csr,hard_feasible,capacity_utilisation_mean,capacity_utilisation_max,assignment_unique,runtime,nfe,pre_refinement_fitness,local_refinement_gain
1,20260701,RDHO-full,1.1085684341068993,0.7585684341068993,0.35,3.908568434106899,74.82231000942322,2.077367767445099,2.3703445268382586,0.4055901929117499,0.8981469852203793,0.65,1,0.8388950572562454,1.0000000000000002,1,7.771951541,10232,1.1934487678324865,0.08488033372558723
1,20260701,RDHO-core,1.4505496254972843,0.9838829588306175,0.4666666666666667,5.183882958830617,147.72099201988215,3.1557885129431407,3.448765272336299,0.3549968215513189,0.8786180156663284,0.5333333333333333,1,0.8245725418061476,1.0000000000000002,1,5.958916167,7551,1.4505496254972843,0.0
1,20260701,RDHO-w/o dual-source initialization,1.1582815807055318,0.8166149140388652,0.3416666666666667,3.8916149140388656,83.91517552436346,2.328573841393644,2.6215506007868035,0.40152072209024187,0.9037335257349629,0.6583333333333333,1,0.7966985223128503,1.0000000000000002,1,7.450983458,9552,1.3763160351528385,0.21803445444730674
1,20260701,RDHO-w/o adaptive role allocation,1.0944606485679138,0.7527939819012472,0.3416666666666667,3.827793981901247,71.51028969011679,2.0822624808369325,2.3752392402300924,0.40553295503766396,0.8996590136574667,0.6583333333333333,1,0.8199198620606926,1.0000000000000002,1,7.937442583000003,10232,1.1782383218022952,0.08377767323438134
1,20260701,RDHO-w/o elite preservation,1.111389324651844,0.7613893246518441,0.35,3.911389324651844,69.78014256762073,2.145632073499106,2.4386088328922653,0.4097000512491721,0.8985095713869221,0.65,1,0.8166633223078531,1.0000000000000002,1,8.023329292000003,10232,1.2007893513013683,0.08940002664952429
1,20260701,RDHO-w/o dynamic penalty,1.1013141634845884,0.7513141634845885,0.35,1.1013141634845884,78.44475542823048,2.053256999254139,2.3462337586472986,0.41144167655732444,0.9042333797636647,0.65,1,0.822822473610215,1.0000000000000002,1,8.089245374999997,10232,1.1942415423840544,0.092927378899466
2,20260702,RDHO-full,1.042971259370508,0.7096379260371747,0.33333333333333337,3.7096379260371752,92.5467289252826,1.9317343032317393,2.2435325542327496,0.4252411484102329,0.9438029302531645,0.6666666666666666,1,0.8642210038280658,1.0,1,7.931971333,10232,1.0687336254960704,0.025762366125562375
2,20260702,RDHO-core,1.2336783120880053,0.7920116454213386,0.44166666666666665,4.767011645421338,116.99569532404007,2.18370892616561,2.4955071771666204,0.4062140686150319,0.9157573192538973,0.5583333333333333,1,0.8144718687722678,1.0000000000000002,1,6.082999375,7551,1.2336783120880053,0.0
2,20260702,RDHO-w/o dual-source initialization,1.0354627299324197,0.6937960632657532,0.3416666666666667,3.7687960632657536,102.02246349706334,1.8204206737909019,2.132218924791912,0.4273866097179083,0.9436223604167553,0.6583333333333333,1,0.8816962771626442,1.0000000000000002,1,7.5803098749999975,9552,1.2050422624329933,0.16957953250057356
2,20260702,RDHO-w/o adaptive role allocation,1.0368072785323899,0.7118072785323899,0.32499999999999996,3.6368072785323897,90.71289895474317,1.939002978724274,2.250801229725284,0.4254927545427592,0.9427657809990349,0.675,1,0.8546744186036823,1.0,1,7.940068041999993,10232,1.0659895699187865,0.029182291386396608
