run_id,seed,algorithm,iteration,fitness
1,20260701,RDHO-core,0,2.3497734985460155
1,20260701,RDHO-core,1,2.1172762497310202
1,20260701,RDHO-core,2,2.1172762497310202
1,20260701,RDHO-core,3,2.1165742817856534
1,20260701,RDHO-core,4,2.1165742817856534
1,20260701,RDHO-core,5,2.1165742817856534
1,20260701,RDHO-core,6,2.1165742817856534
1,20260701,RDHO-core,7,2.041785543081884
1,20260701,RDHO-core,8,2.041785543081884
1,20260701,RDHO-core,9,2.014422295957783
1,20260701,RDHO-core,10,1.9952939491981478
1,20260701,RDHO-core,11,1.952451919503147
1,20260701,RDHO-core,12,1.9381643473849615
1,20260701,RDHO-core,13,1.8432073936120912
1,20260701,RDHO-core,14,1.802710900448015
1,20260701,RDHO-core,15,1.6857679240714982
1,20260701,RDHO-core,16,1.6857679240714982
1,20260701,RDHO-core,17,1.6857679240714982
1,20260701,RDHO-core,18,1.6857679240714982
1,20260701,RDHO-core,19,1.6857679240714982
1,20260701,RDHO-core,20,1.6571946654256247
1,20260701,RDHO-core,21,1.6571946654256247
1,20260701,RDHO-core,22,1.6571946654256247
1,20260701,RDHO-core,23,1.6571946654256247
1,20260701,RDHO-core,24,1.6571946654256247
1,20260701,RDHO-core,25,1.6000762769530734
1,20260701,RDHO-core,26,1.6000762769530734
1,20260701,RDHO-core,27,1.6000762769530734
1,20260701,RDHO-core,28,1.6000762769530734
1,20260701,RDHO-core,29,1.6000762769530734
1,20260701,RDHO-core,30,1.6000762769530734
1,20260701,RDHO-core,31,1.6000762769530734
1,20260701,RDHO-core,32,1.6000762769530734
1,20260701,RDHO-core,33,1.6000762769530734
1,20260701,RDHO-core,34,1.6000762769530734
1,20260701,RDHO-core,35,1.6000762769530734
1,20260701,RDHO-core,36,1.6000762769530734
1,20260701,RDHO-core,37,1.6000762769530734
1,20260701,RDHO-core,38,1.6000762769530734
1,20260701,RDHO-core,39,1.6000762769530734
1,20260701,RDHO-core,40,1.6000762769530734
1,20260701,RDHO-core,41,1.6000762769530734
1,20260701,RDHO-core,42,1.6000762769530734
1,20260701,RDHO-core,43,1.6000762769530734
1,20260701,RDHO-core,44,1.6000762769530734
1,20260701,RDHO-core,45,1.6000762769530734
1,20260701,RDHO-core,46,1.6000762769530734
1,20260701,RDHO-core,47,1.6000762769530734
1,20260701,RDHO-core,48,1.6000762769530734
1,20260701,RDHO-core,49,1.6000762769530734
1,20260701,RDHO-core,50,1.6000762769530734
1,20260701,RDHO-core,51,1.6000762769530734
1,20260701,RDHO-core,52,1.6000762769530734
1,20260701,RDHO-core,53,1.6000762769530734
1,20260701,RDHO-core,54,1.6000762769530734
