run_id,seed,algorithm,fitness,base_objective,penalty,search_fitness,energy,delay,aoi,qoe,fairness,csr,hard_feasible,capacity_utilisation_mean,capacity_utilisation_max,assignment_unique,runtime,nfe,pre_refinement_fitness,local_refinement_gain
1,20260701,RDHO,1.1085684341068993,0.7585684341068993,0.35,3.908568434106899,74.82231000942322,2.077367767445099,2.3703445268382586,0.4055901929117499,0.8981469852203793,0.65,1,0.8388950572562454,1.0000000000000002,1,7.685992000000001,10232,1.1934487678324865,0.08488033372558723
1,20260701,RIME,1.5057840617782485,1.0307840617782484,0.475,1.5057840617782485,73.03635497389021,3.023944941704852,3.3169217010980114,0.35010936249791486,0.870894915432685,0.525,1,0.7441438667200523,1.0,1,5.838589375,7551,1.5057840617782485,0.0
1,20260701,DBO,1.298491653103389,0.8234916531033891,0.475,1.298491653103389,76.57917330126156,2.407826902038992,2.7008036614321513,0.3712624329678576,0.8986700719479372,0.525,1,0.7874237516760376,1.0000000000000002,1,5.7070064590000005,7551,1.298491653103389,0.0
1,20260701,TLBO-HHO,1.361748745047708,0.8700820783810411,0.4916666666666667,1.361748745047708,70.59430051223828,3.0101586481514007,3.303135407544559,0.3604775710845655,0.8957471220454606,0.5083333333333333,1,0.63504381590383,1.0,1,5.715245665999998,7551,1.361748745047708,0.0
1,20260701,CWTSSA,1.4882141158884377,0.9882141158884377,0.5,1.4882141158884377,44.2748867882829,3.455095445518289,3.7480722049114483,0.36642103340698623,0.8892997215693416,0.5,1,0.5155829057817372,1.0000000000000002,1,5.710653167,7551,1.4882141158884377,0.0
1,20260701,Greedy-ED,1.3280387582347966,0.8613720915681298,0.4666666666666667,1.3280387582347966,82.516826189559,2.4296759806103685,2.722652740003528,0.38175524041730957,0.8762407807403754,0.5333333333333333,1,0.8916232683065447,1.0000000000000002,1,0.5116963750000032,681,1.3280387582347966,0.0
2,20260702,RDHO,1.042971259370508,0.7096379260371747,0.33333333333333337,3.7096379260371752,92.5467289252826,1.9317343032317393,2.2435325542327496,0.4252411484102329,0.9438029302531645,0.6666666666666666,1,0.8642210038280658,1.0,1,7.798863167,10232,1.0687336254960704,0.025762366125562375
2,20260702,RIME,1.6579036742064135,1.0662370075397467,0.5916666666666667,1.6579036742064135,112.69326799813666,3.9106792027900967,4.2224774537911065,0.32659091781983896,0.81322208119619,0.4083333333333333,1,0.7725775942255987,1.0000000000000002,1,6.113713916000002,7551,1.6579036742064135,0.0
2,20260702,DBO,1.1872988045547106,0.8206321378880439,0.3666666666666667,1.1872988045547106,82.89010310847121,2.599369503834921,2.911167754835932,0.40977440949868155,0.9189485497208548,0.6333333333333333,1,0.7427378632102732,1.0,1,6.020143874999995,7551,1.1872988045547106,0.0
2,20260702,TLBO-HHO,1.3456794223181814,0.8706794223181814,0.475,1.3456794223181814,54.229217792356756,3.0694631856041292,3.38126143660514,0.3879251098056812,0.9274840143232593,0.525,1,0.5826907181687272,1.0000000000000002,1,5.747088916999999,7551,1.3456794223181814,0.0
