run_id,seed,algorithm,fitness,base_objective,penalty,search_fitness,energy,delay,aoi,qoe,fairness,csr,hard_feasible,capacity_utilisation_mean,capacity_utilisation_max,assignment_unique,runtime,nfe,pre_refinement_fitness,local_refinement_gain
1,20260701,RDHO-core,1.6000762769530734,1.0667429436197402,0.5333333333333333,5.86674294361974,83.45613864503655,3.563691229537197,3.8566679889303557,0.32466132827709276,0.8812734328423866,0.4666666666666667,1,0.7947685234252103,1.0000000000000002,1,2.9556625420000002,3801,1.6000762769530734,0.0
1,20260701,RIME,1.8246959546839776,1.2413626213506443,0.5833333333333333,1.8246959546839776,98.31940999495784,4.430066269760251,4.72304302915341,0.29160432518483653,0.8844843158970012,0.4166666666666667,1,0.8224444143219769,1.0,1,2.963785167,3801,1.8246959546839776,0.0
1,20260701,DBO,1.3989225843103843,0.9072559176437177,0.4916666666666667,1.3989225843103843,95.28779176916547,3.0231364779358243,3.3161132373289837,0.3594696287999142,0.8897457210976119,0.5083333333333333,1,0.8253798386647149,1.0,1,2.902289207999999,3801,1.3989225843103843,0.0
1,20260701,TLBO-HHO,1.3690485831951125,0.8690485831951124,0.5,1.3690485831951125,56.4787643482199,2.8959880623646166,3.188964821757776,0.3615975425774682,0.9162143364952827,0.5,1,0.617213382661317,1.0000000000000002,1,2.8195880419999995,3801,1.3690485831951125,0.0
1,20260701,CWTSSA,1.487861964152938,0.9961952974862714,0.4916666666666667,1.487861964152938,44.75260309882745,3.2471556053733517,3.540132364766511,0.35975202130293515,0.9076262873770288,0.5083333333333333,1,0.5244887209809631,1.0,1,2.831490582999999,3801,1.487861964152938,0.0
2,20260702,RDHO-core,1.3525838867477409,0.9025838867477409,0.44999999999999996,4.952583886747741,79.03874638206233,2.820938960839064,3.132737211840074,0.3876317073304128,0.9156128160582051,0.55,1,0.7524369175275064,1.0,1,2.9373762919999997,3801,1.3525838867477409,0.0
2,20260702,RIME,1.6870644001312824,1.1453977334646157,0.5416666666666667,1.6870644001312824,140.2531678843762,4.531540682872511,4.843338933873522,0.32305914933899,0.8697867938872489,0.4583333333333333,1,0.8507411660704176,1.0,1,2.947520000000001,3801,1.6870644001312824,0.0
2,20260702,DBO,1.2935997341566234,0.8852664008232902,0.4083333333333333,1.2935997341566234,95.42876542826849,2.768276913871664,3.0800751648726745,0.40000699807958984,0.9242549117240486,0.5916666666666667,1,0.7956948126055716,1.0000000000000002,1,2.941348958999999,3801,1.2935997341566234,0.0
2,20260702,TLBO-HHO,1.326548718503774,0.8598820518371075,0.4666666666666667,1.326548718503774,61.408544168091005,3.017543777002197,3.3293420280032073,0.38507736660601327,0.9176522396891399,0.5333333333333333,1,0.6441778143477948,1.0000000000000002,1,2.915835874999999,3801,1.326548718503774,0.0
2,20260702,CWTSSA,1.3372637171013038,0.8622637171013039,0.475,1.3372637171013038,55.78465363740405,3.0782829709804735,3.3900812219814838,0.3989238055155159,0.9284472259347479,0.525,1,0.5555811771720458,1.0000000000000002,1,2.908997124999999,3801,1.3372637171013038,0.0
